,X1,X2,labels,Player,Status,Player_ID,url
0,-3.72135825541,0.734825997059,Combo Guards,A.J. Price,Inactive,priceaj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html
1,-3.3821583766,1.12759592269,Combo Guards,Aaron Brooks,Active,brookaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html
2,0.532339589896,-0.575656991793,Versatile Forwards,Aaron Gordon,Active,gordoaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html
3,1.50267885139,0.146058376346,Versatile Forwards,Adreian Payne,Active,paynead01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html
4,2.35100447843,0.469767611112,Offensive Centers,Al Horford,Active,horfoal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html
5,2.85053938339,0.568184615548,Offensive Centers,Al Jefferson,Active,jeffeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html
6,0.975396652846,-0.994609298606,Versatile Forwards,Al-Farouq Aminu,Active,aminual01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html
7,-1.19701253651,-1.42260768168,Shooting Wings,Alan Anderson,Active,anderal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html
8,-1.15011186149,-0.617893822259,Shooting Wings,Alec Burks,Active,burksal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html
9,-1.00010174929,-0.923398039552,Shooting Wings,Alex Abrines,Active,abrinal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html
10,3.33029016428,0.341573555981,Defensive Centers,Alex Len,Active,lenal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html
11,-2.77729993425,0.275491846079,Scoring Wings,Alexey Shved,Inactive,shvedal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html
12,3.65874871041,0.906740346661,Defensive Centers,Alexis Ajinca,Active,ajincal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html
13,-0.17320565397,-1.66142391774,3-and-D Wings,Allen Crabbe,Active,crabbal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html
14,-0.636691106867,-1.56389134676,3-and-D Wings,Alonzo Gee,Active,geeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html
15,2.54638359836,-0.119171574348,Offensive Centers,Amar'e Stoudemire,Inactive,stoudam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html
16,3.21057885616,0.81835222499,Defensive Centers,Amir Johnson,Active,johnsam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html
17,2.90280682793,0.654539081096,Defensive Centers,Anderson Varejao,Active,varejan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html
