position_one,position_two,position_three,position_four,position_five,unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
Offensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,Combo Guards,12001.01,21,74,101.1,86.9,14.2,62.3,1.5,16.9,13.8,71.8,47.1,0.1,50,55.6,101.53,61.7
3-and-D Wings,Defensive Centers,Offensive Centers,Scoring Wings,Combo Guards,11000.111,38,129,129.1,114.9,14.2,53.4,1.8,16.8,40.2,77.9,59.1,0.1,55.1,62.2,96.79,58.1
Offensive Centers,3-and-D Wings,Shooting Wings,Defensive Centers,Combo Guards,11100.011,10,97,113.3,99.2,14.2,65.9,2.16,20.2,23.1,77.6,51.5,0.1,53.9,58.8,96.79,59.6
Defensive Centers,Shooting Wings,Combo Guards,Shooting Wings,Offensive Centers,11200.001,9,69,116.5,102.3,14.2,58.9,1.74,16.8,37.5,73,55.1,0.1,52.4,56.2,95.61,54.6
3-and-D Wings,Combo Guards,Scoring Wings,Scoring Wings,Defensive Centers,1000.211,15,82,118.5,104.3,14.1,53.2,2.16,17.9,32.4,76.6,55.4,0.1,53.6,57.8,96.75,57.8
Shooting Wings,Scoring Wings,Combo Guards,Versatile Forwards,Defensive Centers,1101.101,30,97,125.6,111.8,13.8,47.4,1.71,14.4,28.4,82.9,56,0.1,56.7,62.8,93.12,59.7
Defensive Centers,Shooting Wings,Scoring Wings,Versatile Forwards,Shooting Wings,201.101,54,218,104.7,91,13.7,45.5,1.42,12.9,22,79.7,52,0.1,46.7,53.3,96.57,59
3-and-D Wings,Defensive Centers,Shooting Wings,Offensive Centers,Combo Guards,11100.011,30,129,110,96.4,13.6,57.8,1.91,17.5,23.7,78.6,52.6,0.1,52.3,56,98.84,60
Defensive Centers,3-and-D Wings,Defensive Centers,Scoring Wings,Combo Guards,1000.112,49,360,113.2,99.8,13.4,60.1,1.84,18.4,28.2,74.9,53.6,0.1,53.5,57.7,99.95,60
3-and-D Wings,Defensive Centers,Combo Guards,Versatile Forwards,3-and-D Wings,1001.021,49,552,109.4,96.2,13.2,70.9,1.96,21.7,20.2,80.4,51.8,0.2,56.6,58.5,101.99,56.6
Versatile Forwards,Combo Guards,Defensive Centers,3-and-D Wings,Floor Generals,1011.011,30,133,113.6,100.7,12.9,63.7,1.53,18.4,37.2,74.5,57.9,0.2,53,57.9,99.89,60.1
3-and-D Wings,Combo Guards,Scoring Wings,Defensive Centers,3-and-D Wings,1000.121,31,154,103.5,90.7,12.8,43.8,1.14,13.7,26.2,77.1,52.7,0.2,49.8,53.9,100.22,59.2
3-and-D Wings,Scoring Wings,Scoring Wings,Defensive Centers,Offensive Centers,10000.211,33,295,112.7,100.3,12.5,65.9,1.73,19.9,25.2,74.3,50.8,0.2,56.5,59.6,99.16,55.6
Defensive Centers,Combo Guards,Shooting Wings,Versatile Forwards,Versatile Forwards,1102.001,27,160,104.6,92,12.5,55.1,1.4,16.9,20.5,83.3,52.6,0.2,54.1,56.4,95,56.8
Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,Defensive Centers,11001.101,37,465,115.3,102.8,12.4,56.5,2.09,18,26.4,79.3,52.4,0.1,54.8,57.6,94.53,55.3
Scoring Wings,Shooting Wings,Scoring Wings,Defensive Centers,3-and-D Wings,100.211,17,95,120,107.7,12.3,42.5,1.54,15.3,30.1,81,56.6,0.1,57.7,60.7,94.02,55.2
Shooting Wings,Offensive Centers,3-and-D Wings,Offensive Centers,Floor Generals,20110.01,17,73,112.2,100.1,12.2,59,1.64,17.3,29.2,63.3,45.6,0.1,52.7,57.2,95.39,56.6
Offensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,Combo Guards,12001.01,17,78,104.3,92.1,12.2,41.7,2.08,12.8,16.9,79.2,48.1,0.1,47.8,51.8,98.22,56
Combo Guards,Shooting Wings,Versatile Forwards,Offensive Centers,3-and-D Wings,11101.01,8,102,122.1,110.2,12,56.3,3.77,18.6,22,73.8,46.9,0.1,56,58.9,91.78,54.3
Offensive Centers,Defensive Centers,3-and-D Wings,3-and-D Wings,Floor Generals,10010.021,13,113,112.1,100.3,11.8,61.4,1.63,18.9,27.5,83.3,56.2,0.2,55,58.5,100.55,57.5
Versatile Forwards,Shooting Wings,Shooting Wings,Offensive Centers,3-and-D Wings,10201.01,17,135,107.4,95.8,11.6,59.2,1.58,18.3,23.3,73.7,50.2,0.2,52.9,57.3,102.19,59.5
3-and-D Wings,Defensive Centers,Versatile Forwards,Floor Generals,Shooting Wings,111.011,9,95,117.8,106.5,11.3,61.7,2.78,20,18.9,72.8,47.1,0.1,56.9,60.2,94.51,57.4
Defensive Centers,Versatile Forwards,Floor Generals,Shooting Wings,Shooting Wings,211.001,30,375,109.4,98.3,11.2,67.3,2.19,20,20.7,79.3,51.3,0.1,54.1,56.5,95.71,55.8
Shooting Wings,Defensive Centers,Offensive Centers,Combo Guards,Scoring Wings,11100.101,19,127,108.6,97.4,11.2,56.8,1.75,17.4,27,84.8,57.1,0.1,51.3,55.3,100.28,57.8
3-and-D Wings,3-and-D Wings,Offensive Centers,Combo Guards,Combo Guards,12000.02,14,162,111.2,100.2,10.9,57.6,2.42,18.3,20.8,81.4,49.7,0.1,52.6,55.6,96.84,52.8
3-and-D Wings,Combo Guards,Scoring Wings,Offensive Centers,Scoring Wings,11000.21,16,197,118.5,107.8,10.7,57.4,2,20.6,22.5,75,51,0.1,60.1,62.9,94.39,56.5
Offensive Centers,3-and-D Wings,Floor Generals,Defensive Centers,3-and-D Wings,10010.021,25,276,103.3,92.6,10.7,70.6,2.75,21.2,18.3,81.2,49.7,0.1,48.8,52.8,93.21,58.3
Defensive Centers,Shooting Wings,Shooting Wings,Versatile Forwards,Scoring Wings,201.101,17,109,113.2,102.5,10.7,53.6,2.05,17.7,19.5,79.8,50,0.1,56.3,58.1,86.25,55.3
Offensive Centers,Shooting Wings,Shooting Wings,Versatile Forwards,Scoring Wings,10201.1,19,113,108.2,97.9,10.3,53.5,1.59,16.3,22.4,79.4,52.2,0.1,51.9,55.9,91.32,55.9
Combo Guards,Scoring Wings,Offensive Centers,Shooting Wings,Defensive Centers,11100.101,25,73,118.2,108.1,10,53.6,1.88,15.8,30,85,55.4,0.1,52.9,57,92.72,52
3-and-D Wings,Shooting Wings,Combo Guards,Combo Guards,Offensive Centers,12100.01,23,406,114.5,104.5,9.9,63.7,2.31,19.6,19.1,78.7,49.1,0.1,55.2,59,97.43,55
3-and-D Wings,Offensive Centers,Combo Guards,Combo Guards,Combo Guards,13000.01,7,68,108.7,99.3,9.4,56.9,2.23,15.8,20.6,83.6,50.4,0.1,47.2,54,101.08,54.1
Shooting Wings,Defensive Centers,Combo Guards,Versatile Forwards,Versatile Forwards,1102.001,45,169,106.6,97.2,9.4,37.3,1.51,12,26.2,77.5,50.9,0.1,50,51.8,97.02,52.1
Offensive Centers,Defensive Centers,Shooting Wings,Shooting Wings,Combo Guards,11200.001,22,256,109.8,100.4,9.4,59.1,1.52,18.3,27.9,80.9,56.2,0.2,55,58,92.17,56.7
Offensive Centers,3-and-D Wings,Combo Guards,Offensive Centers,Scoring Wings,21000.11,12,85,108.7,99.6,9.1,71.4,2.39,22.5,25,88.3,57.7,0.1,53,56,97.57,56.5
Defensive Centers,Shooting Wings,Defensive Centers,Combo Guards,3-and-D Wings,1100.012,14,193,111.6,102.5,9.1,66.9,1.82,20.6,28.3,79.3,55.7,0.2,55.4,58.4,96.93,55.6
Offensive Centers,Combo Guards,Shooting Wings,Scoring Wings,Defensive Centers,11100.101,14,105,108.5,99.4,9.1,53.4,1.42,17.2,29.8,68.6,51.3,0.2,54.3,56.5,93.43,59.2
Shooting Wings,Offensive Centers,Offensive Centers,3-and-D Wings,Combo Guards,21100.01,27,69,111.8,102.8,9,50.9,1.93,15.2,21.5,70.4,48.6,0.1,50.4,55.9,95.09,56.5
Shooting Wings,3-and-D Wings,Shooting Wings,Defensive Centers,Offensive Centers,10200.011,15,87,104.7,95.8,8.9,64.5,2.67,16.6,24.8,79.2,48.3,0.1,43.2,49.5,94.99,54.7
3-and-D Wings,Scoring Wings,Offensive Centers,Combo Guards,Versatile Forwards,11001.11,15,70,110.2,101.3,8.9,55,1.32,17.3,19.6,81.2,53.6,0.2,57.8,60.9,101.54,55.6
3-and-D Wings,Combo Guards,Combo Guards,Combo Guards,Offensive Centers,13000.01,30,129,112.2,103.4,8.8,54.1,2.04,15.4,25,79.3,51.3,0.1,48.9,55,99.1,52
Offensive Centers,Defensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,11001.011,47,698,104.7,96.1,8.6,61.1,2.03,18.7,24.6,81.3,53.3,0.1,49.4,53,93.65,56
Defensive Centers,Scoring Wings,Shooting Wings,Defensive Centers,Scoring Wings,100.202,26,74,109.8,101.4,8.4,51.6,1.52,15.3,33.3,70.4,52.1,0.1,49.3,54.2,97.56,54.3
3-and-D Wings,Versatile Forwards,Combo Guards,Combo Guards,Offensive Centers,12001.01,19,69,110.8,102.5,8.3,59.2,1.32,14.7,30.3,76.8,54.1,0.1,47.9,56.2,100.01,56.7
Versatile Forwards,Shooting Wings,Scoring Wings,Offensive Centers,Scoring Wings,10101.2,31,85,124.5,116.8,7.7,46.8,4.63,15.5,30.5,75.3,51.6,0,52.3,56.8,98.2,52.6
Shooting Wings,3-and-D Wings,Defensive Centers,3-and-D Wings,Floor Generals,110.021,30,230,108.1,100.6,7.6,67.9,1.92,20.7,21.8,76.6,49.1,0.1,54.7,57.4,102.13,55.6
Versatile Forwards,3-and-D Wings,Combo Guards,Scoring Wings,Offensive Centers,11001.11,37,131,109.8,102.3,7.5,52.5,2.04,14.5,24.6,73.7,47.5,0.1,45.9,53.8,100.82,55.6
Offensive Centers,3-and-D Wings,Defensive Centers,Floor Generals,Shooting Wings,10110.011,17,100,104.9,97.4,7.5,63,2.13,18.2,22,78.4,49.7,0.1,49.4,53,97.62,56.7
Offensive Centers,Defensive Centers,Shooting Wings,Shooting Wings,Scoring Wings,10200.101,29,305,105.7,98.4,7.2,51.5,1.23,15.9,27,78,53.9,0.2,52.6,56.4,92.26,54.9
3-and-D Wings,Scoring Wings,Defensive Centers,Scoring Wings,Defensive Centers,0.212,22,197,107.7,100.5,7.2,55.3,1.2,15.6,36.3,79.9,58.6,0.2,51.5,55,94.71,54.1
Shooting Wings,Offensive Centers,3-and-D Wings,Versatile Forwards,Combo Guards,11101.01,32,129,101.8,94.8,7,60.7,1.42,17.5,18.6,78.6,51.2,0.2,51.5,55.8,107.5,55.7
Defensive Centers,Scoring Wings,Shooting Wings,Scoring Wings,Offensive Centers,10100.201,40,333,101.6,94.8,6.8,54.9,1.17,15.8,28.6,79.3,55.2,0.2,50.1,53.9,96.98,55.1
Offensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,Offensive Centers,21001.01,25,185,104,97.4,6.6,59.1,2.41,19.1,19.4,82.3,49.7,0.1,50.4,52.9,96.13,52.8
3-and-D Wings,Defensive Centers,Offensive Centers,3-and-D Wings,Combo Guards,11000.021,26,76,111.6,105,6.5,55.7,1.77,18,26.2,72.3,52,0.1,52.9,57.6,101,55.4
Shooting Wings,Versatile Forwards,Versatile Forwards,Floor Generals,Defensive Centers,112.001,26,334,106.9,100.3,6.5,64.2,2.03,20.1,21.7,76.9,48.7,0.1,53.2,55.5,93.74,53
3-and-D Wings,Offensive Centers,3-and-D Wings,Combo Guards,Combo Guards,12000.02,10,67,103.9,97.4,6.5,43.9,1.56,14.8,16.7,73.1,46.5,0.1,51.7,54.4,97.76,54.3
Shooting Wings,3-and-D Wings,Floor Generals,Defensive Centers,3-and-D Wings,110.021,28,103,107,100.4,6.5,51.2,1.07,16.2,19.5,81.4,54,0.2,55.7,60.9,98.72,52.3
Offensive Centers,3-and-D Wings,Offensive Centers,3-and-D Wings,Floor Generals,20010.02,45,235,103.2,96.9,6.3,62.4,1.64,18.7,21.3,71.1,47.5,0.2,51.9,54.7,97.81,54.1
3-and-D Wings,Defensive Centers,3-and-D Wings,Offensive Centers,Scoring Wings,10000.121,22,96,104.6,98.4,6.2,57.3,1.47,17.5,31.9,75.8,53.5,0.2,51.9,52.9,93.06,50.9
Versatile Forwards,Scoring Wings,Combo Guards,Shooting Wings,Offensive Centers,11101.1,19,89,111.9,105.7,6.1,58.3,1.5,17.2,22.5,75.3,50,0.2,55.6,59.8,100.9,55
3-and-D Wings,Scoring Wings,Scoring Wings,Defensive Centers,Versatile Forwards,1.211,18,110,107.1,101,6.1,64.8,1.84,17.6,28.6,83.5,53.2,0.1,48.1,53.3,102.99,53.2
3-and-D Wings,Combo Guards,Offensive Centers,Shooting Wings,Offensive Centers,21100.01,25,261,103.3,97.5,5.9,65.3,2.16,19.2,23.6,75.5,48.8,0.1,48,52.3,92.15,53.9
Combo Guards,Shooting Wings,Offensive Centers,3-and-D Wings,3-and-D Wings,11100.02,22,103,111.9,106.1,5.8,55.3,1.62,16.2,26.4,72.2,50,0.1,51.2,56.5,94.78,50.6
3-and-D Wings,Combo Guards,Shooting Wings,Defensive Centers,3-and-D Wings,1100.021,22,190,111.3,105.5,5.7,59.8,1.91,18.6,29.9,75.9,54.5,0.1,53.7,56.1,98.43,57.4
3-and-D Wings,Defensive Centers,Scoring Wings,Offensive Centers,Combo Guards,11000.111,14,78,103.8,98.1,5.7,59.7,1.82,17.8,27.3,76.1,50,0.1,49.7,52.2,98.94,53.9
Shooting Wings,Defensive Centers,Versatile Forwards,3-and-D Wings,Floor Generals,111.011,18,197,107.2,101.6,5.6,67.4,1.9,20.4,23.4,81.1,54.2,0.1,53.7,56.6,101.14,55.2
Shooting Wings,Defensive Centers,3-and-D Wings,Shooting Wings,Combo Guards,1200.011,12,66,114.6,109.3,5.3,59.3,2.91,17.1,34.3,70.6,50,0.1,46.4,52.5,93.25,52.2
Scoring Wings,Shooting Wings,Scoring Wings,Offensive Centers,Offensive Centers,20100.2,25,452,100.4,95.2,5.2,57.7,1.61,16.8,16.7,79.8,48.6,0.1,48.9,53.4,100.39,53.4
3-and-D Wings,Scoring Wings,Defensive Centers,Shooting Wings,3-and-D Wings,100.121,5,69,109.2,104.2,5,53.8,1.27,16.2,25,68.4,50.4,0.2,54.5,58.1,92.58,53.8
Shooting Wings,Combo Guards,Defensive Centers,3-and-D Wings,Floor Generals,1110.011,26,108,111.1,106.1,4.9,68.7,2.19,20.4,22.3,71.6,46.8,0.1,56,57.4,105.5,56.2
Combo Guards,Defensive Centers,Scoring Wings,Versatile Forwards,3-and-D Wings,1001.111,13,177,105,100.2,4.8,46.6,1.26,14.3,23.6,79.8,51.5,0.1,51.1,54.7,100.11,52
3-and-D Wings,Scoring Wings,Offensive Centers,Floor Generals,Shooting Wings,10110.11,16,105,103.6,99.1,4.5,67.5,1.75,19.1,13.7,75,42.5,0.1,52.2,56.6,103.35,51.8
Offensive Centers,Combo Guards,Defensive Centers,3-and-D Wings,Floor Generals,11010.011,10,68,98.1,93.7,4.4,56.6,1.5,16.2,13.8,73.1,45.6,0.1,49.2,53.4,101.19,56.2
Defensive Centers,Versatile Forwards,3-and-D Wings,Shooting Wings,Floor Generals,111.011,19,122,96.4,92.3,4,67,1.43,18.9,20.4,84.9,51.6,0.2,50.2,52.7,99.55,52.5
Shooting Wings,Offensive Centers,3-and-D Wings,Offensive Centers,Floor Generals,20110.01,70,892,104.4,100.5,4,70.8,1.94,20.7,18.1,74.3,47.1,0.1,52.6,56,100.32,53.3
Offensive Centers,Scoring Wings,Floor Generals,Defensive Centers,3-and-D Wings,10010.111,46,648,113.5,109.6,3.9,66.8,1.78,20.4,23.5,73.7,49.9,0.2,55.8,60.8,99.45,53.9
Defensive Centers,Shooting Wings,Versatile Forwards,Combo Guards,Scoring Wings,1101.101,8,71,111.6,107.8,3.9,53.3,2,16.9,24.6,74.1,48.7,0.1,51.9,56.2,98.64,50.8
3-and-D Wings,Floor Generals,Defensive Centers,Offensive Centers,Shooting Wings,10110.011,17,229,101.3,97.5,3.8,64.2,1.71,18,26.6,80.2,53.1,0.1,47.8,51.4,96.64,50.4
Combo Guards,Scoring Wings,Defensive Centers,Offensive Centers,3-and-D Wings,11000.111,13,128,100.5,97,3.6,57.8,1.19,17.4,33.6,73,53.8,0.2,51.5,53.1,98.09,52.1
3-and-D Wings,Combo Guards,Defensive Centers,Versatile Forwards,3-and-D Wings,1001.021,16,142,109.8,106.7,3.2,69,1.98,21.4,19.8,75,49.1,0.1,57.3,59.6,101.47,54.2
Shooting Wings,Defensive Centers,Versatile Forwards,Combo Guards,Versatile Forwards,1102.001,25,462,107.4,104.3,3.2,55.4,1.75,17.2,24.4,81,52.5,0.1,52.8,55,95.33,50.7
Shooting Wings,Defensive Centers,Offensive Centers,Combo Guards,Versatile Forwards,11101.001,48,915,104.2,100.9,3.2,48.1,1.45,14.5,30.5,78.2,52.4,0.1,48.9,51.3,96.78,49.6
Versatile Forwards,Combo Guards,Scoring Wings,Offensive Centers,Versatile Forwards,11002.1,16,220,98.9,95.8,3.1,53.6,1.3,15.7,28.6,84.4,56.4,0.2,46.9,50.9,101.29,50.9
3-and-D Wings,Offensive Centers,Offensive Centers,Scoring Wings,Combo Guards,21000.11,9,112,115.4,112.4,3,60.6,2.22,19.2,24,65.5,47,0.1,54.5,58.7,99.09,53.7
Shooting Wings,Offensive Centers,Offensive Centers,Scoring Wings,Combo Guards,21100.1,11,79,108.2,105.3,2.9,52.9,2,16.8,28.2,76,52.7,0.1,48.9,53.4,96.87,53.3
Offensive Centers,Combo Guards,Versatile Forwards,Offensive Centers,,,7,69,106.7,104,2.7,51.6,2.2,17.7,26.2,79,52,0.1,51.2,52.6,95.45,50.8
Versatile Forwards,Shooting Wings,Shooting Wings,3-and-D Wings,Offensive Centers,10201.01,12,133,106.1,103.4,2.7,64.7,1.83,20.2,27.8,73,49.4,0.2,52,54.5,98.62,49.6
Shooting Wings,Offensive Centers,Offensive Centers,Combo Guards,Shooting Wings,21200,22,220,93.3,90.6,2.7,51.9,1.53,15,20,72.7,49.2,0.1,43.9,48.2,96.34,54
