,Players,last_letter,player_id,url
230,Ryan Kelly,k,kellyry01,http://www.basketball-reference.com/players/k/kellyry01.html
231,Michael Kidd-Gilchrist,k,kiddgmi01,http://www.basketball-reference.com/players/k/kiddgmi01.html
232,Sean Kilpatrick,k,kilpase01,http://www.basketball-reference.com/players/k/kilpase01.html
233,Brandon Knight,k,knighbr01,http://www.basketball-reference.com/players/k/knighbr03.html
234,Kyle Korver,k,korveky01,http://www.basketball-reference.com/players/k/korveky01.html
235,Kosta Koufos,k,koufoko01,http://www.basketball-reference.com/players/k/koufoko01.html
236,Mindaugas Kuzminskas,k,kuzmimi01,http://www.basketball-reference.com/players/k/kuzmimi01.html
237,Skal Labissiere,l,labissk01,http://www.basketball-reference.com/players/l/labissk01.html
238,Jeremy Lamb,l,lambje01,http://www.basketball-reference.com/players/l/lambje01.html
239,Nicolas Laprovittola,l,laproni01,http://www.basketball-reference.com/players/l/laproni01.html
240,Joffrey Lauvergne,l,lauvejo01,http://www.basketball-reference.com/players/l/lauvejo01.html
241,Zach LaVine,l,lavinza01,http://www.basketball-reference.com/players/l/lavinza01.html
242,Ty Lawson,l,lawsoty01,http://www.basketball-reference.com/players/l/lawsoty01.html
243,Jake Layman,l,laymaja01,http://www.basketball-reference.com/players/l/laymaja01.html
244,Courtney Lee,l,leeco01,http://www.basketball-reference.com/players/l/leeco01.html
245,David Lee,l,leeda01,http://www.basketball-reference.com/players/l/leeda02.html
246,Alex Len,l,lenal01,http://www.basketball-reference.com/players/l/lenal01.html
247,Kawhi Leonard,l,leonaka01,http://www.basketball-reference.com/players/l/leonaka01.html
248,Meyers Leonard,l,leoname01,http://www.basketball-reference.com/players/l/leoname01.html
249,Jon Leuer,l,leuerjo01,http://www.basketball-reference.com/players/l/leuerjo01.html
250,Caris LeVert,l,leverca01,http://www.basketball-reference.com/players/l/leverca01.html
251,DeAndre Liggins,l,liggide01,http://www.basketball-reference.com/players/l/liggide01.html
252,Damian Lillard,l,lillada01,http://www.basketball-reference.com/players/l/lillada01.html
253,Jeremy Lin,l,linje01,http://www.basketball-reference.com/players/l/linje01.html
254,Shaun Livingston,l,livinsh01,http://www.basketball-reference.com/players/l/livinsh01.html
