Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
David West,935,742,29.7,5.8,11.8,0.492,0.1,0.2,0.261,5.7,11.6,0.496,0.495,2.7,3.3,0.818,1.8,4.9,6.7,2.2,0.8,0.8,1.7,2.4,14.3,10,0.982,0.273,0.229,0.193,0.286,0.018,0.614,0.451,0.417,0.474,0.614,0.027,271,0.906,0.192,0.308,8,0,18.6,0.542,0.018,0.277,7.1,19,13.1,13.2,1.3,2.1,11.1,23.2,42.6,38.8,81.4,0.141,0,1.3,1.4,24.1
Russell Westbrook,641,624,34.1,7.7,17.9,0.433,1,3.2,0.308,6.8,14.7,0.46,0.46,5.8,7.1,0.819,1.7,4.3,6,7.8,1.7,0.3,3.9,2.4,22.3,11.2,0.823,0.35,0.122,0.167,0.184,0.177,0.577,0.324,0.396,0.386,0.191,0.042,406,0.468,0.088,0.288,13,0,23.4,0.53,0.177,0.398,5.7,13.8,9.9,40.7,2.6,0.6,15.5,32.2,47.3,27.5,74.8,0.164,0,1.1,5.9,43.7
Okaro White,11,0,15.5,1.4,2.6,0.517,0.6,1.4,0.467,0.7,1.3,0.571,0.638,0.9,0.9,1,0.5,2.2,2.6,0.5,0.3,0.4,0.6,1.8,4.3,15.6,0.483,0.276,0.069,0.034,0.103,0.517,0.625,0.5,1,0.333,0.625,0.069,2,1,0.6,0.444,0,0,10.4,0.704,0.517,0.345,3.2,15.7,9.4,4.1,0.9,1.8,17.3,10.6,0.2,0.2,0.4,0.123,0,0.4,-1.2,0
Isaiah Whitehead,45,26,22.2,2.7,7,0.382,0.6,1.9,0.321,2.1,5.1,0.404,0.425,1.1,1.4,0.823,0.3,2.2,2.5,3,0.6,0.5,2,2.6,7.1,11.8,0.732,0.382,0.166,0.054,0.134,0.268,0.467,0.365,0.353,0.31,0.29,0.016,3,0.815,0.119,0.4,3,0,7,0.466,0.268,0.197,1.4,10.3,5.9,20.6,1.2,1.7,20.7,18.4,-1.3,0.5,-0.8,-0.041,0,-0.7,-5.7,-0.9
Hassan Whiteside,188,123,26.4,5.4,9.1,0.592,0,0,0,5.4,9.1,0.592,0.592,2.2,3.8,0.585,3.1,7.9,10.9,0.4,0.6,2.7,1.6,2.6,13,4.9,1,0.483,0.349,0.101,0.064,0,0.755,0.452,0.416,0.409,0.621,0.209,341,0,0,0,0,0,24.2,0.604,0,0.419,13.4,33.5,23.6,2.4,1.1,8,12.9,21.4,9.8,11.1,20.9,0.202,0,2,0.3,2.9
Andrew Wiggins,216,216,36,7.1,15.7,0.45,0.7,2.3,0.319,6.3,13.4,0.472,0.473,4.8,6.3,0.758,1.4,2.7,4.1,2.2,1,0.5,2.2,2.2,19.7,11.4,0.853,0.302,0.163,0.145,0.242,0.147,0.655,0.396,0.389,0.346,0.475,0.065,203,0.78,0.154,0.364,2,0,15.3,0.531,0.147,0.401,4.5,8.7,6.6,10.3,1.4,1.2,10.8,25.6,7.4,1.3,8.7,0.053,0,-2.3,-2.3,-0.6
CJ Wilcox,60,0,5.7,0.8,2,0.388,0.3,0.9,0.333,0.5,1.1,0.433,0.463,0.2,0.3,0.813,0.1,0.4,0.5,0.5,0.2,0.1,0.3,0.5,2.1,18.4,0.554,0.132,0.05,0.074,0.298,0.446,0.688,0.167,0.556,0.333,0.655,0.008,1,0.889,0.204,0.455,0,0,9.9,0.488,0.446,0.132,1.3,7.7,4.5,11.7,2,0.9,11.1,18.9,-0.1,0.3,0.2,0.03,0,-1.6,-4.4,-0.2
Alan Williams,30,0,6.5,1,2.1,0.492,0,0,0,1,2.1,0.492,0.492,0.7,1.2,0.568,1.3,1.7,3,0.2,0.4,0.5,0.5,1.4,2.8,3.7,1,0.587,0.333,0.079,0,0,0.514,0.476,0.4,0,0.419,0.016,1,0,0,0,0,0,19.9,0.523,0,0.587,21.4,30.3,25.7,4.9,2.8,5.9,16.8,20.8,0.2,0.3,0.5,0.134,0,1.2,-1.5,0
Deron Williams,818,764,34.6,5.9,13.2,0.444,1.4,4,0.357,4.5,9.2,0.482,0.498,3.5,4.2,0.822,0.4,2.7,3.1,8.2,1,0.2,2.9,2.5,16.6,14.3,0.701,0.251,0.121,0.088,0.241,0.299,0.584,0.408,0.417,0.436,0.322,0.009,79,0.668,0.117,0.423,34,3,18.4,0.552,0.299,0.322,1.5,9.3,5.4,39.7,1.6,0.6,16,23.6,58.2,18.6,76.8,0.13,0,-2,1.4,24.1
Derrick Williams,402,112,21,3.2,7.4,0.432,0.6,2,0.293,2.6,5.4,0.482,0.471,2.2,3.1,0.711,0.9,3.2,4.1,0.7,0.5,0.3,1,1.3,9.1,11.8,0.735,0.367,0.13,0.076,0.161,0.265,0.632,0.273,0.397,0.348,0.652,0.104,273,0.922,0.276,0.361,5,0,13.6,0.523,0.265,0.418,4.6,17.2,10.8,5.5,1.2,1,9.9,20.5,6.8,6.6,13.4,0.076,0,-1.6,-3.2,-2.5
Lou Williams,756,90,23.5,4.1,9.7,0.418,1.2,3.4,0.346,2.9,6.3,0.457,0.479,3.4,4.1,0.825,0.4,1.7,2.1,2.9,0.9,0.2,1.5,1.4,12.7,14.9,0.647,0.227,0.128,0.111,0.181,0.353,0.586,0.39,0.371,0.394,0.308,0.018,124,0.638,0.23,0.405,16,1,17.9,0.55,0.353,0.422,1.7,8.4,5.1,20.8,2,0.6,11.2,25,33.1,13.1,46.1,0.125,0,-2.1,0.2,9.7
Marvin Williams,832,645,28.7,3.8,8.6,0.443,0.8,2.3,0.354,3,6.3,0.476,0.491,2.1,2.7,0.804,1.3,4,5.2,1.3,0.8,0.5,1,2.1,10.6,13.9,0.73,0.267,0.12,0.068,0.275,0.27,0.606,0.402,0.352,0.414,0.678,0.053,338,0.982,0.345,0.383,12,1,13.7,0.542,0.27,0.31,5.1,16.1,10.5,7.3,1.4,1.4,9.5,17.2,28.8,22.7,51.5,0.103,0,-0.1,-0.5,9.1
Reggie Williams,205,32,18.1,2.9,6.4,0.456,1,2.7,0.366,1.9,3.7,0.521,0.532,1,1.3,0.75,0.5,1.9,2.4,1.5,0.4,0.1,0.7,1.2,7.8,15.6,0.585,0.244,0.114,0.073,0.155,0.415,0.699,0.389,0.389,0.399,0.506,0.027,35,0.93,0.25,0.419,5,0,14.3,0.559,0.415,0.205,3.1,12.1,7.5,13.1,1.2,0.3,9,18.7,5.6,0.8,6.4,0.082,0,-2.8,-1.9,0.1
Troy Williams,24,13,17.4,2.1,5.1,0.418,0.4,1.7,0.244,1.7,3.4,0.506,0.459,0.6,1,0.6,0.3,1.6,1.8,0.8,1,0.4,1.1,1.8,5.3,11.5,0.664,0.467,0.098,0.033,0.066,0.336,0.561,0.333,0.5,0.375,0.39,0.123,14,1,0.22,0.333,1,0,7.7,0.477,0.336,0.205,1.6,10.6,6,7.3,3,2.1,16.9,17.4,-0.6,0.7,0.1,0.011,0,1.9,-2.7,-0.1
Kyle Wiltjer,9,0,3.2,0.3,1.1,0.3,0.3,1.1,0.3,0,0,0,0.45,0.1,0.2,0.5,0.3,0.4,0.8,0,0,0.1,0.3,0.3,1.1,26.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0.667,0,0,0,0,4.5,0.46,1,0.2,11.5,15.3,13.4,0,0,2.8,21.6,20.5,-0.1,0,0,-0.063,0,-6.4,-12.2,-0.1
Justise Winslow,96,23,29.8,2.9,7.2,0.4,0.4,1.6,0.258,2.5,5.6,0.439,0.428,1.1,1.7,0.665,1.1,4.1,5.2,1.9,1,0.3,1.3,2.5,7.3,10.6,0.781,0.371,0.202,0.047,0.164,0.219,0.541,0.381,0.25,0.336,0.53,0.044,26,0.974,0.702,0.274,2,0,8.3,0.459,0.219,0.238,4.2,15.1,9.8,9.2,1.7,0.9,14.4,14.1,-1.1,3.5,2.4,0.04,0,1.6,-1.1,0.6
Jeff Withey,176,14,10.5,1.2,2.3,0.533,0,0,0,1.2,2.3,0.539,0.533,0.9,1.2,0.719,0.9,1.7,2.6,0.3,0.3,0.8,0.4,1.2,3.3,4.1,0.99,0.628,0.238,0.082,0.04,0.01,0.609,0.375,0.545,0.438,0.8,0.169,55,0,0,0,2,0,16.8,0.586,0.01,0.521,9.6,19,14.3,4.9,1.4,6.3,12.1,14,3.3,2.7,6.1,0.158,0,2.5,0.8,1.3
Christian Wood,20,0,8.1,1.2,2.8,0.411,0.2,0.7,0.308,1,2.2,0.442,0.446,0.8,1.2,0.652,0.7,1.6,2.2,0.2,0.3,0.5,0.1,0.6,3.3,9.4,0.768,0.446,0.161,0.071,0.089,0.232,0.64,0.111,0.5,0,0.684,0.161,7,0.75,0.231,0.333,0,0,16.5,0.492,0.232,0.411,8.5,21.5,14.8,4,1.5,4.4,2.9,18.5,0.2,0.2,0.4,0.105,0,-0.9,-4,-0.1
Metta World Peace,984,839,31.9,4.7,11.4,0.414,1.2,3.4,0.339,3.6,8,0.447,0.466,2.6,3.6,0.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,13.5,0.695,0.306,0.108,0.085,0.197,0.305,0.568,0.315,0.363,0.37,0.431,0.024,215,0.808,0.278,0.334,8,0,14.8,0.508,0.301,0.32,4.3,12,8.1,14.5,2.9,1.2,12.2,21.3,19.9,41.2,61.1,0.094,0,1.2,1.8,29.9
James Young,76,0,8.2,0.7,2.1,0.348,0.4,1.4,0.26,0.4,0.8,0.509,0.432,0.3,0.5,0.553,0.2,0.9,1.1,0.3,0.2,0,0.2,0.6,2.1,19.9,0.35,0.113,0.063,0.044,0.131,0.65,0.722,0.5,0.286,0.429,0.793,0.019,3,0.963,0.279,0.172,2,0,7,0.45,0.646,0.236,2.8,11.6,7.1,5.8,1.3,0.4,6.3,13.2,0,0.5,0.5,0.039,0,-1.2,-4.1,-0.3
Joe Young,65,0,7.7,1.3,3.6,0.365,0.2,1,0.221,1.1,2.5,0.424,0.397,0.4,0.6,0.763,0.1,0.9,1,1.2,0.3,0,0.6,0.5,3.3,15.2,0.708,0.197,0.12,0.09,0.305,0.292,0.565,0.357,0.286,0.394,0.186,0.03,6,0.6,0.191,0.231,1,0,10.2,0.428,0.292,0.163,1.5,12.3,7,24.7,1.9,0,12.9,25.2,-0.7,0.6,-0.1,-0.012,0,-2,-5.8,-0.5
Nick Young,624,181,23.6,4.2,10.1,0.42,1.4,3.8,0.376,2.8,6.3,0.445,0.49,2.1,2.5,0.834,0.4,1.7,2,1,0.6,0.2,1.1,1.9,12,17.1,0.628,0.131,0.076,0.141,0.28,0.372,0.607,0.342,0.41,0.415,0.421,0.022,126,0.856,0.293,0.415,5,0,13.2,0.535,0.372,0.247,1.8,8.1,4.9,7.4,1.2,0.7,8.7,23.3,13.3,3.5,16.8,0.055,0,-3.4,-3.3,-5
Thaddeus Young,714,484,30.6,5.9,11.8,0.499,0.4,1.3,0.329,5.5,10.5,0.519,0.516,1.5,2.3,0.684,2,3.9,5.9,1.5,1.4,0.4,1.5,2.2,13.7,8.3,0.893,0.416,0.25,0.083,0.144,0.107,0.651,0.439,0.332,0.384,0.613,0.064,499,0.926,0.288,0.327,6,0,16.6,0.537,0.107,0.192,7.2,14.8,11,8.5,2.4,1,10.2,20.9,22.7,23.2,45.9,0.101,0,0.2,0.4,13.2
Cody Zeller,256,145,22.3,2.9,5.8,0.495,0,0,0.167,2.9,5.8,0.498,0.496,2.1,2.8,0.741,1.7,3.8,5.6,1.2,0.6,0.8,1,2.6,7.9,6.7,0.992,0.571,0.138,0.041,0.242,0.008,0.611,0.4,0.344,0.311,0.768,0.161,219,1,0.167,0.5,0,0,15.1,0.557,0.008,0.488,8.5,19.1,13.7,8.9,1.4,2.7,12.8,16.5,7.8,8.5,16.3,0.137,0,2.1,0.5,3.6
Tyler Zeller,322,131,18.4,2.9,5.8,0.498,0,0,0,2.9,5.8,0.499,0.498,1.4,1.9,0.774,1.6,3,4.5,0.9,0.3,0.6,0.9,2.3,7.3,7.4,0.997,0.428,0.26,0.081,0.225,0.003,0.629,0.402,0.412,0.399,0.796,0.071,118,0,0,0,1,0,14.8,0.545,0.003,0.318,9.3,18.5,13.8,8.2,0.7,2.7,11.9,18.1,8,5.5,13.5,0.11,0,0.2,-1.5,0.7
Stephen Zimmerman,8,0,4,0.6,1.4,0.455,0,0,0,0.6,1.4,0.455,0.455,0,0.1,0,0.5,1.3,1.8,0.1,0.1,0.1,0,0.1,1.3,9.9,1,0.273,0.182,0.273,0.273,0,0.667,0.5,0.333,0.333,0.6,0,0,0,0,0,0,0,17,0.437,0,0.091,13.4,35.1,24,4.9,1.6,2.5,0,15.9,0,0.1,0.1,0.106,0,-0.2,-5.2,0
Paul Zipser,23,5,15.2,1.3,4,0.341,0.6,2,0.283,0.8,2,0.4,0.412,0.9,1.1,0.8,0.3,1.9,2.3,0.4,0.3,0.2,0.7,1,4.1,16.5,0.495,0.198,0.121,0.044,0.132,0.505,0.5,0.455,0.25,0.25,0.778,0.011,1,1,0.348,0.438,0,0,6.1,0.466,0.505,0.275,2.4,13.7,8,4.1,1,1.1,13.6,14.6,-0.2,0.3,0.1,0.011,0,-1.1,-5.3,-0.3
Ivica Zubac,20,1,13,2.4,4.9,0.495,0,0,0,2.4,4.9,0.495,0.495,0.8,1,0.789,1.3,2.6,3.8,0.5,0.3,0.9,0.7,1.2,5.6,4.9,1,0.474,0.402,0.062,0.052,0,0.478,0.513,0.5,0.6,0.792,0.113,10,0,0,0,0,0,16.7,0.527,0,0.196,10.1,21.9,15.8,6.2,0.9,5.3,11.7,19.6,0.2,0.2,0.4,0.08,0,0.3,-3.2,-0.1
