Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Jason Terry,1330,675,30.5,5.1,11.5,0.444,1.7,4.4,0.379,3.5,7.1,0.484,0.516,2.1,2.4,0.845,0.4,2,2.4,4,1.2,0.2,1.8,1.9,14,16.6,0.615,0.141,0.094,0.145,0.235,0.385,0.591,0.415,0.45,0.471,0.389,0.007,101,0.824,0.289,0.417,22,1,16.5,0.554,0.38,0.212,1.4,7.4,4.5,22.5,2,0.5,12.4,21.5,69.7,30.5,100.1,0.118,0,-1.4,1.3,33.8
Isaiah Thomas,413,281,29.8,6,13.6,0.442,1.9,5.1,0.366,4.2,8.5,0.488,0.511,4.6,5.3,0.874,0.6,2,2.6,5.2,1,0.1,2.3,2.2,18.6,13.9,0.624,0.267,0.158,0.095,0.104,0.376,0.616,0.363,0.425,0.406,0.3,0,0,0.645,0.157,0.404,8,0,20.8,0.581,0.376,0.388,2,7.7,4.8,29.7,1.6,0.2,12.6,26.8,35.9,5.6,41.4,0.162,0,-2.8,2.3,13.3
Lance Thomas,257,67,18.1,2,4.7,0.428,0.3,0.7,0.398,1.7,4,0.434,0.458,1.1,1.4,0.793,0.8,1.6,2.5,0.7,0.4,0.1,0.7,1.6,5.4,11.5,0.85,0.277,0.2,0.129,0.241,0.15,0.572,0.32,0.442,0.364,0.642,0.032,34,0.931,0.564,0.392,1,0,9,0.51,0.15,0.301,5.1,10.3,7.7,5.7,1.1,0.6,12.1,15.1,1.9,1.7,3.7,0.038,0,-1.6,-4.2,-2.6
Hollis Thompson,256,82,24.3,2.9,6.9,0.417,1.4,3.6,0.389,1.5,3.3,0.447,0.519,0.8,1.1,0.709,0.8,2.4,3.1,1.1,0.6,0.3,0.8,2.1,7.9,16.8,0.477,0.197,0.112,0.061,0.107,0.523,0.6,0.327,0.43,0.303,0.66,0.015,22,0.972,0.274,0.442,2,0,9.8,0.537,0.523,0.158,3.3,10.9,7,7.3,1.3,0.9,10.1,14.5,3.6,2.9,6.5,0.05,0,-1.3,-2.7,-1.2
Klay Thompson,437,400,32.7,7,15.4,0.452,2.8,6.7,0.418,4.2,8.8,0.477,0.542,2,2.4,0.852,0.4,2.9,3.4,2.3,0.9,0.5,1.8,2.3,18.8,17.1,0.567,0.158,0.083,0.124,0.202,0.433,0.661,0.335,0.408,0.433,0.672,0.013,77,0.933,0.268,0.455,14,0,16.2,0.569,0.433,0.155,1.5,9.4,5.6,11.1,1.4,1.2,9.7,24.6,19.8,13.7,33.5,0.113,0,-1.4,0.4,8.8
Tristan Thompson,440,290,28.6,3.7,7.3,0.509,0,0,0,3.7,7.2,0.511,0.509,2.1,3.3,0.617,3.4,5.3,8.7,0.8,0.5,0.8,1.1,2.4,9.5,4.2,0.997,0.548,0.342,0.085,0.021,0.003,0.62,0.386,0.357,0.309,0.618,0.196,562,0,0,0,5,0,15.3,0.542,0.003,0.459,13.3,21.1,17.2,4.4,0.9,2.2,11.5,15.4,20.3,12.4,32.7,0.125,0,0.2,-0.6,4.3
Marcus Thornton,483,135,23.4,4.4,10.4,0.425,1.5,4.2,0.358,2.9,6.1,0.471,0.498,1.6,1.9,0.83,0.8,1.9,2.8,1.4,0.8,0.1,1,1.5,11.9,15.2,0.59,0.236,0.138,0.066,0.15,0.41,0.618,0.383,0.372,0.363,0.495,0.008,32,0.841,0.191,0.404,15,0,15.5,0.531,0.41,0.185,4,9.7,6.8,10.1,1.8,0.4,8.3,23.2,14.5,5.6,20.1,0.085,0,-2.3,-0.8,3.4
Anthony Tolliver,496,75,19.9,2.1,5,0.413,1.1,3,0.36,1,2,0.494,0.522,0.9,1.2,0.772,0.9,2.7,3.5,0.9,0.4,0.3,0.6,1.6,6.1,18.3,0.397,0.171,0.069,0.039,0.118,0.603,0.657,0.406,0.32,0.365,0.736,0.032,75,0.996,0.334,0.393,0,0,11.1,0.556,0.603,0.238,4.8,15.2,9.9,6.4,1,1.2,10.1,13.7,11.1,7.2,18.3,0.089,0,-0.5,-0.6,3.4
Karl-Anthony Towns,135,135,33.8,8.2,15.4,0.529,0.7,2,0.345,7.5,13.5,0.556,0.551,3.3,4.1,0.813,3.1,8,11,2.3,0.7,1.6,2.4,3,20.3,9.8,0.872,0.357,0.23,0.082,0.202,0.128,0.692,0.463,0.413,0.482,0.638,0.077,148,0.924,0.161,0.442,4,0,23.3,0.59,0.128,0.264,10.6,27.5,19,12.6,1,4,12.3,26,10.5,4.8,15.4,0.162,0,1,3.4,6.2
PJ Tucker,390,286,28,2.9,6.6,0.434,0.8,2.2,0.347,2.1,4.5,0.476,0.491,1.3,1.7,0.751,1.7,4,5.7,1.6,1.2,0.3,1.1,2.2,7.8,11.8,0.673,0.355,0.165,0.051,0.102,0.327,0.581,0.354,0.376,0.358,0.461,0.019,45,0.939,0.723,0.365,4,0,11.9,0.527,0.327,0.255,6.7,16.1,11.3,8.3,2.1,0.7,13,13.2,9.8,9.9,19.7,0.086,0,1.3,0.9,8.1
