Player,Age,Height,Weight
Serge Ibaka,27,6-10,235
Sergio Rodriguez,30,6-3,176
Seth Curry,26,6-2,185
Shabazz Muhammad,24,6-6,223
Shabazz Napier,25,6-1,175
Shaun Livingston,31,6-7,192
Sheldon McClellan,24,6-6,200
Shelvin Mack,26,6-3,203
Skal Labissiere,20,6-11,225
Solomon Hill,25,6-7,225
Spencer Dinwiddie,23,6-6,200
Spencer Hawes,28,7-1,245
Stanley Johnson,20,6-7,245
Stephen Curry,28,6-3,190
Stephen Zimmerman,20,7-1,240
Steve Novak,33,6-10,225
Steven Adams,23,7-1,255
T.J. McConnell,24,6-2,200
TJ Warren,23,6-8,225
Taj Gibson,31,6-9,236
Tarik Black,25,6-9,250
Taurean Prince,22,6-8,220
Terrence Jones,25,6-9,255
Terrence Ross,26,6-7,195
Terry Rozier,22,6-2,190
Thabo Sefolosha,32,6-7,220
Thaddeus Young,28,6-8,221
Thomas Robinson,25,6-10,237
Thon Maker,19,7-1,223
Tim Frazier,26,6-1,170
Tim Hardaway Jr.,24,6-6,205
Tim Quarterman,22,6-6,190
Timofey Mozgov,30,7-1,275
Timothe Luwawu-Cabarrot,21,6-6,205
Tobias Harris,24,6-9,235
Tomas Satoransky,25,6-7,210
Toney Douglas,30,6-2,195
Tony Allen,35,6-4,213
Tony Parker,34,6-2,185
Tony Snell,25,6-7,217
Treveon Graham,23,6-6,226
Trevor Ariza,31,6-8,215
Trevor Booker,29,6-8,228
Trey Burke,24,6-1,191
Trey Lyles,21,6-10,234
Tristan Thompson,25,6-9,238
Troy Daniels,25,6-4,205
Troy Williams,22,6-7,210
Ty Lawson,29,5-11,195
Tyler Ennis,22,6-3,194
Tyler Johnson,24,6-4,186
Tyler Ulis,21,5-10,150
Tyler Zeller,27,7-1,253
Tyreke Evans,27,6-6,220
Tyson Chandler,34,7-1,240
Tyus Jones,20,6-2,195
Udonis Haslem,36,6-8,235
Victor Oladipo,24,6-4,210
Vince Carter,40,6-6,220
Wade Baldwin IV,20,6-4,202
Wayne Ellington,29,6-4,200
Wesley Johnson,29,6-7,215
Wesley Matthews,30,6-5,220
Will Barton,26,6-6,175
Willie Cauley-Stein,23,7-1,240
Willie Reed,26,6-11,245
Willy Hernangomez,22,6-11,240
Wilson Chandler,29,6-8,225
Yogi Ferrell,23,6-1,180
Zach LaVine,21,6-5,185
Zach Randolph,35,6-9,260
Zaza Pachulia,33,6-11,275
