Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2012-13,A.J. Price,PG,priceaj01,26,57,1278,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,http://www.basketball-reference.com/players/p/priceaj01.html
2012-13,Aaron Brooks,PG,brookaa01,28,35.33333333,664.6666667,9.833333333,0.500666667,0.460333333,0.112333333,1.966666667,6.333333333,4.1,19.63333333,1.433333333,2.466666667,18.73333333,18.56666667,0.533333333,0,0.566666667,0.007666667,-1.866666667,-1.966666667,-3.833333333,-0.1,http://www.basketball-reference.com/players/b/brookaa01.html
2012-13,Aaron Gray,C,grayaa01,28,42,513,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1,http://www.basketball-reference.com/players/g/grayaa01.html
2012-13,Al Harrington,C,harrial01,32,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-1.7,-2.1,-3.8,-0.1,http://www.basketball-reference.com/players/h/harrial01.html
2012-13,Al Horford,C,horfoal01,26,74,2756,19.8,0.56,0.006,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,0.7,2.4,3.1,3.5,http://www.basketball-reference.com/players/h/horfoal01.html
2012-13,Al Jefferson,C,jeffeal01,28,78,2578,20.9,0.522,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,0.5,1,1.5,2.2,http://www.basketball-reference.com/players/j/jeffeal01.html
2012-13,Al-Farouq Aminu,SF,aminual01,22,76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-2,2.4,0.4,1.3,http://www.basketball-reference.com/players/a/aminual01.html
2012-13,Alan Anderson,SF,anderal01,30,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,0.4,-2.4,-2,0,http://www.basketball-reference.com/players/a/anderal01.html
2012-13,Alec Burks,SG,burksal01,21,64,1137,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,0.3,0.7,1,0.044,-1.4,-1.3,-2.7,-0.2,http://www.basketball-reference.com/players/b/burksal01.html
2012-13,Alexey Shved,SG,shvedal01,24,77,1840,11,0.474,0.454,0.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,0.02,-1,-1.1,-2.1,-0.1,http://www.basketball-reference.com/players/s/shvedal01.html
2012-13,Alonzo Gee,SF,geeal01,25,82,2541,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,0.036,-1.4,-0.1,-1.5,0.3,http://www.basketball-reference.com/players/g/geeal01.html
2012-13,Amar'e Stoudemire,PF,stoudam01,30,29,682,22.1,0.637,0,0.487,10,15.1,12.4,3.6,0.8,2.7,13.4,25.7,2.1,0.6,2.7,0.191,0.6,-2,-1.4,0.1,http://www.basketball-reference.com/players/s/stoudam01.html
2012-13,Amir Johnson,PF,johnsam01,25,81,2325,17.3,0.591,0.021,0.309,11.4,20,15.6,8.7,1.8,3.8,14.5,16.1,4.4,2.9,7.3,0.151,0.7,2.8,3.5,3.2,http://www.basketball-reference.com/players/j/johnsam01.html
2012-13,Anderson Varejao,C,varejan01,30,25,901,21.7,0.529,0.017,0.353,16.9,30.1,23.2,15.4,2.1,1.3,11.6,18.7,2.2,1.1,3.3,0.173,2.4,2.2,4.6,1.5,http://www.basketball-reference.com/players/v/varejan01.html
2012-13,Andray Blatche,C,blatcan01,26,82,1555,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,2.4,2.5,4.9,0.153,0.7,1.6,2.3,1.7,http://www.basketball-reference.com/players/b/blatcan01.html
2012-13,Andre Drummond,C,drumman01,19,60,1243,21.6,0.578,0.006,0.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,2.2,2.3,4.5,0.172,-0.3,2.6,2.4,1.4,http://www.basketball-reference.com/players/d/drumman01.html
2012-13,Andre Iguodala,SG,iguodan01,29,80,2779,15.2,0.52,0.327,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,0.097,1.4,1.8,3.2,3.7,http://www.basketball-reference.com/players/i/iguodan01.html
2012-13,Andre Miller,PG,millean02,36,82,2151,15.7,0.548,0.101,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,3.9,1.5,5.4,0.12,0.9,-1,-0.1,1,http://www.basketball-reference.com/players/m/millean02.html
2012-13,Andrea Bargnani,PF,bargnan01,27,35,1003,11.2,0.482,0.289,0.181,3,12.3,7.6,6.6,1.1,1.8,10.5,23.8,-0.5,0.6,0.1,0.007,-2.5,-1.8,-4.2,-0.6,http://www.basketball-reference.com/players/b/bargnan01.html
2012-13,Andrei Kirilenko,SF,kirilan01,31,64,2034,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6,0.142,1.4,2.8,4.2,3.2,http://www.basketball-reference.com/players/k/kirilan01.html
2012-13,Andrew Bogut,C,bogutan01,28,32,786,13.8,0.463,0.005,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,0.4,1.4,1.7,0.106,-2.5,4.8,2.3,0.9,http://www.basketball-reference.com/players/b/bogutan01.html
2012-13,Andrew Goudelock,SG,goudean01,24,1,6,-6.4,0,0,0,18.9,0,9.2,0,0,0,0,14.8,0,0,0,-0.264,-12.2,-5.8,-18,0,http://www.basketball-reference.com/players/g/goudean01.html
2012-13,Andrew Nicholson,PF,nichoan01,23,75,1249,15.1,0.557,0,0.193,6.2,17.1,11.7,6.1,1,2,13,22.1,0.9,0.8,1.7,0.065,-2.8,-1.6,-4.4,-0.8,http://www.basketball-reference.com/players/n/nichoan01.html
2012-13,Andris Biedrins,C,biedran01,26,53,495,7.7,0.449,0,0.619,7.8,25.7,17,3.7,1.5,6.6,34.4,3.7,0.1,1,1.1,0.102,-5,5.7,0.7,0.3,http://www.basketball-reference.com/players/b/biedran01.html
2012-13,Antawn Jamison,PF,jamisan01,36,76,1636,15.3,0.561,0.405,0.237,7.5,16.6,12.2,5,0.9,1,7.7,18.7,3,1.3,4.3,0.126,0.7,-1.8,-1.1,0.4,http://www.basketball-reference.com/players/j/jamisan01.html
2012-13,Anthony Davis,PF,davisan02,19,64,1846,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,0.159,0.5,1.9,2.3,2,http://www.basketball-reference.com/players/d/davisan02.html
2012-13,Anthony Morrow,SG,morroan01,27,27.33333333,255.3333333,11.73333333,0.533666667,0.262,0.144,2.866666667,5.2,4.033333333,6.233333333,1.5,0.166666667,6.1,20.2,0.266666667,0.2,0.433333333,0.070666667,-1.466666667,-3.3,-4.766666667,-0.133333333,http://www.basketball-reference.com/players/m/morroan01.html
2012-13,Anthony Randolph,PF,randoan01,23,39,329,15.6,0.534,0.07,0.395,10.1,22.1,16.2,5.5,2.9,5,21.7,22.5,-0.1,0.6,0.5,0.073,-3.8,2.3,-1.5,0,http://www.basketball-reference.com/players/r/randoan01.html
2012-13,Anthony Tolliver,SF,tollian01,27,62,963,8.4,0.531,0.616,0.236,3.7,14.5,9.2,4.8,0.8,1,13.1,13.2,0.3,0.9,1.2,0.059,-2.5,-0.8,-3.3,-0.3,http://www.basketball-reference.com/players/t/tollian01.html
2012-13,Arnett Moultrie,PF,moultar01,22,47,542,16.7,0.595,0,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,1.1,0.6,1.7,0.149,-0.7,-0.9,-1.7,0,http://www.basketball-reference.com/players/m/moultar01.html
2012-13,Aron Baynes,C,baynear01,26,16,141,8.8,0.521,0.028,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21,17.1,0,0.2,0.1,0.05,-4.7,0.4,-4.3,-0.1,http://www.basketball-reference.com/players/b/baynear01.html
2012-13,Arron Afflalo,SF,afflaar01,27,64,2307,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2,0.042,-0.3,-2,-2.3,-0.2,http://www.basketball-reference.com/players/a/afflaar01.html
