Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2013-14,A.J. Price,SG,priceaj01,27,28,99,9.7,0.469,0.478,0.043,1.1,10.2,5.5,21.5,0.5,0,13,23.2,-0.1,0,0,-0.012,-2.1,-3.9,-6,-0.1,http://www.basketball-reference.com/players/p/priceaj01.html
2013-14,Aaron Brooks,PG,brookaa01,29,48,1038,12.43333333,0.518333333,0.431333333,0.163666667,3.166666667,6.633333333,4.9,23.03333333,1.633333333,0.6,15.76666667,20.46666667,0.833333333,0.6,1.433333333,0.067,0.366666667,-1.866666667,-1.5,0.133333333,http://www.basketball-reference.com/players/b/brookaa01.html
2013-14,Aaron Gray,C,grayaa01,29,24.66666667,236.6666667,7.133333333,0.521666667,0.011,0.435,14.53333333,24.46666667,19.46666667,13.46666667,0.966666667,1.233333333,36.9,14.2,-0.166666667,0.266666667,0.066666667,0.009,-4.4,1.366666667,-3.033333333,-0.033333333,http://www.basketball-reference.com/players/g/grayaa01.html
2013-14,Adonis Thomas,F,thomaad01,20,2,13,10.1,0.7,0.4,0,0,0,0,13.9,0,0,16.7,19.5,0,0,0,0.06,-1.4,-9.3,-10.7,0,http://www.basketball-reference.com/players/t/thomaad01.html
2013-14,Adonis Thomas,SF,thomaad01,20,5,30.5,6.55,0.428,0.345,0.091,0,11.7,5.85,13.3,0,0,3.25,18.2,0,0,0,-0.015,-4.65,-4.75,-9.4,-0.05,http://www.basketball-reference.com/players/t/thomaad01.html
2013-14,Al Harrington,PF,harrial01,33,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-2.2,-2.4,-4.6,-0.3,http://www.basketball-reference.com/players/h/harrial01.html
2013-14,Al Horford,C,horfoal01,27,29,958,22,0.588,0.026,0.202,8,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,0.8,2,2.8,1.1,http://www.basketball-reference.com/players/h/horfoal01.html
2013-14,Al Jefferson,C,jeffeal01,29,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5,http://www.basketball-reference.com/players/j/jeffeal01.html
2013-14,Al-Farouq Aminu,SF,aminual01,23,80,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,-0.3,0.9,http://www.basketball-reference.com/players/a/aminual01.html
2013-14,Alan Anderson,SF,anderal01,31,78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1,http://www.basketball-reference.com/players/a/anderal01.html
2013-14,Alec Burks,SG,burksal01,22,78,2193,15.8,0.547,0.172,0.449,3,10.7,6.8,16.9,1.7,0.5,13,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,http://www.basketball-reference.com/players/b/burksal01.html
2013-14,Alex Len,C,lenal01,20,42,362,7.3,0.469,0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,http://www.basketball-reference.com/players/l/lenal01.html
2013-14,Alexey Shved,SG,shvedal01,25,63,664,10.2,0.452,0.43,0.38,3.4,10.1,6.6,14.9,1.9,1.8,14.8,20.8,-0.4,0.7,0.2,0.017,-2.7,-0.4,-3.1,-0.2,http://www.basketball-reference.com/players/s/shvedal01.html
2013-14,Alexis Ajinca,C,ajincal01,25,56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,http://www.basketball-reference.com/players/a/ajincal01.html
2013-14,Allen Crabbe,SG,crabbal01,21,15,100,7.7,0.475,0.424,0.121,1.1,8.5,4.8,8.7,1,0.7,7.9,16.5,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,http://www.basketball-reference.com/players/c/crabbal01.html
2013-14,Alonzo Gee,SF,geeal01,26,65,1020,8.6,0.491,0.246,0.258,3.8,12.8,8.2,6.9,2,1.2,14.3,13.4,-0.1,1,0.9,0.041,-3.3,0.7,-2.6,-0.2,http://www.basketball-reference.com/players/g/geeal01.html
