Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2010-11,A.J. Price,PG,priceaj01,24,50,795,10.7,0.454,0.466,0.253,2.3,7.8,5,22.7,1.8,0.1,13,22.7,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.3,http://www.basketball-reference.com/players/p/priceaj01.html
2010-11,Aaron Brooks,PG,brookaa01,26,39.33333333,856,13.46666667,0.495666667,0.391333333,0.246,1.833333333,5.066666667,3.466666667,29.8,1.333333333,0.2,13.7,25.9,0.466666667,0.266666667,0.733333333,0.044333333,0.566666667,-4,-3.433333333,-0.333333333,http://www.basketball-reference.com/players/b/brookaa01.html
2010-11,Aaron Gray,C,grayaa01,26,41,531,11,0.566,0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.1,1.2,-1.8,0,http://www.basketball-reference.com/players/g/grayaa01.html
2010-11,Acie Law,PG,lawac01,26,34,484,7.2,0.43,0.23,0.397666667,2.433333333,8.8,5.566666667,17.16666667,2.2,0,20.43333333,15.76666667,0.066666667,0.2,0.266666667,-0.019666667,-4.4,-1.433333333,-5.8,-0.333333333,http://www.basketball-reference.com/players/l/lawac01.html
2010-11,Al Harrington,PF,harrial01,30,73,1665,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,0.2,-1.2,-1.1,0.4,http://www.basketball-reference.com/players/h/harrial01.html
2010-11,Al Horford,C,horfoal01,24,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4,4.4,http://www.basketball-reference.com/players/h/horfoal01.html
2010-11,Al Jefferson,C,jeffeal01,26,82,2940,20.1,0.528,0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0,0.1,0.1,1.5,http://www.basketball-reference.com/players/j/jeffeal01.html
2010-11,Al Thornton,PF,thornal01,27,22,314,11.3,0.549,0.01,0.337,3.5,17.4,10.3,5.3,1.1,0.7,14.3,19.6,0.1,0.2,0.3,0.042,-4.5,-2.7,-7.3,-0.4,http://www.basketball-reference.com/players/t/thornal01.html
2010-11,Al Thornton,SF,thornal01,27,49,1069,11.8,0.525,0.076,0.327,4.7,12.2,8.3,7.7,1.3,0.6,10.5,17.3,0.9,0.4,1.3,0.058,-1.9,-1.5,-3.4,-0.4,http://www.basketball-reference.com/players/t/thornal01.html
2010-11,Al Thornton,SF-PF,thornal01,27,71,1383,11.7,0.531,0.06,0.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,1,0.6,1.6,0.054,-2.5,-1.8,-4.3,-0.8,http://www.basketball-reference.com/players/t/thornal01.html
2010-11,Al-Farouq Aminu,SF,aminual01,20,81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-3.1,0.1,-3,-0.4,http://www.basketball-reference.com/players/a/aminual01.html
2010-11,Alexis Ajinca,C,ajincal01,22,22.66666667,226.6666667,12.33333333,0.490666667,0.247333333,0.126,6.4,20.66666667,13.5,4.666666667,1.8,4.433333333,9.266666667,21.2,0,0.233333333,0.233333333,0.059333333,-3.2,0.133333333,-3.1,-0.066666667,http://www.basketball-reference.com/players/a/ajincal01.html
2010-11,Alonzo Gee,SG,geeal01,23,28,559,7.425,0.48125,0.119,0.2835,8.625,10.6,9.55,4.2,1.575,2.6,24.8,14.6,0.25,0.3,0.5,-0.01375,-4.825,0.2,-4.575,-0.025,http://www.basketball-reference.com/players/g/geeal01.html
2010-11,Amar'e Stoudemire,C,stoudam01,28,78,2870,22.7,0.565,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8,0.134,0.8,-0.1,0.7,1.9,http://www.basketball-reference.com/players/s/stoudam01.html
2010-11,Amir Johnson,PF,johnsam01,23,72,1853,17.6,0.608,0.002,0.323,11.8,17.8,14.7,6.8,1.5,3.6,10.9,15.3,4.4,1.2,5.6,0.146,1.5,1.1,2.7,2.2,http://www.basketball-reference.com/players/j/johnsam01.html
2010-11,Anderson Varejao,C,varejan01,28,31,994,15.2,0.56,0.009,0.375,11,24.1,17.4,7.4,1.4,2.9,13.7,13.3,1.3,0.9,2.2,0.105,-1.2,2.1,0.8,0.7,http://www.basketball-reference.com/players/v/varejan01.html
2010-11,Andray Blatche,PF,blatcan01,24,64,2172,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.3,2.1,2.4,0.053,-1,0.6,-0.5,0.8,http://www.basketball-reference.com/players/b/blatcan01.html
2010-11,Andre Iguodala,SF,iguodan01,27,67,2469,17.2,0.53,0.238,0.395,2.8,15.2,9,26.4,2.1,1.2,13.4,19.2,3.3,3.5,6.7,0.13,1.5,1.8,3.2,3.2,http://www.basketball-reference.com/players/i/iguodan01.html
2010-11,Andre Miller,PG,millean02,34,81,2650,17.8,0.529,0.044,0.346,4.3,9.9,7,35.7,2.3,0.4,16.8,20.6,4.6,2.4,7,0.127,1.3,-0.2,1.1,2.1,http://www.basketball-reference.com/players/m/millean02.html
2010-11,Andrea Bargnani,C,bargnan01,25,66,2353,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,0.052,0.2,-2.9,-2.7,-0.4,http://www.basketball-reference.com/players/b/bargnan01.html
2010-11,Andrei Kirilenko,SF,kirilan01,29,64,1999,16.6,0.567,0.181,0.498,6,13.8,9.9,14.9,2.1,3,15,17.8,2.9,1.7,4.5,0.109,0.8,1.3,2.2,2.1,http://www.basketball-reference.com/players/k/kirilan01.html
2010-11,Andres Nocioni,SF,nocioan01,31,54,931,10.1,0.538,0.426,0.22,2.4,18.6,10.5,7.4,0.8,1.2,13.4,17.4,0.2,1.1,1.3,0.067,-2.3,-0.6,-3,-0.2,http://www.basketball-reference.com/players/n/nocioan01.html
2010-11,Andrew Bogut,C,bogutan01,26,65,2297,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13,19.6,0.3,5.1,5.4,0.112,-2.6,5,2.4,2.6,http://www.basketball-reference.com/players/b/bogutan01.html
