Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2006-07,Aaron McKie,SF,mckieaa01,34,10,131,7.5,0.647,0,0,0.9,15.1,8,14.4,1.6,0,32,8.6,0,0.1,0.1,0.039,-3.9,-0.4,-4.2,-0.1,http://www.basketball-reference.com/players/m/mckieaa01.html
2006-07,Aaron Williams,PF,williaa01,35,38,374,9.4,0.606,0.019,0.415,8.7,18.4,13.6,2.9,1,2.9,22.3,10,0.2,0.4,0.7,0.089,-3.6,0.4,-3.2,-0.1,http://www.basketball-reference.com/players/w/williaa01.html
2006-07,Adam Morrison,PF,morriad01,22,78,2326,7.9,0.45,0.273,0.179,2.7,9.2,5.9,11.9,0.6,0.2,11.3,22.4,-2.2,0.8,-1.5,-0.03,-3,-2.5,-5.5,-2,http://www.basketball-reference.com/players/m/morriad01.html
2006-07,Adonal Foyle,C,foylead01,31,48,475,13.7,0.557,0,0.294,11.5,17.7,14.6,5.5,1.1,8,19.3,10.7,0.4,0.6,1,0.104,-3.2,4,0.8,0.3,http://www.basketball-reference.com/players/f/foylead01.html
2006-07,Adrian Griffin,SF,griffad01,32,54,585,10.7,0.499,0.047,0.147,7.9,13.4,10.6,15.2,2.8,0.5,21.7,13.3,0.1,1.2,1.3,0.103,-2.5,2.8,0.3,0.3,http://www.basketball-reference.com/players/g/griffad01.html
2006-07,Al Harrington,PF,harrial01,26,52,1708.666667,14.76666667,0.54,0.269,0.222333333,6.533333333,15.4,10.86666667,9.733333333,1.266666667,0.7,12.53333333,23.1,1.333333333,1.466666667,2.866666667,0.079333333,0.233333333,-1.1,-0.866666667,0.5,http://www.basketball-reference.com/players/h/harrial01.html
2006-07,Al Jefferson,C,jeffeal01,22,69,2319,19.8,0.547,0.001,0.334,12,27.4,19.5,7.2,1.1,3.5,11.8,22.4,3.3,3.3,6.6,0.137,-0.5,1,0.6,1.5,http://www.basketball-reference.com/players/j/jeffeal01.html
2006-07,Alan Anderson,SG,anderal01,24,17,256,10.1,0.538,0.247,0.284,4.9,10,7.4,13.8,1.4,0,19.4,20.1,0,0.1,0.1,0.024,-2.2,-1.8,-4,-0.1,http://www.basketball-reference.com/players/a/anderal01.html
2006-07,Alan Henderson,PF,hendeal01,34,38,418,15.7,0.679,0,0.701,13.8,16.9,15.4,3.8,1.1,2.2,12,11,1.1,0.4,1.6,0.181,0.6,0,0.6,0.3,http://www.basketball-reference.com/players/h/hendeal01.html
2006-07,Alexander Johnson,PF,johnsal01,23,59,753,13.2,0.588,0,0.698,7.9,20.8,14.4,3.6,1.7,3.5,17.5,16.1,0.7,0.6,1.3,0.083,-2.7,0,-2.7,-0.1,http://www.basketball-reference.com/players/j/johnsal01.html
2006-07,Allan Ray,SG,rayal01,22,47,710,10,0.512,0.448,0.212,3,8.8,5.8,10.5,1.5,0.3,12.9,20.8,0.1,0.5,0.6,0.039,-1,-2.5,-3.5,-0.3,http://www.basketball-reference.com/players/r/rayal01.html
2006-07,Allen Iverson*,PG,iversal01,31,15,640,23.5,0.529,0.145,0.475,1.3,6.4,3.8,34,2.7,0.1,13,36.7,1,0.5,1.6,0.119,4.1,-2.2,2,0.6,http://www.basketball-reference.com/players/i/iversal01.html
2006-07,Allen Iverson*,SG,iversal01,31,50,2121,18.4,0.545,0.152,0.46,0.9,7.1,4,28.3,2.1,0.4,15.1,27.1,2.9,1.7,4.6,0.105,1.6,-1.2,0.4,1.3,http://www.basketball-reference.com/players/i/iversal01.html
2006-07,Allen Iverson*,SG-PG,iversal01,31,65,2761,19.6,0.54,0.15,0.465,1,6.9,4,29.6,2.2,0.3,14.5,29.3,4,2.2,6.2,0.108,2.2,-1.5,0.8,1.9,http://www.basketball-reference.com/players/i/iversal01.html
2006-07,Alonzo Mourning*,C,mournal01,36,77,1572,16.7,0.59,0,0.725,9.7,16.4,13.1,2,0.4,9,18.7,20.8,1,2.5,3.5,0.107,-3.9,2,-2,0,http://www.basketball-reference.com/players/m/mournal01.html
2006-07,Alvin Williams,PG,willial02,32,2,10,6.6,0.266,0.5,2,12.1,0,6,41.1,10.6,0,44.4,31.2,-0.1,0,-0.1,-0.309,-8.9,3.7,-5.1,0,http://www.basketball-reference.com/players/w/willial02.html
2006-07,Amar'e Stoudemire,C,stoudam01,24,82,2689,23.1,0.637,0.003,0.555,10.1,23.3,17,5,1.5,2.9,15,25.8,7.2,4,11.2,0.201,0.9,0.7,1.6,2.4,http://www.basketball-reference.com/players/s/stoudam01.html
2006-07,Amir Johnson,PF,johnsam01,19,8,124,20.6,0.6,0.091,0.424,14.4,21.1,17.7,4.1,2.2,8.1,18.7,18.5,0.2,0.3,0.5,0.183,-1.2,3.9,2.7,0.1,http://www.basketball-reference.com/players/j/johnsam01.html
2006-07,Anderson Varejao,C,varejan01,24,81,1932,14.4,0.527,0.022,0.668,11.2,21.8,16.4,6,2.1,2.1,11.4,13.7,2.6,4,6.6,0.164,-1.3,3,1.7,1.8,http://www.basketball-reference.com/players/v/varejan01.html
2006-07,Andray Blatche,PF,blatcan01,20,56,682,12.1,0.471,0.137,0.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,-0.1,0.5,0.5,0.033,-2.8,0.4,-2.4,-0.1,http://www.basketball-reference.com/players/b/blatcan01.html
2006-07,Andre Barrett,PG,barrean01,24,6,29,8.2,0.5,0,0,4,15.6,9.8,38.2,0,0,33.3,18.4,0,0,0,0.014,-5.6,-1.6,-7.1,0,http://www.basketball-reference.com/players/b/barrean01.html
2006-07,Andre Brown,PF,brownan01,25,38,271,11.1,0.577,0.014,0.203,11.4,21.4,16.4,1.2,1.2,1.1,26.5,18.4,-0.2,0.2,0,-0.002,-5.4,-3.1,-8.5,-0.4,http://www.basketball-reference.com/players/b/brownan01.html
2006-07,Andre Iguodala,SG,iguodan01,23,76,3062,18.1,0.562,0.156,0.556,3,14,8.5,23.8,2.6,0.8,17.5,22.6,4.1,3.6,7.7,0.12,1.9,1.4,3.4,4.1,http://www.basketball-reference.com/players/i/iguodan01.html
2006-07,Andre Miller,PG,millean02,30,53.33333333,1977.333333,16.2,0.521333333,0.044333333,0.318,3.8,10.2,7,35.23333333,1.966666667,0.266666667,18.1,19.03333333,2.3,1.6,3.9,0.098666667,0.8,-0.266666667,0.5,1.266666667,http://www.basketball-reference.com/players/m/millean02.html
2006-07,Andrea Bargnani,PF,bargnan01,21,65,1629,12.8,0.546,0.429,0.227,3.7,14.8,9.2,5.1,1,2.5,13.5,22.6,0.2,1.7,1.9,0.057,-1.1,-0.7,-1.7,0.1,http://www.basketball-reference.com/players/b/bargnan01.html
2006-07,Andreas Glyniadakis,C,glynian01,25,13,81,-3.3,0.475,0,0.118,2.9,9,5.9,1.8,0,0,33.5,15.1,-0.2,0,-0.2,-0.143,-8.9,-3.2,-12.1,-0.2,http://www.basketball-reference.com/players/g/glynian01.html
2006-07,Andrei Kirilenko,SF,kirilan01,25,70,2049,14.3,0.558,0.179,0.572,5.2,14.3,9.8,14.5,1.9,5.8,20.5,14.4,1.6,2.9,4.4,0.104,-0.5,4.4,4,3.1,http://www.basketball-reference.com/players/k/kirilan01.html
2006-07,Andres Nocioni,PF,nocioan01,27,53,1406,15.6,0.578,0.358,0.248,3.4,20.9,12.2,7,1,1.3,13.8,23.8,1.4,2.6,4.1,0.139,-0.4,-0.2,-0.6,0.5,http://www.basketball-reference.com/players/n/nocioan01.html
2006-07,Andrew Bogut,C,bogutan01,22,66,2258,15.5,0.566,0.008,0.308,8.7,21.9,15.2,13.9,1.1,1.2,17.4,17.3,2.6,1.4,4,0.085,-0.1,0.7,0.5,1.4,http://www.basketball-reference.com/players/b/bogutan01.html
2006-07,Andrew Bynum,C,bynuman01,19,82,1793,15.4,0.593,0.007,0.483,9.2,22.3,15.8,8.2,0.3,5.4,17.6,16.3,2.3,1.9,4.2,0.112,-2,1.5,-0.5,0.7,http://www.basketball-reference.com/players/b/bynuman01.html
2006-07,Andris Biedrins,C,biedran01,20,82,2382,16.2,0.598,0,0.287,11.3,24,17.5,5.4,1.4,4.3,15.4,13.8,3.5,3.3,6.7,0.136,-1.1,2.5,1.4,2.1,http://www.basketball-reference.com/players/b/biedran01.html
2006-07,Antawn Jamison,PF,jamisan01,30,70,2662,18.4,0.545,0.333,0.27,5.6,19,12.1,8.8,1.5,1,7.5,22.8,5.2,1.6,6.8,0.123,2.4,-1.5,0.9,1.9,http://www.basketball-reference.com/players/j/jamisan01.html
2006-07,Anthony Carter,PG,cartean01,31,2,37,3.3,0.375,0.25,0,0,9,4.6,41.4,0,1.9,42.9,16.2,-0.1,0,-0.1,-0.115,-9.2,-4,-13.2,-0.1,http://www.basketball-reference.com/players/c/cartean01.html
2006-07,Anthony Johnson,PG,johnsan02,32,44.66666667,867.3333333,9.833333333,0.48,0.211666667,0.179666667,2.133333333,7.3,4.7,24.6,1.366666667,0.166666667,16.96666667,15.8,0.266666667,0.533333333,0.8,0.047,-1.9,-2.066666667,-3.966666667,-0.466666667,http://www.basketball-reference.com/players/j/johnsan02.html
2006-07,Anthony Parker,SG,parkean01,31,73,2437,14.5,0.597,0.38,0.23,2.9,10.9,6.8,9.9,1.6,0.3,8.6,15.7,4.4,2.1,6.5,0.127,2.1,0.4,2.5,2.8,http://www.basketball-reference.com/players/p/parkean01.html
2006-07,Anthony Roberson,PG,roberan02,23,20,227,11.4,0.527,0.529,0.029,0.9,9.4,5.1,7,2.6,0,11,22.2,0,0.2,0.1,0.031,-1.2,-2.9,-4.1,-0.1,http://www.basketball-reference.com/players/r/roberan02.html
2006-07,Antoine Walker,PF,walkean02,30,78,1818,9.6,0.462,0.457,0.157,6.1,15.7,11,12.1,1.4,0.7,16.5,22.3,-2.3,2,-0.3,-0.007,-2.5,-0.7,-3.1,-0.5,http://www.basketball-reference.com/players/w/walkean02.html
2006-07,Antoine Wright,SG,wrighan01,22,63,1137,8.1,0.5,0.235,0.291,4,14.1,9.1,7.6,1.4,0.7,13.2,13.4,0,1.1,1.2,0.049,-3.5,0.1,-3.4,-0.4,http://www.basketball-reference.com/players/w/wrighan01.html
2006-07,Antonio Daniels,SG,daniean01,31,80,1761,15,0.572,0.162,0.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,4.1,0.2,4.3,0.116,0.3,-2.8,-2.6,-0.2,http://www.basketball-reference.com/players/d/daniean01.html
2006-07,Antonio McDyess,PF,mcdyean01,32,82,1729,18.1,0.552,0,0.257,11.3,22.7,17,7.2,1.9,2.9,11.1,18.6,2.8,3.2,6,0.168,-0.4,1.8,1.5,1.5,http://www.basketball-reference.com/players/m/mcdyean01.html
2006-07,Austin Croshere,PF,croshau01,31,61,727,10.9,0.463,0.41,0.234,5.6,24.8,15.4,9.2,1,0.6,11.9,17.8,0.1,1.1,1.3,0.083,-2.4,0,-2.4,-0.1,http://www.basketball-reference.com/players/c/croshau01.html
2006-07,Baron Davis,PG,davisba01,27,63,2221,21,0.53,0.272,0.358,2.5,11.3,6.8,36.9,2.9,1,13.9,26.5,4.1,2.3,6.4,0.139,3.5,0,3.4,3.1,http://www.basketball-reference.com/players/d/davisba01.html
2006-07,Ben Gordon,SG,gordobe01,23,82,2704,18.2,0.572,0.28,0.329,1.5,9.3,5.4,20.1,1.2,0.5,14,29.3,4.7,3.9,8.6,0.152,2.6,-1.2,1.4,2.4,http://www.basketball-reference.com/players/g/gordobe01.html
2006-07,Ben Wallace,C,wallabe01,32,77,2697,14.6,0.456,0.012,0.63,12.9,21.7,17.4,9.9,2.1,4.6,15.7,10.6,1.6,6.6,8.2,0.146,-1.1,6.8,5.7,5.2,http://www.basketball-reference.com/players/w/wallabe01.html
2006-07,Beno Udrih,PG,udrihbe01,24,73,948,10.3,0.459,0.334,0.174,1.5,8.7,5.2,20.6,1.5,0.1,13.1,21.3,-0.3,1.4,1,0.053,-2.6,-1.2,-3.8,-0.4,http://www.basketball-reference.com/players/u/udrihbe01.html
2006-07,Bernard Robinson,SF,robinbe01,26,10,37,16.2,0.49,0,0.625,3.2,15.8,9.6,8.3,5.7,2.1,0,12.8,0.1,0.1,0.1,0.181,-2.4,4.1,1.7,0,http://www.basketball-reference.com/players/r/robinbe01.html
