Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url
2000-01,A.C. Green,PF,greenac01,37,82,1411,11.2,0.492,0.019,0.343,9,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-3.2,0.2,-3,-0.3,http://www.basketball-reference.com/players/g/greenac01.html
2000-01,A.J. Guyton,PG,guytoaj01,22,33,630,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-1.5,-4.4,-5.9,-0.6,http://www.basketball-reference.com/players/g/guytoaj01.html
2000-01,Aaron McKie,SG,mckieaa01,28,76,2394,15.1,0.549,0.238,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.118,0.9,1,1.9,2.4,http://www.basketball-reference.com/players/m/mckieaa01.html
2000-01,Aaron Williams,PF,williaa01,29,82,2336,15.1,0.533,0.003,0.477,10.1,19.2,14.5,6.5,1.3,3.6,14.4,17.8,2.9,2.3,5.2,0.107,-1.5,0.9,-0.5,0.9,http://www.basketball-reference.com/players/w/williaa01.html
2000-01,Adam Keefe,PF,keefead01,30,67,836,9.7,0.45,0.019,0.396,10.5,16.4,13.3,6.5,1.7,1.7,17.6,11.5,0.1,0.5,0.6,0.032,-3.9,0.2,-3.7,-0.3,http://www.basketball-reference.com/players/k/keefead01.html
2000-01,Adonal Foyle,C,foylead01,25,58,1457,12.4,0.422,0,0.181,10.5,19.7,14.7,5.2,1.1,7.6,16.3,14,-0.8,1.5,0.7,0.022,-4.8,3.2,-1.6,0.2,http://www.basketball-reference.com/players/f/foylead01.html
2000-01,Adrian Griffin,SF,griffad01,26,44,377,10.5,0.432,0.268,0.247,8,19.4,13.5,11.7,2.5,1,14.3,15.1,0,0.5,0.4,0.056,-3.3,0.4,-2.9,-0.1,http://www.basketball-reference.com/players/g/griffad01.html
2000-01,Al Harrington,PF,harrial01,20,78,1892,10.2,0.479,0.013,0.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,-1,2.2,1.2,0.031,-3.2,0.7,-2.5,-0.2,http://www.basketball-reference.com/players/h/harrial01.html
2000-01,Alan Henderson,PF,hendeal01,28,73,1810,14,0.487,0.001,0.404,11,14,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6,http://www.basketball-reference.com/players/h/hendeal01.html
2000-01,Allan Houston,SG,houstal01,29,78,2858,16.1,0.543,0.209,0.254,0.9,10.8,6,12,1,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.2,-0.9,0.3,1.6,http://www.basketball-reference.com/players/h/houstal01.html
