Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2012-13,A.J. Price,PG,priceaj01,26,57,1278,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.1,-1.7,-1.8,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,57,1278,0.39,18.3,0.516,0.092,0.116,0.114,0.194,0.484,0.427,0.553,0.417,0.447,0.363,0.35,0.308,0,0,0.771,0.23,0.391,0,0
2012-13,Aaron Brooks,PG,brookaa01,28,35.33333333,664.6666667,9.833333333,0.500666667,0.460333333,0.112333333,1.966666667,6.333333333,4.1,19.63333333,1.433333333,2.466666667,18.73333333,18.56666667,0.533333333,0,0.566666667,0.007666667,-1.866666667,-1.966666667,-3.833333333,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,7,38,0.308,18.3,0.462,0.308,0,0,0.154,0.538,0.333,0.5,0,0,0,0.286,1,0,0,1,0.143,0,0,0
2012-13,Aaron Gray,C,grayaa01,28,42,513,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,42,513,0.533,3.9,1,0.578,0.367,0.033,0.022,0,0.533,0.635,0.364,0.667,0.5,0,0.708,0.089,8,0,0,0,0,0
2012-13,Al Harrington,C,harrial01,32,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-1.7,-2.1,-3.8,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,10,119,0.351,16.3,0.474,0.298,0.053,0.018,0.105,0.526,0.444,0.529,0.333,0,0.333,0.267,0.333,0,0,1,0.233,0.143,0,0
2012-13,Al Horford,C,horfoal01,26,74,2756,19.8,0.56,0.006,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,0.7,2.4,3.1,3.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,74,2756,0.543,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.544,0.752,0.434,0.446,0.423,0.5,0.771,0.098,101,0.667,0.5,0.667,0,0
2012-13,Al Jefferson,C,jeffeal01,28,78,2578,20.9,0.522,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,0.5,1,1.5,2.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,78,2578,0.494,10.2,0.986,0.241,0.291,0.169,0.285,0.014,0.5,0.718,0.464,0.416,0.401,0.118,0.547,0.059,65,1,0.176,0,3,0
2012-13,Al-Farouq Aminu,SF,aminual01,22,76,2066,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-2,2.4,0.4,1.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,76,2066,0.475,7.1,0.96,0.489,0.224,0.08,0.167,0.04,0.486,0.642,0.368,0.316,0.266,0.211,0.71,0.19,80,1,0.421,0.375,0,0
2012-13,Alan Anderson,SF,anderal01,30,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,0.4,-2.4,-2,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,65,1495,0.383,16.7,0.537,0.148,0.14,0.107,0.143,0.463,0.426,0.681,0.372,0.409,0.227,0.333,0.447,0.008,5,0.853,0.323,0.359,0,0
2012-13,Alec Burks,SG,burksal01,21,64,1137,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,0.3,0.7,1,0.044,-1.4,-1.3,-2.7,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,64,1137,0.42,13.1,0.763,0.302,0.155,0.054,0.253,0.237,0.439,0.615,0.267,0.238,0.378,0.359,0.423,0.049,19,0.848,0.174,0.375,0,0
2012-13,Alexey Shved,SG,shvedal01,24,77,1840,11,0.474,0.454,0.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,0.02,-1,-1.1,-2.1,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,77,1840,0.372,16.6,0.546,0.217,0.098,0.068,0.164,0.454,0.435,0.609,0.371,0.349,0.279,0.295,0.331,0.024,15,0.706,0.087,0.48,1,0
