Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2014-15,Lucas Nogueira,C,noguelu01,22,6,23,5.2,0.307,0,0.5,10,45.1,27.6,6.2,4.5,0,17,23.1,-0.1,0.1,0,-0.071,-11,0.7,-10.3,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/noguelu01.html,6,23,0.25,5,1,0.625,0.125,0.125,0.125,0,0.25,0.4,0,0,0,0,1,0.375,2,0,0,0,0,0
2014-15,Luigi Datome,SF,datomlu01,27,14,139.3333333,15.56666667,0.550666667,0.416666667,0.008,2.933333333,15.73333333,9.166666667,12.83333333,1.266666667,1.8,10.56666667,25.5,0.166666667,0.133333333,0.266666667,0.056,-0.266666667,-1.566666667,-1.833333333,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/datomlu01.html,18,192,0.494,18.4,0.532,0.104,0.078,0.156,0.195,0.468,0.512,0.75,0.667,0.417,0.4,0.472,0.667,0.039,3,0.941,0.111,0.25,0,0
2014-15,Luis Scola,PF,scolalu01,34,81,1659,16.8,0.515,0.031,0.352,9.3,25.6,17.5,11,1.5,0.8,11.3,22.8,1.7,2.7,4.4,0.126,-1.5,0.7,-0.7,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/scolalu01.html,81,1659,0.467,9.9,0.969,0.372,0.184,0.069,0.343,0.031,0.474,0.611,0.39,0.318,0.4,0.25,0.647,0.006,4,0.8,0.55,0.364,3,0
2014-15,Luke Babbitt,SF,babbilu01,25,63,830,11.1,0.639,0.599,0.099,1.6,13.5,7.6,4.3,1.1,1,11.5,12.4,1.1,0.5,1.6,0.092,0,-1.4,-1.4,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/babbilu01.html,63,830,0.479,18.3,0.401,0.094,0.135,0.099,0.073,0.599,0.429,0.5,0.423,0.368,0.429,0.513,0.515,0.005,1,1,0.426,0.551,0,0
2014-15,Luke Ridnour,PG,ridnolu01,33,47,683,10,0.507,0.358,0.119,1.3,10.1,5.6,21,1.5,0.5,17,14.8,0.3,0.3,0.6,0.042,-2.3,-1.7,-4,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/ridnolu01.html,47,683,0.426,18.2,0.642,0.085,0.091,0.097,0.369,0.358,0.487,0.467,0.25,0.471,0.554,0.317,0.164,0,0,0.75,0.333,0.429,0,0
2014-15,Luol Deng,SF,denglu01,29,72,2421,15.5,0.561,0.28,0.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,3.7,1.6,5.4,0.106,1.1,-0.6,0.5,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/denglu01.html,72,2421,0.469,13,0.72,0.309,0.122,0.098,0.192,0.28,0.513,0.646,0.458,0.377,0.404,0.355,0.595,0.028,21,0.974,0.495,0.44,2,0
2014-15,Malcolm Lee,SG,leema01,24,1,2,-19.7,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,-0.527,-21.9,-6.7,-28.5,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leema01.html,1,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-15,Malcolm Thomas,PF,thomama01,26,17,194,8.2,0.492,0.175,0.325,8.5,23.5,15.6,6,0.8,0.4,22.1,13.2,-0.1,0.2,0.1,0.023,-6.4,-1,-7.4,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thomama01.html,17,194,0.45,7.9,0.825,0.5,0.225,0.025,0.075,0.175,0.545,0.75,0.222,0,0.333,0,0.667,0.1,4,0,0.143,0,0,0
2014-15,Manu Ginobili,SG,ginobma01,37,70,1587,16.2,0.544,0.438,0.346,2,12.8,7.5,28.6,2.2,0.9,18.5,23.9,1.4,2.3,3.7,0.111,1.4,0.3,1.7,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/ginobma01.html,70,1587,0.426,14.4,0.562,0.28,0.151,0.07,0.061,0.438,0.489,0.594,0.449,0.366,0.25,0.345,0.451,0.002,1,0.798,0.167,0.465,1,0
2014-15,Marc Gasol,C,gasolma01,30,81,2687,21.7,0.558,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gasolma01.html,81,2687,0.494,10.1,0.984,0.239,0.283,0.221,0.242,0.016,0.5,0.699,0.469,0.43,0.402,0.176,0.628,0.054,56,0.667,0,0,3,0
