Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2011-12,A.J. Price,PG,priceaj01,25,44,568,11.5,0.454,0.506,0.201,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.2,-1.7,-1.9,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,44,568,0.339,19.4,0.494,0.08,0.092,0.121,0.201,0.506,0.384,0.571,0.125,0.524,0.343,0.295,0.212,0,0,0.731,0.091,0.5,2,0
2011-12,Aaron Gray,C,grayaa01,27,49,813,11.1,0.526,0,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,-2,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,49,813,0.516,4.2,1,0.578,0.311,0.099,0.012,0,0.516,0.656,0.28,0.438,0.5,0,0.663,0.062,9,0,0,0,0,0
2011-12,Al Harrington,PF,harrial01,31,64,1761,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.8,-1.3,-0.5,0.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,64,1761,0.446,13.4,0.608,0.37,0.088,0.048,0.102,0.392,0.519,0.629,0.265,0.378,0.405,0.333,0.586,0.035,27,0.98,0.284,0.407,2,0
2011-12,Al Horford,C,horfoal01,25,11,348,19,0.585,0.01,0.291,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,0.5,2.3,2.8,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,11,348,0.553,8.9,0.99,0.369,0.243,0.087,0.291,0.01,0.559,0.684,0.6,0.444,0.4,0,0.579,0.117,10,0,0,0,0,0
2011-12,Al Jefferson,C,jeffeal01,27,61,2075,22.8,0.52,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,1.7,1.3,3,2.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,61,2075,0.492,9.2,0.996,0.218,0.364,0.216,0.199,0.004,0.493,0.68,0.491,0.394,0.402,0.25,0.522,0.053,52,1,0,0,0,0
2011-12,Al-Farouq Aminu,SF,aminual01,21,66,1477,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18,16.2,-0.4,1.8,1.4,0.044,-3,1.6,-1.3,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,66,1477,0.411,9.7,0.871,0.389,0.205,0.077,0.2,0.129,0.431,0.563,0.32,0.25,0.356,0.277,0.591,0.11,37,1,0.34,0.25,0,0
2011-12,Alan Anderson,SF,anderal01,29,17,461,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-3.4,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,17,461,0.387,16.9,0.57,0.148,0.106,0.106,0.211,0.43,0.383,0.619,0.267,0.2,0.367,0.393,0.452,0.028,3,0.875,0.246,0.4,0,0
2011-12,Alec Burks,SG,burksal01,20,59,939,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.2,-2.2,-2.5,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,59,939,0.429,10.9,0.874,0.364,0.188,0.062,0.261,0.126,0.442,0.638,0.269,0.273,0.333,0.333,0.514,0.05,17,0.867,0.267,0.333,2,0
2011-12,Alonzo Gee,SG,geeal01,24,63,1827,13.2,0.516,0.249,0.385,6.1,14.3,10,10.6,2.4,0.7,15,18.7,1.2,1.2,2.4,0.063,-0.5,0.1,-0.5,0.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,63,1827,0.412,10.8,0.751,0.387,0.171,0.08,0.114,0.249,0.442,0.601,0.191,0.273,0.397,0.321,0.47,0.1,50,0.955,0.401,0.273,0,0
2011-12,Amar'e Stoudemire,PF,stoudam01,29,47,1543,17.7,0.541,0.032,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,1.8,2.3,4.1,0.128,-1.5,0.1,-1.4,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,47,1543,0.483,8.8,0.968,0.394,0.205,0.102,0.266,0.032,0.491,0.709,0.328,0.269,0.379,0.238,0.611,0.142,83,0.8,0.381,0.125,1,0
