Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2008-09,Aaron Brooks,PG,brookaa01,24,80,1998,12.9,0.521,0.395,0.22,2,7,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,0.086,0.2,-1.5,-1.3,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,80,1998,0.404,14.8,0.605,0.269,0.135,0.095,0.106,0.395,0.428,0.469,0.358,0.378,0.458,0.366,0.202,0.001,1,0.664,0.146,0.422,11,0
2008-09,Aaron Gray,C,grayaa01,24,56,715,11.5,0.508,0.006,0.353,13.5,21.7,17.6,9.6,1,1.8,17.2,14.5,0.5,0.8,1.3,0.086,-2.1,0.6,-1.5,0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,56,715,0.485,3.3,0.994,0.641,0.263,0.078,0.012,0.006,0.488,0.523,0.5,0.231,0,0,0.407,0.06,9,0,0,0,1,0
2008-09,Acie Law,PG,lawac01,24,55,560,10.6,0.49,0.209,0.432,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,0.3,0.4,0.7,0.062,-3,-2,-5,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lawac01.html,55,560,0.374,12.1,0.791,0.331,0.108,0.086,0.266,0.209,0.391,0.543,0.467,0.167,0.243,0.31,0.14,0.007,1,0.778,0.414,0.583,0,0
2008-09,Adam Morrison,SF,morriad01,24,34.66666667,474,4.8,0.429333333,0.399666667,0.123333333,3.766666667,12.03333333,7.966666667,9.333333333,0.466666667,0.333333333,14.2,17,-0.4,0.366666667,0.033333333,-0.013333333,-4.6,-1.833333333,-6.433333333,-0.433333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morriad01.html,8,44,0.333,17.9,0.667,0.167,0,0.083,0.417,0.333,0.375,1,0,1,0,0.25,0.667,0.083,1,1,0.25,1,0,0
2008-09,Adonal Foyle,C,foylead01,33,6.666666667,41.33333333,11.46666667,0.623,0,0.545,11.5,20.6,16.13333333,1.766666667,0,6.333333333,18,8.466666667,0.066666667,0.133333333,0.2,0.144,-4.4,2.666666667,-1.766666667,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foylead01.html,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09,Al Harrington,PF,harrial01,28,48.66666667,1697.333333,13.7,0.506333333,0.391666667,0.212,4.9,14.56666667,9.6,7.433333333,1.833333333,0.433333333,10.03333333,24.2,1.266666667,1.333333333,2.6,0.041,-0.2,-2,-2.166666667,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,68,2380,0.446,13.9,0.613,0.318,0.074,0.088,0.132,0.387,0.499,0.59,0.388,0.386,0.417,0.362,0.307,0.024,26,0.906,0.199,0.375,1,0
2008-09,Al Horford,C,horfoal01,22,67,2242,17,0.565,0.002,0.345,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,0.145,-0.7,3.1,2.3,2.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,67,2242,0.525,7.9,0.998,0.337,0.281,0.195,0.185,0.002,0.526,0.705,0.455,0.448,0.391,0,0.663,0.131,69,0,0,0,0,0
2008-09,Al Jefferson,C,jeffeal01,24,50,1836,23.1,0.532,0.004,0.258,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,2.9,2,4.9,0.128,0.6,0.1,0.7,1.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,50,1836,0.497,7.1,0.996,0.381,0.281,0.21,0.124,0.004,0.499,0.628,0.445,0.41,0.38,0,0.522,0.042,37,0,0,0,2,0
2008-09,Al Thornton,SF,thornal01,25,71,2654,12.6,0.502,0.075,0.298,5.2,11,8,6.9,1.2,1.7,9.9,22.6,0.2,1,1.3,0.023,-2.3,-1.2,-3.5,-1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thornal01.html,71,2654,0.446,10.8,0.925,0.352,0.111,0.14,0.322,0.075,0.462,0.611,0.41,0.333,0.373,0.253,0.572,0.076,74,0.9,0.089,0,4,0
2008-09,Alando Tucker,SG,tuckeal02,24,30,282,13,0.509,0.19,0.273,8.2,4.8,6.4,6.4,0.9,0.3,9.4,23.3,0.2,0,0.2,0.039,-1.2,-4.6,-5.8,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tuckeal02.html,30,282,0.43,10,0.81,0.413,0.157,0.091,0.149,0.19,0.449,0.58,0.316,0.455,0.222,0.348,0.614,0.041,5,0.875,0.348,0.375,1,0
2008-09,Alex Acker,SG,ackeral01,26,16.66666667,132.6666667,12.06666667,0.429,0.291,0.145666667,3.166666667,10.3,6.666666667,9.866666667,2.566666667,2.2,5.766666667,22.53333333,-0.066666667,0.033333333,0,-0.005,-3.466666667,-1.4,-4.9,-0.133333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ackeral01.html,18,179,0.4,14.1,0.754,0.246,0.062,0.123,0.323,0.246,0.388,0.25,0.5,0.625,0.381,0.438,0.474,0.015,0,0.714,0.438,0.286,0,0
2008-09,Alexis Ajinca,PF,ajincal01,20,31,182,7,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018,-8.1,-1.2,-9.3,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,31,182,0.362,13.3,0.971,0.174,0.159,0.159,0.478,0.029,0.373,0.417,0.364,0.273,0.394,0,0.72,0.058,3,0,0,0,0,0
2008-09,Allen Iverson,PG-SG,iversal01,33,57,2093,15.8,0.504,0.119,0.416,1.7,8.2,4.9,23.1,2.3,0.2,12.9,25.7,0.9,1.9,2.9,0.066,0,-0.7,-0.7,0.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iversal01.html,54,1970,0.416,12.4,0.885,0.283,0.079,0.168,0.355,0.115,0.432,0.507,0.413,0.421,0.383,0.286,0.26,0,0,0.923,0.22,0.2,1,0
2008-09,Amar'e Stoudemire,PF,stoudam01,26,53,1948,20.3,0.617,0.009,0.517,7.2,18.1,12.9,8.3,1.3,2.1,14,24.2,4.6,1.4,6.1,0.149,1.3,-0.3,1,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,53,1948,0.539,7.8,0.991,0.426,0.214,0.092,0.259,0.009,0.54,0.652,0.481,0.362,0.469,0.429,0.571,0.159,109,0.667,0,0,1,0
2008-09,Amir Johnson,PF,johnsam01,21,62,911,13.5,0.608,0,0.215,13.1,17.2,15.1,3.4,1.2,5.1,15.6,11.1,1.4,1.3,2.7,0.142,-1.3,2.5,1.1,0.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,62,911,0.595,4.1,1,0.681,0.16,0.018,0.141,0,0.595,0.676,0.462,0.333,0.391,0,0.577,0.209,32,0,0,0,0,0
2008-09,Anderson Varejao,PF,varejan01,26,81,2306,14.6,0.565,0.004,0.496,8.9,20.6,15,5.4,1.8,2.3,11.5,14.2,3.3,4.7,8,0.166,-1.2,2.8,1.6,2.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,81,2306,0.536,6.7,0.996,0.53,0.149,0.125,0.192,0.004,0.538,0.7,0.347,0.349,0.361,0,0.785,0.083,40,0,0,0,1,0
2008-09,Andray Blatche,C,blatcan01,22,71,1703,15,0.508,0.033,0.257,8.5,17.9,13,11.8,1.6,3.5,14.3,21.9,0.2,1.2,1.4,0.039,-1.9,0.4,-1.5,0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/blatcan01.html,71,1703,0.471,8.5,0.967,0.421,0.165,0.16,0.221,0.033,0.479,0.63,0.356,0.366,0.367,0.238,0.5,0.078,48,0.6,0.143,0,0,0
2008-09,Andre Brown,PF,brownan01,27,4,41,-1.5,0.254,0,0.286,21.3,15,18.1,3.5,1.3,0,38.8,14.8,-0.2,0,-0.1,-0.122,-8.9,-0.4,-9.3,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownan01.html,4,41,0.143,3.4,1,0.714,0.143,0,0.143,0,0.143,0.2,0,0,0,0,0,0.143,0,0,0,0,0,0
2008-09,Andre Iguodala,SF,iguodan01,25,82,3269,18.4,0.56,0.228,0.454,3.3,14,8.6,22.4,2.1,0.9,13.9,22.3,5.6,3.5,9.2,0.134,2.8,1,3.8,4.8,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,82,3269,0.473,13,0.772,0.354,0.053,0.075,0.29,0.228,0.521,0.727,0.279,0.291,0.375,0.307,0.491,0.137,153,0.65,0.172,0.289,5,1
2008-09,Andre Miller,PG,millean02,32,82,2976,18.6,0.548,0.051,0.393,4.9,9.9,7.4,30.2,2,0.4,14,21.8,6.2,2.5,8.8,0.141,2.8,0.1,2.8,3.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millean02.html,82,2976,0.473,9.2,0.949,0.416,0.104,0.207,0.223,0.051,0.483,0.584,0.37,0.414,0.409,0.283,0.291,0,0,0.6,0.132,0.286,6,0
2008-09,Andrea Bargnani,PF,bargnan01,23,78,2453,14.6,0.559,0.304,0.278,3.4,16.4,10,6.4,0.7,3.1,11.2,22.7,1.8,2,3.9,0.076,-0.4,-0.5,-0.8,0.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bargnan01.html,78,2453,0.45,15.1,0.696,0.214,0.108,0.115,0.26,0.304,0.468,0.595,0.388,0.391,0.43,0.409,0.692,0.047,41,0.975,0.01,0,1,0
