Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2003-04,Aaron McKie,SF,mckieaa01,31,75,2112,13.9,0.55,0.298,0.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.6,0.7,1.3,1.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mckieaa01.html,75,2112,0.459,14.1,0.702,0.234,0.087,0.163,0.218,0.298,0.469,0.578,0.42,0.415,0.413,0.436,0.547,0.003,2,0.973,0.541,0.473,0,0
2003-04,Aaron Williams,C,williaa01,32,72,1337,13.2,0.549,0.009,0.453,8.9,17,13,10.4,1.4,2.7,17.8,17.5,1.1,2.3,3.4,0.122,-2.4,1.6,-0.9,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/williaa01.html,72,1337,0.503,6.2,0.991,0.468,0.254,0.123,0.146,0.009,0.504,0.681,0.299,0.357,0.42,0.333,0.778,0.137,45,1,0,0,0,0
2003-04,Adonal Foyle,C,foylead01,28,44,572,13,0.471,0,0.269,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,0.3,0.8,1.1,0.093,-3.8,2.1,-1.7,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foylead01.html,44,572,0.454,5.2,1,0.408,0.408,0.1,0.085,0,0.454,0.623,0.415,0.154,0.182,0,0.644,0.062,8,0,0,0,0,0
2003-04,Adrian Griffin,SG,griffad01,29,19,133,4.5,0.278,0.111,0.222,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,-0.2,0.2,0.1,0.031,-6.2,3.2,-3,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/griffad01.html,19,133,0.278,14.6,0.889,0.167,0.056,0.167,0.5,0.111,0.25,0.667,0,0.333,0.111,0.5,0.75,0,0,0,0.5,0,0,0
2003-04,Al Harrington,PF,harrial01,23,79,2441,14.9,0.514,0.085,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,1.8,4.1,5.9,0.116,-0.6,1,0.4,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,79,2441,0.463,10.6,0.915,0.327,0.138,0.237,0.215,0.085,0.481,0.589,0.264,0.428,0.513,0.273,0.585,0.073,65,0.905,0.364,0.321,3,0
2003-04,Alan Henderson,PF,hendeal01,31,6,68,18.2,0.508,0,0.286,18.5,16.5,17.5,5.2,0.8,2.2,11.3,17.8,0.1,0,0.2,0.109,-0.8,-2.5,-3.3,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hendeal01.html,6,68,0.476,6.7,1,0.476,0.19,0.19,0.143,0,0.476,0.6,0,0.5,0.667,0,0.6,0,0,0,0,0,0,0
2003-04,Alex Garcia,SG,garcial01,23,2,13,-4.7,0.19,0,0.286,0,0,0,0,8.3,0,11.3,31.6,-0.1,0,-0.1,-0.319,-16.7,1,-15.7,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/garcial01.html,2,13,0.143,6.6,1,0.571,0.143,0.143,0.143,0,0.143,0,0,1,0,0,1,0.143,0,0,0,0,0,0
2003-04,Allan Houston,SG,houstal01,32,50,1799,14.8,0.539,0.259,0.22,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,2.5,0.6,3.1,0.083,1.3,-2.7,-1.4,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/houstal01.html,50,1799,0.435,17.5,0.741,0.038,0.076,0.26,0.367,0.259,0.437,0.267,0.441,0.448,0.446,0.431,0.522,0,0,0.954,0.272,0.455,1,0
2003-04,Allen Iverson,SG,iversal01,28,48,2040,19.3,0.478,0.177,0.404,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3,0.5,2.3,2.8,0.066,3.1,-0.6,2.5,2.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iversal01.html,48,2040,0.387,12.8,0.823,0.276,0.116,0.121,0.311,0.177,0.408,0.532,0.346,0.338,0.349,0.286,0.339,0.004,4,0.649,0.075,0.267,0,0
2003-04,Alonzo Mourning,C,mournal01,33,12,215,13.3,0.558,0,0.479,4.4,10.4,7.4,6.6,0.5,2.2,10.4,20.9,0.4,0.3,0.6,0.14,-2.7,-1.6,-4.4,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mournal01.html,12,215,0.465,8.2,1,0.366,0.225,0.169,0.239,0,0.465,0.654,0.563,0.25,0.235,0,0.667,0.141,10,0,0,0,0,0
