Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2010-11,A.J. Price,PG,priceaj01,24,50,795,10.7,0.454,0.466,0.253,2.3,7.8,5,22.7,1.8,0.1,13,22.7,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,50,795,0.356,18.9,0.534,0.069,0.128,0.163,0.175,0.466,0.427,0.591,0.415,0.423,0.375,0.275,0.11,0,0,0.659,0.04,0.167,4,0
2010-11,Aaron Brooks,PG,brookaa01,26,39.33333333,856,13.46666667,0.495666667,0.391333333,0.246,1.833333333,5.066666667,3.466666667,29.8,1.333333333,0.2,13.7,25.9,0.466666667,0.266666667,0.733333333,0.044333333,0.566666667,-4,-3.433333333,-0.333333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,25,473,0.43,16.2,0.665,0.205,0.13,0.06,0.27,0.335,0.481,0.659,0.308,0.667,0.389,0.328,0.141,0,0,0.409,0.164,0.364,4,0
2010-11,Aaron Gray,C,grayaa01,26,41,531,11,0.566,0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.1,1.2,-1.8,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,41,531,0.566,3.3,1,0.657,0.293,0.051,0,0,0.566,0.646,0.483,0,0,0,0.554,0.101,9,0,0,0,0,0
2010-11,Acie Law,PG,lawac01,26,34,484,7.2,0.43,0.23,0.397666667,2.433333333,8.8,5.566666667,17.16666667,2.2,0,20.43333333,15.76666667,0.066666667,0.2,0.266666667,-0.019666667,-4.4,-1.433333333,-5.8,-0.333333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lawac01.html,40,632,0.467,10.2,0.82,0.431,0.138,0.084,0.168,0.18,0.526,0.639,0.304,0.5,0.429,0.2,0.375,0,0,0.833,0.6,0.222,0,0
2010-11,Al Harrington,PF,harrial01,30,73,1665,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,0.2,-1.2,-1.1,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,73,1665,0.416,15.2,0.514,0.289,0.098,0.047,0.08,0.486,0.473,0.59,0.333,0.313,0.315,0.357,0.494,0.03,18,0.966,0.271,0.36,0,0
2010-11,Al Horford,C,horfoal01,24,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4,4.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,77,2704,0.557,10.8,0.996,0.231,0.244,0.15,0.37,0.004,0.557,0.761,0.449,0.486,0.531,0.5,0.695,0.068,60,0.5,0.5,1,0,0
2010-11,Al Jefferson,C,jeffeal01,26,82,2940,20.1,0.528,0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0,0.1,0.1,1.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,82,2940,0.496,8.1,1,0.315,0.332,0.19,0.163,0,0.496,0.655,0.441,0.394,0.419,0,0.584,0.058,74,0,0,0,0,0
2010-11,Al Thornton,SF-PF,thornal01,27,71,1383,11.7,0.531,0.06,0.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,1,0.6,1.6,0.054,-2.5,-1.8,-4.3,-0.8,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thornal01.html,22,314,0.49,10.5,0.99,0.26,0.221,0.202,0.308,0.01,0.495,0.815,0.391,0.476,0.313,0,0.529,0.077,6,0,1,0,0,0
2010-11,Al-Farouq Aminu,SF,aminual01,20,81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-3.1,0.1,-3,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,81,1452,0.394,13,0.648,0.315,0.175,0.037,0.121,0.352,0.437,0.578,0.423,0.067,0.204,0.315,0.443,0.081,27,0.978,0.385,0.291,1,0
2010-11,Alexis Ajinca,C,ajincal01,22,22.66666667,226.6666667,12.33333333,0.490666667,0.247333333,0.126,6.4,20.66666667,13.5,4.666666667,1.8,4.433333333,9.266666667,21.2,0,0.233333333,0.233333333,0.059333333,-3.2,0.133333333,-3.1,-0.066666667,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,24,265,0.465,15.7,0.733,0.267,0.05,0.02,0.396,0.267,0.514,0.704,0.6,0,0.4,0.333,0.684,0.109,9,1,0,0,0,0
2010-11,Alonzo Gee,SG,geeal01,23,28,559,7.425,0.48125,0.119,0.2835,8.625,10.6,9.55,4.2,1.575,2.6,24.8,14.6,0.25,0.3,0.5,-0.01375,-4.825,0.2,-4.575,-0.025,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,40,973,0.462,9,0.791,0.491,0.175,0.03,0.094,0.209,0.492,0.617,0.268,0.286,0.318,0.347,0.505,0.132,24,0.941,0.449,0.364,0,0
2010-11,Amar'e Stoudemire,C,stoudam01,28,78,2870,22.7,0.565,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8,0.134,0.8,-0.1,0.7,1.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,78,2870,0.502,8.9,0.984,0.314,0.295,0.138,0.238,0.016,0.503,0.641,0.426,0.422,0.465,0.435,0.523,0.086,119,0.8,0.304,0.571,0,0
2010-11,Amir Johnson,PF,johnsam01,23,72,1853,17.6,0.608,0.002,0.323,11.8,17.8,14.7,6.8,1.5,3.6,10.9,15.3,4.4,1.2,5.6,0.146,1.5,1.1,2.7,2.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,72,1853,0.568,6.2,0.998,0.564,0.212,0.026,0.196,0.002,0.569,0.699,0.381,0.231,0.443,0,0.641,0.145,67,0,1,0,0,0
