Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2004-05,Aaron McKie,SG,mckieaa01,32,68,1118,8.4,0.51,0.437,0.113,2,15.5,8.7,13.4,2.2,1.2,17.2,7.1,0.5,1.5,2,0.085,-3.1,2.2,-0.9,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mckieaa01.html,68,1118,0.43,16.9,0.563,0.176,0.063,0.085,0.239,0.437,0.513,0.64,0.222,0.583,0.471,0.323,0.732,0,0,0.95,0.661,0.415,1,0
2004-05,Aaron Williams,C,williaa01,33,28,210,6.033333333,0.522666667,0,0.278,6.133333333,16.36666667,11.13333333,4.266666667,0.833333333,2,19.53333333,12.9,-0.033333333,0.2,0.166666667,0.04,-5.7,-0.233333333,-5.933333333,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/williaa01.html,23,165,0.417,8.5,1,0.306,0.25,0.278,0.167,0,0.417,0.455,0.556,0.4,0.167,0,0.867,0.083,3,0,0,0,0,0
2004-05,Adonal Foyle,C,foylead01,29,78,1700,12.7,0.514,0,0.232,10.1,17.7,13.7,4.9,0.8,6.7,14.5,10.4,1.2,2.2,3.4,0.096,-3.4,3.8,0.4,1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foylead01.html,78,1700,0.502,4.5,1,0.437,0.441,0.093,0.029,0,0.502,0.64,0.387,0.414,0.444,0,0.641,0.084,22,0,0,0,0,0
2004-05,Adrian Griffin,SF,griffad01,30,69,667,10.7,0.419,0.056,0.273,8.8,15.7,12.2,12.6,3.3,0.4,14.3,14.1,-0.1,1.4,1.3,0.095,-3.2,3.6,0.3,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/griffad01.html,69,667,0.36,12.4,0.944,0.224,0.149,0.149,0.422,0.056,0.368,0.389,0.333,0.417,0.353,0.222,0.518,0,0,1,0.333,0.333,0,0
2004-05,Al Harrington,SF,harrial01,24,66,2550,14.4,0.508,0.075,0.356,6.3,15.2,10.5,14.5,1.8,0.5,15.2,23.6,0.6,1,1.6,0.03,-0.5,-0.8,-1.3,0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,66,2550,0.459,8.5,0.925,0.434,0.134,0.203,0.154,0.075,0.479,0.612,0.348,0.33,0.414,0.216,0.453,0.083,81,0.938,0.378,0.214,3,0
2004-05,Al Jefferson,PF,jeffeal01,20,71,1051,16.6,0.554,0.008,0.366,13.5,21,17.3,3.9,1.1,3.9,13.3,21.2,1.3,1.4,2.7,0.123,-1.7,-0.9,-2.7,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,71,1051,0.528,4.4,0.992,0.542,0.333,0.087,0.03,0.008,0.533,0.585,0.504,0.406,0.273,0,0.585,0.136,49,0,0.333,0,1,0
2004-05,Alan Henderson,PF,hendeal01,32,78,1203,12.4,0.539,0.009,0.345,15.6,16.8,16.2,2.6,1.2,2.3,16.2,11.3,1.5,1.5,3.1,0.122,-0.9,0.6,-0.3,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hendeal01.html,78,1203,0.527,3.3,0.991,0.677,0.209,0.082,0.023,0.009,0.532,0.631,0.304,0.333,0.4,0,0.552,0.068,15,0,0,0,1,0
2004-05,Aleksandar Radojevic,C,radojal01,28,12,128,-1.5,0.406,0,0.526,8.5,18.9,13.6,7,0,1.3,39.1,13.8,-0.4,0.1,-0.3,-0.117,-8.3,-0.8,-9,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/radojal01.html,12,128,0.316,4.2,1,0.632,0.211,0.158,0,0,0.316,0.167,0.5,0.667,0,0,0.667,0.053,1,0,0,0,0,0
2004-05,Alex Garcia,SG,garcial01,24,8,146,8.4,0.409,0.346,0.077,5.5,6.8,6.1,22.1,1.5,0.6,13,19.7,-0.1,0.1,-0.1,-0.018,-2.5,-2.1,-4.5,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/garcial01.html,8,146,0.346,13,0.654,0.365,0.058,0.038,0.192,0.346,0.382,0.526,0,0.5,0.2,0.278,0.462,0.019,1,0.8,0.389,0.143,0,0
2004-05,Allan Houston,SG,houstal01,33,20,532,12.5,0.529,0.39,0.21,0.9,4.2,2.5,13.4,0.8,0.3,8.6,21,0.7,0,0.7,0.064,0.5,-4,-3.5,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/houstal01.html,20,532,0.415,19.4,0.61,0.024,0.029,0.22,0.337,0.39,0.432,0.4,0.667,0.422,0.42,0.388,0.648,0,0,0.935,0.375,0.3,1,0
2004-05,Allen Iverson,PG,iversal01,29,75,3174,23.2,0.532,0.186,0.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35,5.3,3.7,9,0.136,4.8,-0.5,4.3,5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iversal01.html,75,3174,0.424,12.2,0.814,0.313,0.095,0.154,0.252,0.186,0.451,0.548,0.434,0.386,0.376,0.308,0.169,0.002,3,0.567,0.098,0.424,1,0
2004-05,Alonzo Mourning,C-PF,mournal01,34,37,702,15.4,0.515,0,0.665,9,24.5,16.8,4.6,0.6,8.3,17.2,22.1,-0.3,1.5,1.2,0.08,-5.9,2.5,-3.4,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mournal01.html,19,245,0.516,4.9,1,0.516,0.306,0.048,0.129,0,0.516,0.656,0.474,0,0.25,0,0.594,0.194,10,0,0,0,0,0
2004-05,Amar'e Stoudemire,C,stoudam01,22,80,2889,26.6,0.617,0.012,0.595,8.5,17.4,13.2,7.7,1.3,3,10.1,28.3,11.3,3.3,14.6,0.243,3.4,0,3.4,3.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,80,2889,0.559,7,0.988,0.46,0.209,0.155,0.165,0.012,0.564,0.708,0.412,0.449,0.459,0.188,0.597,0.195,237,0.667,0.188,0.333,3,0
