Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2007-08,Aaron Brooks,PG,brookaa01,23,51,608,13.1,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,0.112,0,-1.8,-1.8,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,51,608,0.413,16,0.516,0.276,0.053,0.058,0.129,0.484,0.491,0.548,0.583,0.308,0.414,0.33,0.211,0.004,1,0.917,0.174,0.368,0,0
2007-08,Aaron Gray,C,grayaa01,23,61,613,13.9,0.529,0.005,0.485,12.5,18.7,15.5,11.4,1.8,2,18.7,22,0.1,0.8,0.8,0.066,-2.4,0.4,-2,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,61,613,0.505,4.1,0.995,0.574,0.27,0.118,0.034,0.005,0.507,0.556,0.509,0.375,0.143,0,0.505,0.069,13,0,0,0,0,0
2007-08,Aaron Williams,C,williaa01,36,30,297,10.3,0.54,0,0.327,5.8,18,11.9,4.9,2.1,3.8,17.1,11.8,0,0.4,0.4,0.072,-4.7,2.4,-2.3,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/williaa01.html,30,297,0.491,5.6,1,0.436,0.309,0.164,0.091,0,0.491,0.458,0.588,0.556,0.2,0,0.556,0.073,3,0,0,0,0,0
2007-08,Acie Law,PG,lawac01,23,56,865,7.7,0.455,0.143,0.203,1.6,6,3.8,20.4,1.8,0,17.8,16.5,-0.5,0.4,-0.1,-0.007,-4.1,-2.6,-6.7,-1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lawac01.html,56,865,0.401,10.2,0.857,0.426,0.097,0.105,0.228,0.143,0.433,0.525,0.435,0.32,0.315,0.206,0.295,0.008,2,0.857,0.265,0.333,1,0
2007-08,Adonal Foyle,C,foylead01,32,82,774,9.9,0.464,0,0.222,11,19.6,15.5,3.4,1.1,4.2,16,11.8,0,1.3,1.3,0.08,-4.4,2.4,-2,0,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foylead01.html,82,774,0.458,3.2,1,0.614,0.32,0.065,0,0,0.458,0.5,0.469,0,0,0,0.629,0.033,5,0,0,0,0,0
2007-08,Adrian Griffin,SG-SF,griffad01,33,35,307,8.7,0.406,0,0.118,10,11.4,10.7,13.4,2.8,0.5,20.8,14.5,-0.3,0.3,0,0.001,-4.2,1.2,-3,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/griffad01.html,13,85,0.375,7.6,1,0.375,0.313,0.188,0.125,0,0.375,0.667,0.4,0,0,0,0.333,0,0,0,0,0,0,0
2007-08,Al Harrington,C,harrial01,27,81,2190,15.6,0.547,0.442,0.206,5,16.9,10.7,8.9,1.6,0.5,8.2,21.1,3.7,1.7,5.4,0.118,1.6,-1.6,-0.1,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,81,2190,0.434,15.8,0.558,0.245,0.103,0.062,0.148,0.442,0.482,0.628,0.347,0.439,0.35,0.375,0.484,0.049,40,1,0.221,0.4,3,0
2007-08,Al Horford,C,horfoal01,21,81,2540,14.7,0.539,0.007,0.317,11.4,24.5,18,7.9,1.2,2.2,15.3,16,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,81,2540,0.499,7.3,0.993,0.412,0.251,0.136,0.193,0.007,0.502,0.64,0.429,0.429,0.357,0,0.676,0.108,68,0,0,0,1,0
2007-08,Al Jefferson,C,jeffeal01,23,82,2919,22.7,0.535,0.003,0.273,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,4.8,2.9,7.7,0.127,0.6,-0.3,0.3,1.7,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,82,2919,0.5,6.9,0.997,0.35,0.356,0.206,0.084,0.003,0.502,0.669,0.456,0.38,0.298,0,0.51,0.076,97,0,0,0,3,0
2007-08,Al Thornton,PF,thornal01,24,79,2158,12.7,0.504,0.149,0.331,5.2,14,9.6,8.4,1.1,1.5,11.4,24.1,-0.5,1.6,1.1,0.025,-2.5,-1.3,-3.8,-1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thornal01.html,79,2158,0.429,12.8,0.851,0.285,0.092,0.147,0.327,0.149,0.447,0.617,0.413,0.352,0.351,0.331,0.544,0.042,35,0.93,0.031,0.25,3,0
