Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2013-14,A.J. Price,SG,priceaj01,27,28,99,9.7,0.469,0.478,0.043,1.1,10.2,5.5,21.5,0.5,0,13,23.2,-0.1,0,0,-0.012,-2.1,-3.9,-6,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,28,99,0.413,19.7,0.522,0.065,0.043,0.043,0.37,0.478,0.542,1,0.5,1,0.412,0.273,0.231,0,0,0.833,0.045,1,0,0
2013-14,Aaron Brooks,PG,brookaa01,29,48,1038,12.43333333,0.518333333,0.431333333,0.163666667,3.166666667,6.633333333,4.9,23.03333333,1.633333333,0.6,15.76666667,20.46666667,0.833333333,0.6,1.433333333,0.067,0.366666667,-1.866666667,-1.5,0.133333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,29,841,0.406,14.6,0.635,0.226,0.189,0.107,0.113,0.365,0.431,0.556,0.3,0.353,0.472,0.362,0.126,0,0,0.595,0.129,0.4,2,0
2013-14,Aaron Gray,C,grayaa01,29,24.66666667,236.6666667,7.133333333,0.521666667,0.011,0.435,14.53333333,24.46666667,19.46666667,13.46666667,0.966666667,1.233333333,36.9,14.2,-0.166666667,0.266666667,0.066666667,0.009,-4.4,1.366666667,-3.033333333,-0.033333333,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grayaa01.html,33,335,0.431,5.9,0.983,0.362,0.5,0.103,0.017,0.017,0.439,0.524,0.31,0.667,1,0,0.64,0.034,2,0,0,0,0,0
2013-14,Adonis Thomas,SF,thomaad01,20,5,30.5,6.55,0.428,0.345,0.091,0,11.7,5.85,13.3,0,0,3.25,18.2,0,0,0,-0.015,-4.65,-4.75,-9.4,-0.05,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thomaad01.html,2,13,0.6,20.2,0.6,0,0.2,0,0.4,0.4,0.667,0,1,0,0.5,0.5,0,0,0,1,0,0,0,0
2013-14,Al Harrington,PF,harrial01,33,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-2.2,-2.4,-4.6,-0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrial01.html,34,511,0.396,15.1,0.517,0.304,0.106,0.043,0.063,0.483,0.449,0.587,0.227,0.333,0.231,0.34,0.646,0.039,8,1,0.24,0.458,0,0
2013-14,Al Horford,C,horfoal01,27,29,958,22,0.588,0.026,0.202,8,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,0.8,2,2.8,1.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,29,958,0.567,10.2,0.974,0.31,0.198,0.131,0.336,0.026,0.572,0.754,0.47,0.491,0.496,0.364,0.709,0.079,32,1,1,0.364,0,0
2013-14,Al Jefferson,C,jeffeal01,29,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,73,2553,0.509,9,0.989,0.289,0.305,0.192,0.203,0.011,0.512,0.681,0.514,0.428,0.348,0.2,0.611,0.021,28,1,0.067,0,4,0
2013-14,Al-Farouq Aminu,SF,aminual01,23,80,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,-0.3,0.9,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,80,2045,0.474,8.6,0.903,0.453,0.204,0.04,0.202,0.097,0.496,0.661,0.317,0.45,0.32,0.271,0.674,0.087,42,1,0.625,0.333,0,0
2013-14,Alan Anderson,SF,anderal01,31,78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,78,1773,0.4,17,0.489,0.181,0.087,0.103,0.118,0.511,0.464,0.659,0.238,0.4,0.386,0.339,0.436,0.019,9,0.893,0.359,0.281,2,0
2013-14,Alec Burks,SG,burksal01,22,78,2193,15.8,0.547,0.172,0.449,3,10.7,6.8,16.9,1.7,0.5,13,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,78,2193,0.457,11.5,0.828,0.342,0.197,0.06,0.229,0.172,0.48,0.644,0.354,0.42,0.358,0.35,0.327,0.037,28,0.82,0.266,0.395,9,0
2013-14,Alex Len,C,lenal01,20,42,362,7.3,0.469,0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,42,362,0.423,6.7,1,0.474,0.205,0.218,0.103,0,0.423,0.595,0.375,0.294,0,0,0.485,0.141,10,0,0,0,0,0
2013-14,Alexey Shved,SG,shvedal01,25,63,664,10.2,0.452,0.43,0.38,3.4,10.1,6.6,14.9,1.9,1.8,14.8,20.8,-0.4,0.7,0.2,0.017,-2.7,-0.4,-3.1,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,63,664,0.321,15.1,0.57,0.3,0.089,0.063,0.118,0.43,0.341,0.521,0.238,0.067,0.107,0.294,0.391,0.03,7,0.633,0.127,0.385,1,0
2013-14,Alexis Ajinca,C,ajincal01,25,56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,56,951,0.546,6.8,0.996,0.494,0.197,0.181,0.129,0.004,0.548,0.642,0.388,0.467,0.531,0,0.706,0.213,46,0,0,0,0,0
2013-14,Allen Crabbe,SG,crabbal01,21,15,100,7.7,0.475,0.424,0.121,1.1,8.5,4.8,8.7,1,0.7,7.9,16.5,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,15,100,0.364,15.6,0.576,0.242,0.091,0.061,0.182,0.424,0.316,0.375,0.333,0.5,0.167,0.429,0.667,0,0,0.833,0.286,0.5,0,0
2013-14,Alonzo Gee,SF,geeal01,26,65,1020,8.6,0.491,0.246,0.258,3.8,12.8,8.2,6.9,2,1.2,14.3,13.4,-0.1,1,0.9,0.041,-3.3,0.7,-2.6,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,65,1020,0.415,11.5,0.754,0.394,0.106,0.114,0.14,0.246,0.444,0.613,0.4,0.296,0.121,0.328,0.633,0.157,35,0.947,0.707,0.366,1,0
2013-14,Amar'e Stoudemire,C,stoudam01,31,65,1466,18.8,0.596,0,0.364,8.7,17.2,12.8,4.2,0.8,2.2,12.3,23.4,2.9,0.9,3.8,0.124,-0.8,-2.3,-3.1,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,65,1466,0.557,7.7,1,0.43,0.233,0.073,0.263,0,0.557,0.679,0.5,0.512,0.422,0,0.621,0.147,76,0,0,0,0,0
2013-14,Amir Johnson,PF,johnsam01,26,77,2214,15.4,0.592,0.108,0.234,9,17.6,13.3,8.7,1.3,3.2,15.4,16.4,3.2,3.1,6.3,0.136,0.2,2.4,2.6,2.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,77,2214,0.562,7.8,0.892,0.436,0.297,0.047,0.111,0.108,0.593,0.712,0.478,0.586,0.441,0.303,0.71,0.103,57,0.95,0.242,0.188,0,0
