Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Guyton,PG,guytoaj01,24.0,2.0,9.0,-9.0,0.0,0.25,0.0,0.0,0.0,0.0,28.7,5.7,0.0,20.0,23.6,-0.1,0.0,-0.1,-0.45,-16.4,-6.0,-22.4,0.0
Aaron McKie,SF,mckieaa01,30.0,80.0,2374.0,13.7,0.497,0.168,0.201,3.0,14.5,8.7,18.6,2.9,0.3,13.1,15.8,2.1,3.0,5.1,0.104,0.0,1.4,1.4,2.0
Aaron Williams,C,williaa01,31.0,81.0,1597.0,11.9,0.504,0.002,0.296,9.8,13.9,11.8,9.0,0.9,2.7,14.6,16.4,1.2,2.4,3.7,0.11,-2.3,1.3,-1.0,0.4
Adam Harrington,SG,harriad01,22.0,12.6666666667,74.0,6.4,0.383333333333,0.368,0.108666666667,0.833333333333,7.26666666667,3.93333333333,16.2666666667,1.0,0.9,5.0,17.8,-0.0333333333333,0.0333333333333,0.0333333333333,-0.013,-4.86666666667,-3.16666666667,-8.03333333333,-0.0666666666667
Adonal Foyle,C,foylead01,27.0,82.0,1787.0,15.3,0.563,0.003,0.301,10.6,18.5,14.6,3.1,1.1,7.6,15.7,11.0,2.3,1.7,4.0,0.106,-1.2,2.7,1.5,1.6
Adrian Griffin,SG,griffad01,28.0,74.0,1373.0,11.5,0.463,0.071,0.095,7.1,14.1,10.6,11.0,2.9,0.3,11.8,13.2,0.9,1.9,2.9,0.1,-1.1,2.0,0.9,1.0
Al Harrington,SF,harrial01,22.0,82.0,2467.0,12.4,0.493,0.051,0.306,7.4,15.7,11.6,8.8,1.5,1.0,13.8,21.6,0.7,3.2,3.9,0.075,-2.0,0.2,-1.8,0.1
Alan Henderson,C,hendeal01,30.0,82.0,1494.0,12.1,0.508,0.006,0.422,12.4,17.8,15.2,4.5,1.2,1.5,13.6,13.8,1.5,1.1,2.6,0.083,-2.1,-0.9,-3.0,-0.4
Allan Houston,SG,houstal01,31.0,82.0,3108.0,17.7,0.563,0.307,0.27,1.0,7.9,4.4,13.2,0.9,0.2,9.8,27.0,6.6,0.6,7.2,0.111,3.2,-3.1,0.2,1.7
Allen Iverson*,SG,iversal01,27.0,82.0,3485.0,21.2,0.5,0.156,0.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,5.0,4.2,9.2,0.127,3.1,-0.3,2.8,4.2
Alton Ford,PF,fordal02,21.0,11.0,31.0,-2.2,0.339,0.0,0.333,0.0,22.1,10.9,4.9,0.0,0.0,16.2,17.8,-0.1,0.0,-0.1,-0.113,-11.0,-2.6,-13.6,-0.1
Alvin Williams,PG,willial02,28.0,78.0,2638.0,16.7,0.508,0.161,0.264,2.3,8.6,5.3,27.7,2.2,0.6,11.2,19.7,4.4,1.2,5.5,0.101,1.5,-1.4,0.1,1.4
Amal McCaskill,C,mccasam01,29.0,11.0,70.0,7.3,0.293,0.0,0.235,11.9,23.5,17.9,10.8,2.3,1.0,9.6,13.6,-0.1,0.1,0.0,0.015,-5.1,0.6,-4.5,0.0
Amar'e Stoudemire,PF,stoudam01,20.0,82.0,2570.0,16.2,0.53,0.012,0.583,10.9,20.9,15.9,5.0,1.3,2.5,15.3,21.5,2.6,3.6,6.2,0.116,-1.6,0.4,-1.1,0.6
Andre Miller,PG,millean02,26.0,80.0,2913.0,15.2,0.495,0.116,0.421,3.3,9.0,6.1,31.3,1.8,0.3,15.8,20.3,3.6,1.0,4.6,0.076,0.9,-1.4,-0.5,1.1
Andrei Kirilenko,SF,kirilan01,21.0,80.0,2213.0,21.1,0.598,0.178,0.576,8.4,14.4,11.5,10.6,2.9,6.1,14.5,19.6,5.3,3.8,9.2,0.199,2.6,4.0,6.6,4.8
Andrew DeClercq,C,declean01,29.0,77.0,1327.0,11.3,0.562,0.0,0.373,11.9,17.5,14.6,6.2,1.5,2.0,20.5,13.8,1.3,1.3,2.6,0.095,-2.0,0.6,-1.4,0.2
Anfernee Hardaway,SG,hardaan01,31.0,58.0,1777.0,13.0,0.499,0.127,0.169,4.2,12.3,8.2,21.5,1.9,1.1,19.1,19.2,0.4,1.9,2.3,0.062,-1.0,1.0,0.0,0.9
Ansu Sesay,SF,sesayan01,26.0,45.0,448.0,6.1,0.404,0.0,0.196,8.8,10.4,9.6,8.1,1.7,0.9,17.7,14.8,-0.4,0.4,-0.1,-0.007,-5.0,0.0,-5.0,-0.3
Antawn Jamison,SF,jamisan01,26.0,82.0,3226.0,19.0,0.542,0.142,0.323,6.5,12.5,9.5,8.6,1.2,0.9,9.5,24.5,8.2,0.3,8.5,0.126,2.7,-2.4,0.3,1.9
Anthony Carter,PG,cartean01,27.0,49.0,912.0,9.9,0.39,0.034,0.215,1.5,9.3,5.3,37.9,2.7,0.4,24.1,17.3,-1.3,1.1,-0.2,-0.012,-4.8,-0.5,-5.3,-0.8
Anthony Goldwire,PG,goldwan01,31.0,10.0,56.6666666667,5.83333333333,0.49,0.315666666667,0.368333333333,0.0,8.36666666667,4.23333333333,7.26666666667,1.66666666667,0.0,19.1666666667,18.6666666667,-0.0666666666667,0.0666666666667,-0.0666666666667,-0.0293333333333,-5.36666666667,-2.5,-7.86666666667,-0.1
Anthony Johnson,PG,johnsan02,28.0,66.0,842.0,11.3,0.512,0.152,0.32,1.8,8.8,5.3,16.7,2.3,0.4,13.5,16.3,0.6,1.3,1.8,0.105,-2.2,-0.2,-2.4,-0.1
Anthony Mason,C,masonan01,36.0,65.0,2119.0,11.3,0.524,0.003,0.298,4.9,18.1,11.5,14.6,0.8,0.4,15.1,11.5,2.5,0.6,3.1,0.069,-1.0,0.0,-0.9,0.6
Anthony Peeler,SG,peelean01,33.0,82.0,2245.0,11.0,0.499,0.348,0.082,2.1,9.9,6.1,15.8,1.7,0.4,11.5,14.4,1.7,1.7,3.4,0.072,0.0,-0.3,-0.4,0.9
Antoine Rigaudeau,SG,rigauan01,31.0,11.0,91.0,-2.4,0.243,0.143,0.0,4.8,4.8,4.8,9.3,1.7,0.0,14.6,20.4,-0.4,0.1,-0.4,-0.192,-9.2,-2.1,-11.3,-0.2
Antoine Walker,PF,walkean02,26.0,78.0,3235.0,14.6,0.467,0.375,0.184,3.4,16.7,9.9,23.3,1.9,0.8,13.4,27.9,-1.6,4.2,2.6,0.039,0.0,0.4,0.3,1.9
Antonio Daniels,SG,daniean01,27.0,67.0,872.0,13.3,0.572,0.317,0.409,1.5,8.4,5.0,14.9,2.0,0.8,12.7,13.3,1.6,0.8,2.3,0.128,-0.3,-0.7,-0.9,0.2
Antonio Davis,C,davisan01,34.0,53.0,1894.0,14.5,0.483,0.0,0.437,7.5,19.3,13.1,11.9,0.6,2.3,13.4,21.3,1.0,1.1,2.2,0.055,-2.0,-0.1,-2.1,0.0
Antonio Harvey,PF,harvean01,32.0,4.0,32.0,2.9,0.4,0.0,0.0,3.7,17.1,10.7,0.0,1.6,8.8,37.5,11.5,-0.1,0.0,0.0,-0.068,-10.9,2.1,-8.8,-0.1
Art Long,SF,longar01,30.0,17.3333333333,140.666666667,5.83333333333,0.376333333333,0.0466666666667,0.144333333333,11.2,21.5,16.2,5.13333333333,1.36666666667,3.8,21.2,21.3666666667,-0.4,0.2,-0.233333333333,-0.0863333333333,-8.43333333333,-0.666666666667,-9.06666666667,-0.233333333333
Arvydas Sabonis*,C,sabonar01,38.0,78.0,1209.0,20.5,0.549,0.017,0.454,8.8,24.7,16.7,19.3,2.7,3.1,14.8,19.4,2.6,2.3,4.9,0.196,0.7,3.4,4.1,1.9
Austin Croshere,PF,croshau01,27.0,49.0,633.0,16.1,0.53,0.33,0.311,7.3,19.9,13.7,14.9,0.5,1.5,10.5,18.9,1.2,0.8,2.0,0.151,0.6,-0.6,0.0,0.3
