Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,priceaj01,25.0,44.0,568.0,11.5,0.454,0.506,0.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,0.063,-0.2,-1.7,-1.9,0.0
Aaron Gray,C,grayaa01,27.0,49.0,813.0,11.1,0.526,0.0,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,-2.0,0.0
Al Harrington,PF,harrial01,31.0,64.0,1761.0,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.8,-1.3,-0.5,0.6
Al Horford,C,horfoal01,25.0,11.0,348.0,19.0,0.585,0.01,0.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,0.5,2.3,2.8,0.4
Al Jefferson,C,jeffeal01,27.0,61.0,2075.0,22.8,0.52,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,1.7,1.3,3.0,2.6
Al-Farouq Aminu,SF,aminual01,21.0,66.0,1477.0,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-3.0,1.6,-1.3,0.2
Alan Anderson,SF,anderal01,29.0,17.0,461.0,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-3.4,-0.2
Alec Burks,SG,burksal01,20.0,59.0,939.0,14.0,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.2,-2.2,-2.5,-0.1
Alonzo Gee,SG,geeal01,24.0,63.0,1827.0,13.2,0.516,0.249,0.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,1.2,1.2,2.4,0.063,-0.5,0.1,-0.5,0.7
Amar'e Stoudemire,PF,stoudam01,29.0,47.0,1543.0,17.7,0.541,0.032,0.372,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,1.8,2.3,4.1,0.128,-1.5,0.1,-1.4,0.2
