Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron McKie,SF,mckieaa01,31.0,75.0,2112.0,13.9,0.55,0.298,0.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.6,0.7,1.3,1.7
Aaron Williams,C,williaa01,32.0,72.0,1337.0,13.2,0.549,0.009,0.453,8.9,17.0,13.0,10.4,1.4,2.7,17.8,17.5,1.1,2.3,3.4,0.122,-2.4,1.6,-0.9,0.4
Adonal Foyle,C,foylead01,28.0,44.0,572.0,13.0,0.471,0.0,0.269,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,0.3,0.8,1.1,0.093,-3.8,2.1,-1.7,0.0
Adrian Griffin,SG,griffad01,29.0,19.0,133.0,4.5,0.278,0.111,0.222,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,-0.2,0.2,0.1,0.031,-6.2,3.2,-3.0,0.0
Al Harrington,PF,harrial01,23.0,79.0,2441.0,14.9,0.514,0.085,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,1.8,4.1,5.9,0.116,-0.6,1.0,0.4,1.5
Alan Henderson,PF,hendeal01,31.0,6.0,68.0,18.2,0.508,0.0,0.286,18.5,16.5,17.5,5.2,0.8,2.2,11.3,17.8,0.1,0.0,0.2,0.109,-0.8,-2.5,-3.3,0.0
Alex Garcia,SG,garcial01,23.0,2.0,13.0,-4.7,0.19,0.0,0.286,0.0,0.0,0.0,0.0,8.3,0.0,11.3,31.6,-0.1,0.0,-0.1,-0.319,-16.7,1.0,-15.7,0.0
Allan Houston,SG,houstal01,32.0,50.0,1799.0,14.8,0.539,0.259,0.22,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,2.5,0.6,3.1,0.083,1.3,-2.7,-1.4,0.3
Allen Iverson*,SG,iversal01,28.0,48.0,2040.0,19.3,0.478,0.177,0.404,2.0,8.2,5.1,34.4,3.1,0.2,13.6,35.3,0.5,2.3,2.8,0.066,3.1,-0.6,2.5,2.3
Alonzo Mourning*,C,mournal01,33.0,12.0,215.0,13.3,0.558,0.0,0.479,4.4,10.4,7.4,6.6,0.5,2.2,10.4,20.9,0.4,0.3,0.6,0.14,-2.7,-1.6,-4.4,-0.1
Alton Ford,PF,fordal02,22.0,9.0,41.0,12.4,0.55,0.0,0.545,9.1,21.9,15.8,13.5,0.0,1.9,18.0,19.4,0.0,0.1,0.1,0.117,-3.0,-0.3,-3.2,0.0
Alvin Williams,SG,willial02,29.0,56.0,1730.0,11.4,0.463,0.179,0.171,1.2,8.8,5.0,23.6,1.8,0.4,12.8,17.1,0.3,1.8,2.1,0.058,-2.1,-0.3,-2.4,-0.2
Amal McCaskill,C,mccasam01,30.0,59.0,636.0,7.3,0.438,0.009,0.231,9.0,15.6,12.3,5.2,1.0,2.5,16.2,11.4,-0.1,0.7,0.6,0.047,-4.5,0.9,-3.6,-0.3
Amar'e Stoudemire,PF,stoudam01,21.0,55.0,2025.0,19.8,0.536,0.006,0.503,8.8,19.2,14.0,7.0,1.6,3.3,14.4,27.5,2.4,2.0,4.4,0.105,-0.8,-0.2,-1.0,0.5
Andre Miller,PG,millean02,27.0,82.0,2838.0,18.8,0.541,0.069,0.437,5.0,9.7,7.3,29.1,2.6,0.6,16.1,20.7,6.1,2.6,8.8,0.148,2.6,0.2,2.8,3.4
Andrei Kirilenko,PF,kirilan01,22.0,78.0,2895.0,22.6,0.559,0.216,0.533,9.5,17.5,13.5,15.7,2.9,6.3,15.8,21.9,6.5,5.0,11.6,0.192,3.6,4.7,8.2,7.5
Andrew DeClercq,C,declean01,30.0,71.0,1211.0,10.6,0.526,0.0,0.277,12.0,17.8,14.8,5.5,2.1,1.9,19.8,10.2,1.1,0.6,1.7,0.069,-1.7,0.6,-1.2,0.3
Anfernee Hardaway,SG,hardaan01,32.0,50.6666666667,1396.66666667,11.9333333333,0.476333333333,0.117666666667,0.200666666667,3.76666666667,11.6333333333,7.76666666667,14.3,1.76666666667,0.7,12.6333333333,18.4333333333,0.4,0.933333333333,1.33333333333,0.048,-1.5,-0.366666666667,-1.86666666667,0.0333333333333
Ansu Sesay,SF,sesayan01,27.0,57.0,583.0,13.0,0.504,0.118,0.258,8.8,9.8,9.3,5.4,1.7,2.6,10.4,17.6,0.6,0.2,0.8,0.065,-1.4,-1.2,-2.6,-0.1
Antawn Jamison,SF,jamisan01,27.0,82.0,2376.0,21.2,0.581,0.044,0.322,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7,8.1,1.0,9.0,0.183,3.4,-1.9,1.4,2.1
Anthony Carter,PG,cartean01,28.0,5.0,87.0,0.3,0.297,0.081,0.0,2.6,11.4,7.1,23.3,2.5,0.0,24.5,26.0,-0.5,0.2,-0.3,-0.176,-10.1,0.6,-9.5,-0.2
Anthony Goldwire,PG,goldwan01,32.0,7.33333333333,56.6666666667,7.3,0.359666666667,0.347666666667,0.0386666666667,1.06666666667,7.4,4.33333333333,16.4666666667,3.76666666667,0.0,11.7,16.0,0.0,0.0666666666667,0.0333333333333,-0.005,-5.06666666667,-0.266666666667,-5.33333333333,0.0
