Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron McKie,PG,mckieaa01,33.0,14.0,121.0,6.1,0.272,0.167,0.167,2.9,16.5,9.7,12.5,2.2,0.0,13.4,5.6,0.0,0.1,0.1,0.041,-5.2,1.5,-3.7,-0.1
Aaron Miles,PG,milesaa01,22.0,19.0,118.0,6.0,0.405,0.0,0.222,0.0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,-0.2,0.1,0.0,-0.015,-7.7,-0.5,-8.2,-0.2
Aaron Williams,C,williaa01,34.0,32.0,527.333333333,10.3333333333,0.559,0.0,0.325666666667,8.4,16.6666666667,12.4,3.0,1.43333333333,2.23333333333,14.6666666667,13.3,0.533333333333,0.533333333333,1.06666666667,0.0823333333333,-2.6,0.0,-2.63333333333,0.0
Adonal Foyle,C,foylead01,30.0,77.0,1824.0,10.3,0.524,0.0,0.223,8.5,17.6,13.0,2.8,1.2,5.1,19.5,10.0,0.3,2.5,2.8,0.075,-4.1,3.5,-0.6,0.6
Adrian Griffin,SG,griffad01,31.0,52.0,1245.0,11.6,0.521,0.01,0.26,7.4,14.4,11.0,10.8,2.2,0.6,14.6,10.0,1.4,1.5,2.9,0.113,0.2,2.2,2.3,1.4
Al Harrington,PF,harrial01,25.0,76.0,2782.0,16.0,0.513,0.157,0.287,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,2.6,1.2,3.8,0.065,0.5,-1.6,-1.1,0.6
Al Jefferson,PF,jeffeal01,21.0,59.0,1062.0,16.2,0.53,0.011,0.354,11.4,22.6,17.2,5.0,1.5,3.3,12.4,21.6,0.9,1.5,2.3,0.105,-2.6,-0.4,-3.1,-0.3
Alan Anderson,SF,anderal01,23.0,36.0,564.0,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,0.037,-1.9,-1.8,-3.7,-0.2
Alan Henderson,C,hendeal01,33.0,51.0,531.0,12.2,0.564,0.0,0.538,13.3,17.3,15.3,2.9,0.9,1.7,16.3,11.7,0.7,0.6,1.3,0.116,-2.2,-0.3,-2.4,-0.1
Alex Acker,SG,ackeral01,23.0,5.0,35.0,-2.4,0.281,0.313,0.0,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,-0.2,0.0,-0.2,-0.23,-10.4,-1.9,-12.3,-0.1
Alex Scales,SG,scaleal01,27.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,-6.0,1.6,-4.4,0.0
Allen Iverson*,PG,iversal01,30.0,72.0,3103.0,25.9,0.543,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,6.0,-2.5,3.5,4.3
Alonzo Mourning*,C,mournal01,35.0,65.0,1302.0,19.4,0.615,0.003,0.711,11.8,20.3,16.2,1.4,0.5,10.2,16.0,17.5,2.1,2.6,4.8,0.176,-2.3,3.0,0.7,0.9
Alvin Williams,PG,willial02,31.0,1.0,10.0,-4.7,0.129,0.667,0.667,0.0,38.3,18.3,0.0,0.0,0.0,0.0,17.9,-0.1,0.0,-0.1,-0.278,-14.9,-8.5,-23.4,-0.1
Amar'e Stoudemire,C,stoudam01,23.0,3.0,50.0,17.8,0.42,0.037,0.333,13.6,21.7,17.8,5.9,1.0,4.2,3.1,28.7,0.0,0.1,0.1,0.085,-4.8,-1.8,-6.6,-0.1
Amir Johnson,SF,johnsam01,18.0,3.0,39.0,20.3,0.85,0.3,0.4,9.0,3.1,6.1,13.4,0.0,3.7,25.4,19.2,0.1,0.0,0.2,0.208,3.8,-1.4,2.5,0.0
Anderson Varejao,C,varejan01,23.0,48.0,760.0,14.8,0.541,0.007,0.793,11.9,24.8,18.3,4.0,2.2,1.9,11.8,14.0,1.1,1.3,2.3,0.146,-1.9,1.2,-0.6,0.3
Andray Blatche,PF,blatcan01,19.0,29.0,175.0,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,-0.1,0.2,0.1,0.026,-4.0,-0.4,-4.4,-0.1
Andre Barrett,PG,barrean01,23.0,12.6666666667,188.0,12.1333333333,0.441666666667,0.137333333333,0.212333333333,4.23333333333,8.06666666667,6.16666666667,24.5666666667,1.3,0.0,11.6666666667,20.2,-0.1,0.0,-0.1,0.0203333333333,-2.26666666667,-3.16666666667,-5.46666666667,-0.166666666667
Andre Iguodala,SF,iguodan01,22.0,82.0,3086.0,14.8,0.598,0.23,0.507,4.4,13.8,9.1,12.9,2.3,0.5,15.4,14.7,4.9,2.6,7.5,0.116,1.2,0.9,2.1,3.2
Andre Miller,PG,millean02,29.0,82.0,2937.0,16.4,0.532,0.031,0.486,3.7,10.2,7.0,36.2,1.8,0.5,19.5,20.0,3.6,2.6,6.2,0.101,0.7,-0.2,0.5,1.8
Andre Owens,PG,owensan01,25.0,23.0,210.0,5.2,0.421,0.216,0.243,6.3,5.8,6.1,6.8,1.3,0.0,13.7,20.9,-0.3,0.1,-0.2,-0.047,-4.8,-3.6,-8.4,-0.3
Andrei Kirilenko,SF,kirilan01,24.0,69.0,2604.0,20.7,0.556,0.16,0.678,7.4,18.4,12.9,20.5,2.1,7.0,17.6,20.5,3.6,4.3,7.9,0.145,1.5,4.9,6.4,5.5
Andres Nocioni,PF,nocioan01,26.0,82.0,2239.0,16.1,0.567,0.286,0.291,4.6,21.0,12.8,9.0,0.9,1.8,11.3,21.3,3.3,3.4,6.7,0.144,0.2,0.8,1.0,1.7
Andrew Bogut,PF,bogutan01,21.0,82.0,2348.0,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,3.1,2.4,5.5,0.113,-0.2,2.0,1.8,2.3
Andrew Bynum,C,bynuman01,18.0,46.0,338.0,7.4,0.394,0.0,0.329,11.9,16.0,13.9,4.1,0.6,5.0,15.3,15.0,-0.4,0.4,0.1,0.007,-6.3,0.5,-5.8,-0.3
Andris Biedrins,C,biedran01,19.0,68.0,1000.0,13.6,0.595,0.0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,1.6,1.3,2.9,0.137,-1.5,1.7,0.2,0.6
Anfernee Hardaway,SF,hardaan01,34.0,4.0,72.0,2.0,0.336,0.071,0.143,0.0,17.1,8.4,17.0,1.5,0.0,28.7,13.1,-0.2,0.0,-0.2,-0.101,-7.5,-0.3,-7.8,-0.1
Antawn Jamison,SF,jamisan01,29.0,82.0,3288.0,17.7,0.518,0.25,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,4.9,3.2,8.2,0.119,1.0,-1.0,0.0,1.6
Anthony Carter,PG,cartean01,30.0,45.0,589.0,10.6,0.465,0.109,0.401,1.9,10.5,6.3,26.9,2.2,1.2,19.9,16.2,-0.1,0.7,0.6,0.047,-3.6,-0.3,-3.8,-0.3
Anthony Goldwire,PG,goldwan01,34.0,3.0,22.0,-5.5,0.143,0.286,0.0,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,-0.1,0.0,-0.1,-0.245,-11.7,-3.8,-15.5,-0.1
Anthony Grundy,SG,grundan01,26.0,12.0,108.0,16.6,0.589,0.395,0.368,1.1,18.3,9.5,14.7,3.4,0.0,16.9,22.4,0.1,0.1,0.2,0.095,0.1,-1.8,-1.7,0.0
Anthony Johnson,PG,johnsan02,31.0,75.0,1981.0,14.2,0.52,0.257,0.234,1.9,7.7,4.9,28.6,1.7,0.8,14.7,18.3,2.2,2.3,4.5,0.108,0.0,-0.3,-0.3,0.9
Anthony Roberson,PG,roberan02,22.0,16.0,88.0,11.7,0.549,0.323,0.065,0.0,8.2,4.1,10.7,0.6,0.0,8.6,19.3,0.1,0.1,0.2,0.088,-2.0,-3.5,-5.5,-0.1
Antoine Walker,PF,walkean02,29.0,82.0,2199.0,14.4,0.524,0.427,0.144,5.8,16.3,11.3,12.8,1.1,1.0,13.6,23.2,1.1,2.5,3.6,0.08,0.6,-0.6,0.0,1.1
Antoine Wright,SG,wrighan01,21.0,39.0,370.0,0.7,0.386,0.185,0.272,2.5,7.1,4.8,5.2,0.6,0.7,18.8,14.2,-0.8,0.3,-0.5,-0.062,-8.2,-0.8,-9.0,-0.7
Antonio Burks,PG,burksan01,25.0,57.0,570.0,5.1,0.367,0.042,0.16,0.9,7.0,3.9,22.1,2.0,0.0,18.9,16.2,-1.1,0.7,-0.4,-0.033,-6.9,-1.3,-8.2,-0.9
Antonio Daniels,SG,daniean01,30.0,80.0,2283.0,13.7,0.55,0.184,0.611,0.9,8.0,4.4,19.2,1.2,0.3,11.3,15.4,4.3,0.9,5.3,0.111,0.1,-1.6,-1.5,0.3
Antonio Davis,C,davisan01,37.0,8.0,191.0,5.9,0.44,0.0,0.645,9.2,14.0,11.5,5.4,0.8,0.4,16.7,11.6,-0.1,0.0,0.0,-0.011,-3.5,-1.1,-4.6,-0.1
Antonio Davis,PF,davisan01,37.0,36.0,749.0,8.9,0.487,0.006,0.384,12.0,15.9,14.0,3.0,1.4,1.0,18.8,13.8,0.0,0.3,0.4,0.024,-2.6,-0.7,-3.3,-0.2
Antonio Davis,PF-C,davisan01,37.0,44.0,940.0,8.3,0.479,0.005,0.426,11.5,15.5,13.5,3.5,1.3,0.9,18.4,13.4,0.0,0.4,0.3,0.017,-2.8,-0.7,-3.6,-0.4
Antonio McDyess,PF,mcdyean01,31.0,82.0,1733.0,15.5,0.52,0.004,0.218,10.6,19.4,15.0,8.8,1.5,2.0,11.0,18.9,1.9,2.8,4.6,0.128,-1.2,1.2,0.0,0.9
Arvydas Macijauskas,SG,macijar01,26.0,19.0,135.0,8.3,0.462,0.293,0.366,2.6,6.3,4.4,6.1,2.8,0.0,14.4,19.2,-0.1,0.1,0.0,-0.001,-3.8,-1.5,-5.3,-0.1
Austin Croshere,PF,croshau01,30.0,50.0,1148.0,15.2,0.618,0.491,0.358,6.4,19.8,13.3,9.1,1.0,0.4,12.7,15.3,2.5,1.7,4.1,0.173,1.3,0.6,2.0,1.2
Awvee Storey,SF,storeaw01,28.0,25.0,116.0,9.2,0.456,0.171,0.341,7.8,14.5,11.0,5.6,1.3,0.7,9.6,20.0,0.0,0.1,0.1,0.039,-3.6,-2.7,-6.3,-0.1
