Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Dewayne Dedmon,C,dedmode01,27.0,50.0,865.0,17.1,0.649,0.0,0.365,11.0,31.2,21.4,4.7,1.6,3.9,14.1,12.6,1.7,2.0,3.7,0.207,-1.0,3.2,2.3,0.9
Deyonta Davis,C,davisde01,20.0,25.0,183.0,10.9,0.526,0.0,0.385,10.3,21.7,15.8,1.7,0.3,7.3,14.9,13.2,0.1,0.3,0.4,0.095,-5.8,2.0,-3.8,-0.1
Diamond Stone,C,stonedi01,19.0,7.0,24.0,-1.2,0.339,0.0,0.308,4.8,22.4,13.8,0.0,0.0,3.3,11.9,31.1,-0.1,0.0,-0.1,-0.205,-17.1,-6.9,-23.9,-0.1
Dion Waiters,SG,waitedi01,25.0,34.0,1049.0,14.2,0.502,0.303,0.193,1.5,11.3,6.3,23.1,1.5,1.2,12.0,26.0,0.0,1.1,1.1,0.051,-0.3,-0.7,-1.0,0.3
Dirk Nowitzki,PF,nowitdi01,38.0,30.0,780.0,17.1,0.517,0.32,0.185,2.0,26.2,13.5,11.1,1.4,2.4,6.3,26.1,0.3,1.0,1.3,0.083,-1.5,0.3,-1.2,0.2
Domantas Sabonis,PF,sabondo01,20.0,57.0,1235.0,6.6,0.472,0.352,0.094,3.1,15.9,9.5,7.0,1.2,1.5,15.3,14.9,-0.9,1.3,0.4,0.016,-4.7,-0.1,-4.9,-0.9
Donatas Motiejunas,PF,motiedo01,26.0,20.0,318.0,10.2,0.523,0.359,0.372,5.6,17.4,11.4,12.9,1.8,1.8,20.2,15.9,-0.1,0.4,0.3,0.048,-3.2,1.5,-1.7,0.0
Dorian Finney-Smith,PF,finnedo01,23.0,55.0,1143.0,7.9,0.522,0.601,0.221,3.2,11.9,7.3,6.1,1.6,1.3,12.7,11.1,0.2,1.0,1.2,0.051,-2.3,1.3,-1.1,0.3
Doug McDermott,SF,mcderdo01,25.0,44.0,1078.0,11.5,0.555,0.399,0.18,1.4,11.8,6.5,6.6,0.5,0.3,7.4,17.5,1.3,0.6,1.9,0.083,-0.6,-2.3,-2.9,-0.2
Dragan Bender,PF,bendedr01,19.0,38.0,481.0,5.8,0.474,0.653,0.065,3.6,15.7,9.4,5.0,0.9,3.2,17.5,13.5,-0.4,0.3,-0.1,-0.012,-3.7,0.0,-3.8,-0.2
Draymond Green,PF,greendr01,26.0,53.0,1744.0,17.2,0.532,0.411,0.325,4.9,21.3,13.7,27.9,3.0,3.6,19.4,15.5,2.5,3.8,6.3,0.175,1.0,5.2,6.2,3.6
Dwight Howard,C,howardw01,31.0,51.0,1504.0,22.0,0.641,0.005,0.652,16.2,32.1,24.2,6.8,1.5,3.6,16.4,18.8,3.3,3.0,6.3,0.203,0.2,2.5,2.7,1.8
Dwight Powell,C,poweldw01,25.0,56.0,1025.0,19.1,0.597,0.091,0.376,8.5,19.7,13.8,6.9,2.8,2.9,5.9,15.7,2.5,1.6,4.1,0.192,0.0,2.8,2.9,1.3
Dwyane Wade,SG,wadedw01,35.0,48.0,1458.0,19.9,0.51,0.152,0.298,3.9,12.5,8.1,22.9,2.6,1.9,10.5,30.0,1.3,1.9,3.2,0.105,1.3,0.5,1.8,1.4
E'Twaun Moore,SG,mooreet01,27.0,51.0,1259.0,12.2,0.538,0.339,0.102,2.2,7.2,4.7,14.0,1.4,1.6,9.6,18.0,0.7,1.0,1.7,0.065,-0.8,-0.5,-1.3,0.2
Ed Davis,PF,davised01,27.0,45.0,776.0,11.5,0.567,0.0,0.54,13.1,20.8,16.9,4.9,1.0,2.3,17.3,11.8,1.0,0.6,1.6,0.097,-2.2,0.3,-2.0,0.0
Elfrid Payton,PG,paytoel01,22.0,58.0,1690.0,15.4,0.506,0.194,0.209,2.9,11.6,7.1,31.8,1.9,1.2,14.3,21.9,0.8,1.4,2.3,0.064,-0.2,-0.2,-0.4,0.7
Emmanuel Mudiay,PG,mudiaem01,20.0,44.0,1237.0,10.2,0.472,0.328,0.293,2.3,11.8,7.0,21.5,1.5,0.7,16.6,22.4,-0.5,0.4,-0.1,-0.005,-2.0,-1.7,-3.7,-0.5
Enes Kanter,C,kanteen01,24.0,47.0,1015.0,24.5,0.615,0.066,0.382,13.3,20.9,17.1,8.6,1.0,2.5,12.1,26.3,3.0,1.3,4.2,0.2,1.2,-1.3,-0.1,0.5
Eric Bledsoe,PG,bledser01,27.0,56.0,1861.0,21.5,0.569,0.298,0.442,2.9,14.0,8.2,31.5,2.0,1.0,14.7,28.2,4.2,1.2,5.4,0.139,4.4,-0.5,3.9,2.8
Eric Gordon,SG,gordoer01,28.0,52.0,1586.0,14.5,0.57,0.65,0.159,1.2,8.5,4.9,14.2,0.9,1.4,10.4,23.6,2.1,1.0,3.1,0.095,1.7,-2.7,-1.0,0.4
Ersan Ilyasova,PF,ilyaser01,29.0,37.3333333333,1006.0,12.5,0.524333333333,0.559,0.144333333333,4.76666666667,20.7,12.7666666667,8.4,1.56666666667,0.966666666667,13.3333333333,20.2333333333,0.866666666667,1.0,1.83333333333,0.063,-1.4,-0.9,-2.3,0.4
