Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,PF,greenac01,37.0,82.0,1411.0,11.2,0.492,0.019,0.343,9.0,17.3,13.2,4.8,1.2,0.4,10.8,14.4,1.1,2.1,3.2,0.11,-3.2,0.2,-3.0,-0.3
A.J. Guyton,PG,guytoaj01,22.0,33.0,630.0,10.3,0.495,0.359,0.094,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,0.4,-0.1,0.3,0.02,-1.5,-4.4,-5.9,-0.6
Aaron McKie,SG,mckieaa01,28.0,76.0,2394.0,15.1,0.549,0.238,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.118,0.9,1.0,1.9,2.4
Aaron Williams,PF,williaa01,29.0,82.0,2336.0,15.1,0.533,0.003,0.477,10.1,19.2,14.5,6.5,1.3,3.6,14.4,17.8,2.9,2.3,5.2,0.107,-1.5,0.9,-0.5,0.9
Adam Keefe,PF,keefead01,30.0,67.0,836.0,9.7,0.45,0.019,0.396,10.5,16.4,13.3,6.5,1.7,1.7,17.6,11.5,0.1,0.5,0.6,0.032,-3.9,0.2,-3.7,-0.3
Adonal Foyle,C,foylead01,25.0,58.0,1457.0,12.4,0.422,0.0,0.181,10.5,19.7,14.7,5.2,1.1,7.6,16.3,14.0,-0.8,1.5,0.7,0.022,-4.8,3.2,-1.6,0.2
Adrian Griffin,SF,griffad01,26.0,44.0,377.0,10.5,0.432,0.268,0.247,8.0,19.4,13.5,11.7,2.5,1.0,14.3,15.1,0.0,0.5,0.4,0.056,-3.3,0.4,-2.9,-0.1
Al Harrington,PF,harrial01,20.0,78.0,1892.0,10.2,0.479,0.013,0.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,-1.0,2.2,1.2,0.031,-3.2,0.7,-2.5,-0.2
Alan Henderson,PF,hendeal01,28.0,73.0,1810.0,14.0,0.487,0.001,0.404,11.0,14.0,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6
Allan Houston,SG,houstal01,29.0,78.0,2858.0,16.1,0.543,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.2,-0.9,0.3,1.6
