Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,priceaj01,23.0,56.0,865.0,14.0,0.53,0.492,0.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,0.4,0.8,1.2,0.065,0.2,-2.0,-1.8,0.0
Aaron Brooks,PG,brookaa01,25.0,82.0,2919.0,16.0,0.549,0.394,0.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.7,-2.5,0.2,1.6
Aaron Gray,C,grayaa01,25.0,21.3333333333,207.333333333,14.0,0.512333333333,0.0,0.339333333333,15.2333333333,23.3666666667,19.2666666667,9.5,1.1,1.96666666667,13.1666666667,18.0666666667,0.333333333333,0.266666666667,0.6,0.100333333333,-2.23333333333,-0.0666666666667,-2.23333333333,0.133333333333
Acie Law,PG,lawac01,25.0,13.0,117.0,15.05,0.584,0.18925,0.6905,0.975,5.625,3.35,16.925,2.425,0.725,13.7,22.6,0.175,0.075,0.3,0.0965,-1.725,-2.6,-4.325,-0.05
Adam Morrison,SF,morriad01,25.0,31.0,241.0,7.4,0.418,0.247,0.094,4.7,10.1,7.4,11.3,0.6,0.6,10.2,18.3,-0.2,0.2,0.0,0.009,-4.4,-1.8,-6.2,-0.3
Al Harrington,PF,harrial01,29.0,72.0,2195.0,16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,2.2,1.3,3.5,0.077,0.7,-2.6,-1.9,0.1
Al Horford,C,horfoal01,23.0,81.0,2845.0,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.5,1.9,3.3,3.8
Al Jefferson,C,jeffeal01,25.0,76.0,2463.0,19.0,0.524,0.004,0.236,8.0,24.2,16.0,10.0,1.3,3.0,9.9,24.3,2.3,2.3,4.6,0.09,-0.9,0.5,-0.4,1.0
Al Thornton,SF,thornal01,26.0,50.0,1386.0,11.8333333333,0.522,0.0516666666667,0.315666666667,6.2,10.4,8.26666666667,7.13333333333,1.2,1.33333333333,11.8666666667,19.0,0.8,0.666666666667,1.46666666667,0.0503333333333,-1.9,-0.7,-2.56666666667,-0.266666666667
Alando Tucker,SF,tuckeal02,25.0,10.0,64.0,12.0,0.507,0.137333333333,0.412666666667,6.73333333333,5.56666666667,6.06666666667,6.4,0.0,0.0,9.56666666667,22.9,0.1,0.0,0.0666666666667,0.0376666666667,-2.3,-5.13333333333,-7.46666666667,-0.1
Alexis Ajinca,C,ajincal01,21.0,6.0,30.0,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,-0.1,0.0,0.0,-0.013,-8.5,-2.0,-10.4,-0.1
Allen Iverson*,PG,iversal01,34.0,3.0,67.0,16.9,0.591,0.038,0.462,1.7,5.2,3.5,28.0,0.8,0.0,18.3,25.0,0.1,0.0,0.1,0.074,-0.2,-5.1,-5.3,-0.1
Allen Iverson*,SG,iversal01,34.0,25.0,798.0,13.1,0.508,0.083,0.41,2.2,9.0,5.5,20.4,1.2,0.2,14.3,22.8,0.4,0.2,0.6,0.034,-1.5,-2.6,-4.1,-0.4
Allen Iverson*,SG-PG,iversal01,34.0,28.0,865.0,13.4,0.515,0.079,0.415,2.1,8.7,5.4,21.0,1.2,0.2,14.6,23.0,0.5,0.2,0.7,0.037,-1.4,-2.8,-4.2,-0.5
Alonzo Gee,SG,geeal01,22.0,11.0,182.0,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,0.3,0.1,0.4,0.108,0.2,-1.6,-1.4,0.0
Amar'e Stoudemire,PF,stoudam01,27.0,82.0,2838.0,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,1.6,-1.3,0.3,1.6
Amir Johnson,PF,johnsam01,22.0,82.0,1453.0,16.7,0.639,0.012,0.446,12.9,19.1,16.1,5.0,1.6,3.5,13.6,14.5,3.4,1.1,4.5,0.15,1.4,0.8,2.1,1.5
Anderson Varejao,PF,varejan01,27.0,76.0,2166.0,15.8,0.598,0.011,0.375,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,4.3,3.8,8.1,0.179,0.4,2.6,3.0,2.7
Andray Blatche,PF,blatcan01,23.0,81.0,2256.0,17.6,0.519,0.044,0.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,0.8,2.6,3.4,0.073,-0.6,1.2,0.6,1.5
