Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron McKie,SF,mckieaa01,34.0,10.0,131.0,7.5,0.647,0.0,0.0,0.9,15.1,8.0,14.4,1.6,0.0,32.0,8.6,0.0,0.1,0.1,0.039,-3.9,-0.4,-4.2,-0.1
Aaron Williams,PF,williaa01,35.0,38.0,374.0,9.4,0.606,0.019,0.415,8.7,18.4,13.6,2.9,1.0,2.9,22.3,10.0,0.2,0.4,0.7,0.089,-3.6,0.4,-3.2,-0.1
Adam Morrison,PF,morriad01,22.0,78.0,2326.0,7.9,0.45,0.273,0.179,2.7,9.2,5.9,11.9,0.6,0.2,11.3,22.4,-2.2,0.8,-1.5,-0.03,-3.0,-2.5,-5.5,-2.0
Adonal Foyle,C,foylead01,31.0,48.0,475.0,13.7,0.557,0.0,0.294,11.5,17.7,14.6,5.5,1.1,8.0,19.3,10.7,0.4,0.6,1.0,0.104,-3.2,4.0,0.8,0.3
Adrian Griffin,SF,griffad01,32.0,54.0,585.0,10.7,0.499,0.047,0.147,7.9,13.4,10.6,15.2,2.8,0.5,21.7,13.3,0.1,1.2,1.3,0.103,-2.5,2.8,0.3,0.3
Al Harrington,PF,harrial01,26.0,52.0,1708.66666667,14.7666666667,0.54,0.269,0.222333333333,6.53333333333,15.4,10.8666666667,9.73333333333,1.26666666667,0.7,12.5333333333,23.1,1.33333333333,1.46666666667,2.86666666667,0.0793333333333,0.233333333333,-1.1,-0.866666666667,0.5
Al Jefferson,C,jeffeal01,22.0,69.0,2319.0,19.8,0.547,0.001,0.334,12.0,27.4,19.5,7.2,1.1,3.5,11.8,22.4,3.3,3.3,6.6,0.137,-0.5,1.0,0.6,1.5
Alan Anderson,SG,anderal01,24.0,17.0,256.0,10.1,0.538,0.247,0.284,4.9,10.0,7.4,13.8,1.4,0.0,19.4,20.1,0.0,0.1,0.1,0.024,-2.2,-1.8,-4.0,-0.1
Alan Henderson,PF,hendeal01,34.0,38.0,418.0,15.7,0.679,0.0,0.701,13.8,16.9,15.4,3.8,1.1,2.2,12.0,11.0,1.1,0.4,1.6,0.181,0.6,0.0,0.6,0.3
Alexander Johnson,PF,johnsal01,23.0,59.0,753.0,13.2,0.588,0.0,0.698,7.9,20.8,14.4,3.6,1.7,3.5,17.5,16.1,0.7,0.6,1.3,0.083,-2.7,0.0,-2.7,-0.1
Allan Ray,SG,rayal01,22.0,47.0,710.0,10.0,0.512,0.448,0.212,3.0,8.8,5.8,10.5,1.5,0.3,12.9,20.8,0.1,0.5,0.6,0.039,-1.0,-2.5,-3.5,-0.3
Allen Iverson*,PG,iversal01,31.0,15.0,640.0,23.5,0.529,0.145,0.475,1.3,6.4,3.8,34.0,2.7,0.1,13.0,36.7,1.0,0.5,1.6,0.119,4.1,-2.2,2.0,0.6
Allen Iverson*,SG,iversal01,31.0,50.0,2121.0,18.4,0.545,0.152,0.46,0.9,7.1,4.0,28.3,2.1,0.4,15.1,27.1,2.9,1.7,4.6,0.105,1.6,-1.2,0.4,1.3
Allen Iverson*,SG-PG,iversal01,31.0,65.0,2761.0,19.6,0.54,0.15,0.465,1.0,6.9,4.0,29.6,2.2,0.3,14.5,29.3,4.0,2.2,6.2,0.108,2.2,-1.5,0.8,1.9
Alonzo Mourning*,C,mournal01,36.0,77.0,1572.0,16.7,0.59,0.0,0.725,9.7,16.4,13.1,2.0,0.4,9.0,18.7,20.8,1.0,2.5,3.5,0.107,-3.9,2.0,-2.0,0.0
Alvin Williams,PG,willial02,32.0,2.0,10.0,6.6,0.266,0.5,2.0,12.1,0.0,6.0,41.1,10.6,0.0,44.4,31.2,-0.1,0.0,-0.1,-0.309,-8.9,3.7,-5.1,0.0
Amar'e Stoudemire,C,stoudam01,24.0,82.0,2689.0,23.1,0.637,0.003,0.555,10.1,23.3,17.0,5.0,1.5,2.9,15.0,25.8,7.2,4.0,11.2,0.201,0.9,0.7,1.6,2.4
Amir Johnson,PF,johnsam01,19.0,8.0,124.0,20.6,0.6,0.091,0.424,14.4,21.1,17.7,4.1,2.2,8.1,18.7,18.5,0.2,0.3,0.5,0.183,-1.2,3.9,2.7,0.1
Anderson Varejao,C,varejan01,24.0,81.0,1932.0,14.4,0.527,0.022,0.668,11.2,21.8,16.4,6.0,2.1,2.1,11.4,13.7,2.6,4.0,6.6,0.164,-1.3,3.0,1.7,1.8
Andray Blatche,PF,blatcan01,20.0,56.0,682.0,12.1,0.471,0.137,0.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,-0.1,0.5,0.5,0.033,-2.8,0.4,-2.4,-0.1
Andre Barrett,PG,barrean01,24.0,6.0,29.0,8.2,0.5,0.0,0.0,4.0,15.6,9.8,38.2,0.0,0.0,33.3,18.4,0.0,0.0,0.0,0.014,-5.6,-1.6,-7.1,0.0
Andre Brown,PF,brownan01,25.0,38.0,271.0,11.1,0.577,0.014,0.203,11.4,21.4,16.4,1.2,1.2,1.1,26.5,18.4,-0.2,0.2,0.0,-0.002,-5.4,-3.1,-8.5,-0.4
Andre Iguodala,SG,iguodan01,23.0,76.0,3062.0,18.1,0.562,0.156,0.556,3.0,14.0,8.5,23.8,2.6,0.8,17.5,22.6,4.1,3.6,7.7,0.12,1.9,1.4,3.4,4.1
Andre Miller,PG,millean02,30.0,53.3333333333,1977.33333333,16.2,0.521333333333,0.0443333333333,0.318,3.8,10.2,7.0,35.2333333333,1.96666666667,0.266666666667,18.1,19.0333333333,2.3,1.6,3.9,0.0986666666667,0.8,-0.266666666667,0.5,1.26666666667
Andrea Bargnani,PF,bargnan01,21.0,65.0,1629.0,12.8,0.546,0.429,0.227,3.7,14.8,9.2,5.1,1.0,2.5,13.5,22.6,0.2,1.7,1.9,0.057,-1.1,-0.7,-1.7,0.1
Andreas Glyniadakis,C,glynian01,25.0,13.0,81.0,-3.3,0.475,0.0,0.118,2.9,9.0,5.9,1.8,0.0,0.0,33.5,15.1,-0.2,0.0,-0.2,-0.143,-8.9,-3.2,-12.1,-0.2
Andrei Kirilenko,SF,kirilan01,25.0,70.0,2049.0,14.3,0.558,0.179,0.572,5.2,14.3,9.8,14.5,1.9,5.8,20.5,14.4,1.6,2.9,4.4,0.104,-0.5,4.4,4.0,3.1
Andres Nocioni,PF,nocioan01,27.0,53.0,1406.0,15.6,0.578,0.358,0.248,3.4,20.9,12.2,7.0,1.0,1.3,13.8,23.8,1.4,2.6,4.1,0.139,-0.4,-0.2,-0.6,0.5
Andrew Bogut,C,bogutan01,22.0,66.0,2258.0,15.5,0.566,0.008,0.308,8.7,21.9,15.2,13.9,1.1,1.2,17.4,17.3,2.6,1.4,4.0,0.085,-0.1,0.7,0.5,1.4
Andrew Bynum,C,bynuman01,19.0,82.0,1793.0,15.4,0.593,0.007,0.483,9.2,22.3,15.8,8.2,0.3,5.4,17.6,16.3,2.3,1.9,4.2,0.112,-2.0,1.5,-0.5,0.7
Andris Biedrins,C,biedran01,20.0,82.0,2382.0,16.2,0.598,0.0,0.287,11.3,24.0,17.5,5.4,1.4,4.3,15.4,13.8,3.5,3.3,6.7,0.136,-1.1,2.5,1.4,2.1
Antawn Jamison,PF,jamisan01,30.0,70.0,2662.0,18.4,0.545,0.333,0.27,5.6,19.0,12.1,8.8,1.5,1.0,7.5,22.8,5.2,1.6,6.8,0.123,2.4,-1.5,0.9,1.9
Anthony Carter,PG,cartean01,31.0,2.0,37.0,3.3,0.375,0.25,0.0,0.0,9.0,4.6,41.4,0.0,1.9,42.9,16.2,-0.1,0.0,-0.1,-0.115,-9.2,-4.0,-13.2,-0.1
Anthony Johnson,PG,johnsan02,32.0,44.6666666667,867.333333333,9.83333333333,0.48,0.211666666667,0.179666666667,2.13333333333,7.3,4.7,24.6,1.36666666667,0.166666666667,16.9666666667,15.8,0.266666666667,0.533333333333,0.8,0.047,-1.9,-2.06666666667,-3.96666666667,-0.466666666667
Anthony Parker,SG,parkean01,31.0,73.0,2437.0,14.5,0.597,0.38,0.23,2.9,10.9,6.8,9.9,1.6,0.3,8.6,15.7,4.4,2.1,6.5,0.127,2.1,0.4,2.5,2.8
Anthony Roberson,PG,roberan02,23.0,20.0,227.0,11.4,0.527,0.529,0.029,0.9,9.4,5.1,7.0,2.6,0.0,11.0,22.2,0.0,0.2,0.1,0.031,-1.2,-2.9,-4.1,-0.1
Antoine Walker,PF,walkean02,30.0,78.0,1818.0,9.6,0.462,0.457,0.157,6.1,15.7,11.0,12.1,1.4,0.7,16.5,22.3,-2.3,2.0,-0.3,-0.007,-2.5,-0.7,-3.1,-0.5
Antoine Wright,SG,wrighan01,22.0,63.0,1137.0,8.1,0.5,0.235,0.291,4.0,14.1,9.1,7.6,1.4,0.7,13.2,13.4,0.0,1.1,1.2,0.049,-3.5,0.1,-3.4,-0.4
Antonio Daniels,SG,daniean01,31.0,80.0,1761.0,15.0,0.572,0.162,0.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,4.1,0.2,4.3,0.116,0.3,-2.8,-2.6,-0.2
Antonio McDyess,PF,mcdyean01,32.0,82.0,1729.0,18.1,0.552,0.0,0.257,11.3,22.7,17.0,7.2,1.9,2.9,11.1,18.6,2.8,3.2,6.0,0.168,-0.4,1.8,1.5,1.5
