Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,PG,priceaj01,24.0,50.0,795.0,10.7,0.454,0.466,0.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.3
Aaron Brooks,PG,brookaa01,26.0,39.3333333333,856.0,13.4666666667,0.495666666667,0.391333333333,0.246,1.83333333333,5.06666666667,3.46666666667,29.8,1.33333333333,0.2,13.7,25.9,0.466666666667,0.266666666667,0.733333333333,0.0443333333333,0.566666666667,-4.0,-3.43333333333,-0.333333333333
Aaron Gray,C,grayaa01,26.0,41.0,531.0,11.0,0.566,0.0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.1,1.2,-1.8,0.0
Acie Law,PG,lawac01,26.0,34.0,484.0,7.2,0.43,0.23,0.397666666667,2.43333333333,8.8,5.56666666667,17.1666666667,2.2,0.0,20.4333333333,15.7666666667,0.0666666666667,0.2,0.266666666667,-0.0196666666667,-4.4,-1.43333333333,-5.8,-0.333333333333
Al Harrington,PF,harrial01,30.0,73.0,1665.0,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,0.2,-1.2,-1.1,0.4
Al Horford,C,horfoal01,24.0,77.0,2704.0,20.7,0.587,0.004,0.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.0,2.4,4.4,4.4
Al Jefferson,C,jeffeal01,26.0,82.0,2940.0,20.1,0.528,0.0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0.0,0.1,0.1,1.5
Al Thornton,PF,thornal01,27.0,22.0,314.0,11.3,0.549,0.01,0.337,3.5,17.4,10.3,5.3,1.1,0.7,14.3,19.6,0.1,0.2,0.3,0.042,-4.5,-2.7,-7.3,-0.4
Al Thornton,SF,thornal01,27.0,49.0,1069.0,11.8,0.525,0.076,0.327,4.7,12.2,8.3,7.7,1.3,0.6,10.5,17.3,0.9,0.4,1.3,0.058,-1.9,-1.5,-3.4,-0.4
Al Thornton,SF-PF,thornal01,27.0,71.0,1383.0,11.7,0.531,0.06,0.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,1.0,0.6,1.6,0.054,-2.5,-1.8,-4.3,-0.8
Al-Farouq Aminu,SF,aminual01,20.0,81.0,1452.0,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-3.1,0.1,-3.0,-0.4
Alexis Ajinca,C,ajincal01,22.0,22.6666666667,226.666666667,12.3333333333,0.490666666667,0.247333333333,0.126,6.4,20.6666666667,13.5,4.66666666667,1.8,4.43333333333,9.26666666667,21.2,0.0,0.233333333333,0.233333333333,0.0593333333333,-3.2,0.133333333333,-3.1,-0.0666666666667
Alonzo Gee,SG,geeal01,23.0,28.0,559.0,7.425,0.48125,0.119,0.2835,8.625,10.6,9.55,4.2,1.575,2.6,24.8,14.6,0.25,0.3,0.5,-0.01375,-4.825,0.2,-4.575,-0.025
Amar'e Stoudemire,C,stoudam01,28.0,78.0,2870.0,22.7,0.565,0.016,0.403,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,5.4,2.6,8.0,0.134,0.8,-0.1,0.7,1.9
Amir Johnson,PF,johnsam01,23.0,72.0,1853.0,17.6,0.608,0.002,0.323,11.8,17.8,14.7,6.8,1.5,3.6,10.9,15.3,4.4,1.2,5.6,0.146,1.5,1.1,2.7,2.2
Anderson Varejao,C,varejan01,28.0,31.0,994.0,15.2,0.56,0.009,0.375,11.0,24.1,17.4,7.4,1.4,2.9,13.7,13.3,1.3,0.9,2.2,0.105,-1.2,2.1,0.8,0.7
Andray Blatche,PF,blatcan01,24.0,64.0,2172.0,16.9,0.497,0.019,0.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.3,2.1,2.4,0.053,-1.0,0.6,-0.5,0.8
Andre Iguodala,SF,iguodan01,27.0,67.0,2469.0,17.2,0.53,0.238,0.395,2.8,15.2,9.0,26.4,2.1,1.2,13.4,19.2,3.3,3.5,6.7,0.13,1.5,1.8,3.2,3.2
Andre Miller,PG,millean02,34.0,81.0,2650.0,17.8,0.529,0.044,0.346,4.3,9.9,7.0,35.7,2.3,0.4,16.8,20.6,4.6,2.4,7.0,0.127,1.3,-0.2,1.1,2.1
Andrea Bargnani,C,bargnan01,25.0,66.0,2353.0,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,0.052,0.2,-2.9,-2.7,-0.4
Andrei Kirilenko,SF,kirilan01,29.0,64.0,1999.0,16.6,0.567,0.181,0.498,6.0,13.8,9.9,14.9,2.1,3.0,15.0,17.8,2.9,1.7,4.5,0.109,0.8,1.3,2.2,2.1
Andres Nocioni,SF,nocioan01,31.0,54.0,931.0,10.1,0.538,0.426,0.22,2.4,18.6,10.5,7.4,0.8,1.2,13.4,17.4,0.2,1.1,1.3,0.067,-2.3,-0.6,-3.0,-0.2
Andrew Bogut,C,bogutan01,26.0,65.0,2297.0,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,0.3,5.1,5.4,0.112,-2.6,5.0,2.4,2.6
Andrew Bynum,C,bynuman01,23.0,54.0,1500.0,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,3.8,2.8,6.6,0.21,0.5,2.8,3.3,2.0
Andris Biedrins,C,biedran01,24.0,59.0,1397.0,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,1.1,1.5,2.6,0.088,-2.3,1.9,-0.3,0.6
Andy Rautins,SG,rautian01,24.0,5.0,24.0,-1.2,0.508,0.571,0.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,-0.2,0.0,-0.2,-0.314,-11.6,-4.3,-16.0,-0.1
Antawn Jamison,PF,jamisan01,34.0,56.0,1842.0,16.8,0.516,0.3,0.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3,26.0,1.5,1.1,2.6,0.067,0.8,-1.7,-0.9,0.5
Anthony Carter,PG,cartean01,35.0,22.0,308.666666667,8.56666666667,0.485666666667,0.381666666667,0.0736666666667,1.43333333333,10.5333333333,6.0,21.6333333333,2.93333333333,0.9,27.2,14.0666666667,-0.133333333333,0.3,0.133333333333,0.0163333333333,-3.16666666667,0.1,-3.1,-0.0666666666667
Anthony Morrow,SG,morroan01,25.0,58.0,1856.0,12.1,0.573,0.419,0.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18.0,2.6,0.4,3.0,0.078,1.1,-2.3,-1.2,0.4
Anthony Parker,SF,parkean01,35.0,72.0,2091.0,10.5,0.505,0.411,0.172,1.8,10.5,6.0,16.7,1.7,0.4,11.9,14.6,0.9,0.6,1.5,0.034,-0.8,-0.7,-1.6,0.2
Anthony Randolph,C,randoan01,21.0,23.0,463.0,18.5,0.537,0.0,0.338,7.5,21.7,14.4,10.3,1.9,2.6,14.6,27.1,0.2,0.5,0.7,0.069,-2.2,-0.3,-2.5,-0.1
Anthony Randolph,C-PF,randoan01,21.0,40.0,590.0,16.2,0.505,0.015,0.326,8.0,22.7,15.2,9.8,1.9,3.1,14.9,25.8,-0.2,0.6,0.5,0.038,-3.5,-0.1,-3.6,-0.2
Anthony Randolph,PF,randoan01,21.0,17.0,127.0,7.6,0.348,0.089,0.267,9.8,26.3,18.0,8.1,1.6,4.6,16.6,21.1,-0.4,0.2,-0.2,-0.074,-8.5,0.7,-7.8,-0.2
Anthony Tolliver,SF,tollian01,25.0,65.0,1362.0,13.3,0.585,0.367,0.419,7.3,17.0,12.0,8.9,1.0,1.6,11.7,13.1,2.6,0.7,3.3,0.115,0.5,-0.1,0.4,0.8
Antoine Wright,SG,wrighan01,26.0,7.0,31.0,-4.8,0.125,0.5,0.0,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,-0.1,0.0,-0.1,-0.179,-9.4,-3.1,-12.5,-0.1
Antonio Daniels,PG,daniean01,35.0,4.0,35.0,6.7,0.51,0.4,0.4,0.0,16.5,8.2,7.9,0.0,0.0,14.5,9.1,0.0,0.0,0.0,0.044,-4.9,-1.1,-6.0,0.0
Antonio McDyess,PF,mcdyean01,36.0,73.0,1387.0,12.8,0.516,0.003,0.224,10.5,22.3,16.5,9.0,1.3,2.0,16.0,14.9,1.0,2.1,3.0,0.105,-2.2,2.2,0.0,0.7
Armon Johnson,PG,johnsar02,21.0,38.0,277.0,9.3,0.497,0.119,0.218,4.7,11.5,7.9,28.1,1.0,0.3,25.6,25.1,-0.4,0.2,-0.3,-0.044,-4.4,-2.4,-6.8,-0.3
