,Player_ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_ID1,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
13,crabbal01,204.0,24.0,22.1,2.9,6.5,0.451,1.1,2.9,0.401,1.8,3.6,0.492,0.54,1.0,1.1,0.856,0.2,2.0,2.2,1.0,0.6,0.2,0.7,2.0,7.9,crabbal01,204.0,4507.0,0.451,17.3,0.557,0.149,0.076,0.09,0.244,0.443,0.492,0.699,0.37,0.449,0.419,0.401,0.784,0.02,22.0,0.966,0.307,0.419,1.0,0.0
14,geeal01,417.0,213.0,21.8,2.4,5.5,0.434,0.4,1.4,0.325,2.0,4.2,0.469,0.474,1.4,1.8,0.754,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6,geeal01,417.0,9071.0,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,308.0,0.93,0.582,0.318,3.0,1.0
15,stoudam01,846.0,696.0,31.0,7.0,13.0,0.537,0.0,0.2,0.236,7.0,12.9,0.54,0.538,4.9,6.4,0.761,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9,stoudam01,846.0,26254.0,0.537,6.9,0.988,0.448,0.249,0.116,0.175,0.012,0.54,0.67,0.441,0.418,0.431,0.236,0.591,0.159,1593.0,0.7,0.252,0.313,14.0,0.0
16,johnsam01,721.0,437.0,22.4,3.2,5.5,0.574,0.1,0.3,0.333,3.0,5.2,0.589,0.584,1.1,1.6,0.674,2.1,3.6,5.7,1.2,0.6,1.1,1.1,3.1,7.5,johnsam01,721.0,16119.0,0.574,6.3,0.942,0.531,0.258,0.037,0.117,0.058,0.589,0.707,0.463,0.377,0.399,0.333,0.676,0.13,482.0,0.974,0.276,0.365,5.0,0.0
17,varejan01,627.0,209.0,24.0,2.9,5.6,0.51,0.0,0.1,0.024,2.9,5.6,0.516,0.511,1.5,2.4,0.631,2.4,4.8,7.2,1.2,0.9,0.6,0.9,2.6,7.3,varejan01,627.0,15051.0,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,196.0,1.0,0.071,0.0,7.0,0.0
18,drumman01,361.0,311.0,29.8,5.8,10.6,0.549,0.0,0.0,0.278,5.8,10.5,0.55,0.55,1.8,4.7,0.388,4.6,8.1,12.8,0.7,1.2,1.5,1.6,3.1,13.4,drumman01,361.0,10761.0,0.549,2.9,0.995,0.662,0.298,0.031,0.004,0.005,0.55,0.643,0.376,0.292,0.063,0.278,0.577,0.194,666.0,0.0,0.0,0.0,11.0,2.0
19,iguodan01,955.0,759.0,34.8,4.7,10.1,0.463,0.9,2.8,0.335,3.7,7.3,0.511,0.509,2.8,3.9,0.715,1.0,4.3,5.3,4.5,1.6,0.5,2.1,1.9,13.1,iguodan01,955.0,33248.0,0.463,13.4,0.725,0.324,0.07,0.094,0.237,0.275,0.511,0.703,0.322,0.324,0.38,0.335,0.513,0.142,1307.0,0.828,0.31,0.345,48.0,2.0
20,millean02,1304.0,939.0,30.9,4.6,10.0,0.461,0.1,0.7,0.217,4.5,9.4,0.478,0.468,3.1,3.8,0.807,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5,millean02,1222.0,38175.0,0.461,10.1,0.932,0.338,0.167,0.224,0.203,0.068,0.479,0.607,0.405,0.416,0.397,0.218,0.303,0.002,16.0,0.727,0.128,0.234,122.0,3.0
21,roberan03,235.0,209.0,21.3,1.8,3.8,0.468,0.4,1.5,0.266,1.4,2.3,0.595,0.519,0.4,0.9,0.5,1.0,2.8,3.8,0.8,0.8,0.6,0.6,2.1,4.4,roberan03,234.0,4983.0,0.464,10.5,0.612,0.527,0.064,0.007,0.013,0.388,0.593,0.649,0.263,0.167,0.167,0.26,0.724,0.147,121.0,0.967,0.581,0.308,3.0,0.0
22,bargnan01,550.0,377.0,28.7,5.3,12.1,0.439,1.1,3.2,0.354,4.2,8.9,0.47,0.486,2.5,3.0,0.824,1.0,3.7,4.6,1.2,0.4,0.9,1.5,2.4,14.3,bargnan01,550.0,15806.0,0.439,15.0,0.735,0.185,0.131,0.144,0.274,0.265,0.47,0.594,0.428,0.438,0.424,0.354,0.679,0.034,206.0,0.954,0.021,0.324,12.0,1.0
23,kirilan01,797.0,546.0,30.0,3.9,8.3,0.474,0.5,1.5,0.31,3.5,6.8,0.51,0.502,3.5,4.6,0.754,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8,kirilan01,797.0,23916.0,0.474,9.8,0.821,0.49,0.08,0.051,0.2,0.179,0.51,0.64,0.276,0.26,0.348,0.31,0.664,0.133,841.0,0.935,0.162,0.328,4.0,0.0
24,bogutan01,670.0,651.0,29.1,4.4,8.2,0.534,0.0,0.0,0.12,4.4,8.2,0.536,0.534,1.2,2.2,0.556,2.6,6.4,8.9,2.3,0.6,1.6,1.8,3.2,10.0,bogutan01,670.0,19511.0,0.534,4.0,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,646.0,0.667,0.0,0.0,3.0,0.0
25,goudean01,49.0,0.0,9.7,1.6,4.0,0.393,0.6,1.7,0.345,1.0,2.3,0.429,0.467,0.3,0.3,0.875,0.1,0.6,0.7,0.5,0.2,0.0,0.6,0.7,4.0,goudean01,49.0,475.0,0.393,18.8,0.571,0.015,0.163,0.133,0.26,0.429,0.429,0.0,0.563,0.577,0.294,0.345,0.292,0.0,0.0,0.793,0.131,0.545,0.0,0.0
