X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-2.94834153,1.442817759,Combo Guards,Andrew Goudelock,Inactive,goudean01,93,109,8.6,0.485,0.429,0.082,1.7,6.1,4,8.5,1.1,0.4,12.1,22.1,-0.2,0.2,0,0.003,-2.7,-3.8,-6.5,-0.5
-3.110456718,0.515082357,Combo Guards,Andrew Harrison,Active,harrian01,100,107,8.5,0.469,0.436,0.546,1.8,8.3,5,20.2,2,1.5,15.9,16.2,0,1.4,1.3,0.056,-2.5,0.4,-2.1,0
1.539737096,-0.401823546,Versatile Forwards,Andrew Nicholson,Active,nichoan01,99,108,12.4,0.524,0.175,0.171,5.2,18.4,11.8,5.1,0.9,1.9,11.4,20.5,0.7,3.2,3.9,0.048,-3.4,-1.8,-5.2,-3.2
-0.520280522,-1.096249665,3-and-D Wings,Andrew Wiggins,Active,wiggian01,105,114,15.7,0.535,0.149,0.399,4.5,8.7,6.6,10.4,1.4,1.2,10.7,25.7,8.2,1.4,9.6,0.058,0.1,-2.3,-2.1,-0.3
1.313740526,-0.839188776,Versatile Forwards,Anthony Bennett,Active,bennean01,94,109,10.2,0.457,0.215,0.279,7.6,20.5,13.9,6.5,1.5,1.1,12.1,19,-0.9,1.4,0.5,0.012,-4,-1.6,-5.6,-1.7
3.174246196,-0.390289197,Offensive Centers,Anthony Davis,Active,davisan02,115,103,26.5,0.575,0.043,0.398,8.3,25,16.5,9.5,2,5.7,8.5,27.4,29.1,16.2,45.3,0.202,1.9,2.2,4.1,16.6
-0.85958582,-1.031638043,Shooting Wings,Anthony Morrow,Active,morroan01,114,113,13.2,0.568,0.442,0.156,2.8,8.4,5.6,6.4,1.3,0.5,7.6,18.2,19.1,3.7,22.8,0.09,1,-2.6,-1.5,1.4
0.91453709,-1.225338052,Versatile Forwards,Anthony Tolliver,Active,tollian01,112,109,11.1,0.555,0.605,0.236,4.8,15.2,9.9,6.5,1,1.1,10.2,13.7,11.1,7.3,18.4,0.088,-0.2,-0.5,-0.7,3.4
-1.376138379,-0.421161223,Shooting Wings,Archie Goodwin,Active,goodwar01,95,110,11.1,0.5,0.224,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-0.8,1.4,0.6,0.013,-3.2,-1.3,-4.5,-1.4
3.626915334,1.161045466,Defensive Centers,Aron Baynes,Active,baynear01,111,104,14.4,0.563,0.006,0.338,11.2,20.8,16,5.7,0.7,2.2,14.6,17.3,5.3,5.1,10.4,0.131,-2.1,0.5,-1.6,0.4
-0.862325021,-1.017502103,Shooting Wings,Arron Afflalo,Active,afflaar01,109,111,12.2,0.557,0.331,0.255,1.9,10,6,10.8,0.9,0.5,10.4,18,23.6,9.4,33,0.08,0.4,-1.3,-1,5.2
0.567006092,-0.639780264,Versatile Forwards,Austin Daye,Inactive,dayeau01,99,107,11.6,0.5,0.379,0.182,4,18.6,11.1,8.3,1.5,2.3,11.8,19.3,0.6,3.9,4.5,0.053,-2,-0.6,-2.6,-0.6
-2.34607555,-0.34444215,Scoring Wings,Austin Rivers,Active,riverau01,100,111,10.2,0.497,0.297,0.272,1.7,8.1,4.9,14.7,1.5,0.6,11.8,19,1.3,3.8,5.1,0.033,-1.5,-1.6,-3.1,-2.1
-1.161715222,-1.435296385,Shooting Wings,Avery Bradley,Active,bradlav01,100,106,12,0.519,0.306,0.124,2.5,9.4,6,9.9,1.9,0.6,10.6,20.7,2.2,11.4,13.6,0.059,-0.9,-0.5,-1.4,1.7
-1.725869156,-0.20090526,Scoring Wings,Ben Gordon,Inactive,gordobe01,105,110,14.9,0.546,0.321,0.263,1.9,8.7,5.2,16.5,1.3,0.4,13.3,25.9,19.2,14.1,33.3,0.078,1.1,-2.2,-1.1,4.7
-0.635159449,-1.856452956,3-and-D Wings,Ben McLemore,Active,mclembe01,99,112,9,0.524,0.443,0.202,2.1,8.8,5.5,7.4,1.4,0.6,13.3,17.3,1.1,2.7,3.7,0.025,-1.1,-1.4,-2.5,-0.9
-2.992148035,1.014789127,Combo Guards,Beno Udrih,Active,udrihbe01,107,110,14,0.538,0.226,0.204,1.9,8.9,5.4,25,1.6,0.3,15.4,18.9,19.1,11.9,31,0.083,0,-1.5,-1.6,1.9
3.216641348,0.839677375,Defensive Centers,Bernard James,Inactive,jamesbe01,111,104,13.8,0.546,0.02,0.49,12.6,18.5,15.6,2.4,1.1,6.4,15.5,13.1,0.9,1,1.9,0.117,-2.9,1.8,-1.1,0.2
3.491302057,0.916734178,Defensive Centers,Bismack Biyombo,Active,biyombi01,106,104,12.5,0.536,0.001,0.639,10.6,24.3,17.3,2.9,0.6,5.6,16.9,11.5,5.7,11.5,17.2,0.091,-4,2,-2,-0.1
2.038318983,0.162380072,Offensive Centers,Blake Griffin,Active,griffbl01,113,105,22.8,0.56,0.027,0.437,8.3,22.5,15.5,21,1.4,1.4,11.4,27.7,39.5,19.6,59.1,0.181,2.7,1.4,4.1,24.3
4.993814561,2.096266857,Defensive Centers,Boban Marjanovic,Active,marjabo01,126,98,27,0.628,0,0.583,17.8,27.6,22.8,6.2,1.1,3.7,10.6,23.2,2.7,1.4,4.1,0.295,1.7,0.5,2.2,0.7
