,labels,x,y,Player
100,8,-1.24847583261,-1.47408048182,Courtney Lee
101,5,2.5585554336,1.33177837816,Cristiano Felicio
102,4,-4.06381666333,1.21331674713,D.J. Augustin
103,1,-2.6591144685,0.27671585385,D'Angelo Russell
104,8,-0.867884961627,-1.06698790143,Dahntay Jones
105,4,-2.94481445011,0.730234544247,Damian Lillard
106,2,-0.90990208028,-1.54083557944,Damjan Rudez
107,2,-0.466802835909,-1.41595634937,Danilo Gallinari
108,9,0.0172334043318,-0.928732998423,Danny Granger
109,2,-0.373203003133,-1.57092776069,Danny Green
110,7,1.35889690105,-1.26045674814,Dante Cunningham
111,1,-2.23498808144,-0.36795899021,Dante Exum
112,7,0.818519510332,-0.477304905416,Dario Saric
113,9,-0.476681060798,-0.843150081741,Darius Miller
114,4,-3.1649461349,0.521914981448,Darius Morris
115,0,1.89105401774,-0.005079402082,Darrell Arthur
116,4,-3.37568618827,0.862934827632,Darren Collison
117,8,-1.8430184438,-1.09310964305,Darrun Hilliard
118,5,2.79487353282,0.810672066729,David Lee
119,0,1.76932886056,0.442797734905,David West
120,7,0.563979183304,-1.23463178418,Davis Bertans
121,6,3.84949083655,0.943078113973,DeAndre Jordan
122,2,-0.677494632936,-1.75294014376,DeAndre Liggins
123,9,-0.117434153434,-0.160331763945,DeAndre' Bembry
124,1,-1.49913651303,0.846619199656,Dejounte Murray
125,5,3.06214825185,0.97144074921,DeJuan Blair
126,1,-2.74442788491,0.543053150251,Delon Wright
127,8,-0.949565300096,-0.9294013416,DeMar DeRozan
128,5,2.83187630548,0.621565348321,DeMarcus Cousins
129,7,0.40386546616,-1.47959556799,DeMarre Carroll
130,3,-3.83457644423,2.04444893637,Dennis Schroder
131,8,-1.9000338604,-1.65474312475,Denzel Valentine
132,3,-4.01952590788,2.59697957586,Deron Williams
133,5,2.99086224369,0.351847477505,Derrick Favors
134,4,-2.8111564949,1.59869623528,Derrick Rose
135,7,0.712736962993,-1.56140601265,Derrick Williams
136,8,-1.61421293475,-0.422221762753,Devin Booker
137,4,-3.39748301052,0.917001896148,Devin Harris
138,8,-1.41581028538,-1.74958266527,Devyn Marble
139,6,3.81755778342,1.61342734421,Dewayne Dedmon
140,6,3.64848120928,1.41630764968,Deyonta Davis
141,1,-2.44165949792,-0.582978281799,Dion Waiters
142,7,1.25716159434,-0.728123073732,Dirk Nowitzki
143,7,0.601722313754,-0.690372753069,Domantas Sabonis
144,4,-3.46654312779,1.46449803453,Donald Sloan
