,labels,x,y,Player,Status
144,2,-2.70850688387,1.27495659901,Donald Sloan,Inactive
145,1,1.2698011411,-0.184537843089,Donatas Motiejunas,Active
146,5,-0.0591598868312,-1.12898078162,Dorell Wright,Inactive
147,5,0.0401481243376,-1.76194602416,Dorian Finney-Smith,Active
148,4,0.215640458675,-1.29433767898,Doug McDermott,Active
149,4,0.477921933308,-1.10105541022,Dragan Bender,Active
150,8,0.744366787111,0.0611887465115,Draymond Green,Active
151,7,2.21763606138,0.361082053613,Drew Gooden,Inactive
152,3,3.75647908044,0.58873265344,Dwight Howard,Active
153,1,2.15029738669,-0.773520349656,Dwight Powell,Active
154,2,-1.80058842005,1.11722087706,Dwyane Wade,Active
155,6,-1.52375703955,-0.154195584893,E'Twaun Moore,Active
156,7,1.93093343317,0.418831591287,Earl Barron,Inactive
157,1,1.37780755351,-0.499163071274,Earl Clark,Inactive
158,3,2.97763152299,1.11072153707,Ed Davis,Active
159,7,1.60859129405,1.14389881452,Ekpe Udoh,Inactive
160,9,-2.80685889869,1.82258375707,Elfrid Payton,Active
161,0,-1.12238288861,-0.920816455157,Elijah Millsap,Inactive
162,0,-1.02096362244,-0.674713627301,Elliot Williams,Inactive
163,7,2.46094660428,0.704579871195,Elton Brand,Inactive
164,2,-2.37647940685,1.08979013555,Emmanuel Mudiay,Active
165,7,2.46949924857,0.265155370339,Enes Kanter,Active
166,2,-2.35142788239,1.04489059053,Eric Bledsoe,Active
167,6,-1.72126964813,-0.342863530785,Eric Gordon,Active
168,6,-1.80327150312,-0.408240798117,Erick Green,Inactive
169,1,1.66388996993,-0.552170856779,Ersan Ilyasova,Active
170,0,-1.32050527019,-0.695215689499,Evan Fournier,Active
171,6,-1.1929263391,0.326728030641,Evan Turner,Active
172,3,3.29267210893,1.32547153391,Festus Ezeli,Inactive
173,0,-0.63427664186,-1.00122067484,Francisco Garcia,Inactive
174,4,0.536197493443,-0.591707746802,Frank Kaminsky,Active
175,6,-2.4630027583,-0.492745381264,Fred VanVleet,Active
176,7,1.84452232651,1.60490665167,Furkan Aldemir,Inactive
177,9,-3.14646888167,1.85105439918,Gal Mekel,Inactive
178,0,-1.38288942911,-0.887675891071,Garrett Temple,Active
179,0,-0.895760421668,-1.1849828542,Gary Harris,Active
180,0,-1.21791909431,-0.376743286651,Gary Neal,Active
181,6,-1.73580303399,-0.33483809655,George Hill,Active
182,5,-0.39949637763,-1.05749539314,Georges Niang,Active
183,0,-0.637347139315,-0.914505004412,Gerald Green,Active
184,0,-0.615992765731,-0.53298545911,Gerald Henderson,Active
185,4,0.195484300799,-0.907265913422,Gerald Wallace,Inactive
186,8,0.385254240109,0.446869924562,Giannis Antetokounmpo,Active
187,1,1.48995910745,-0.143762787975,Glen Davis,Inactive
188,4,0.107444169121,-1.07041262132,Glenn Robinson,Active
189,2,-2.60972591507,0.998150536466,Goran Dragic,Active
190,0,-1.03313922518,-0.174445234518,Gordon Hayward,Active
191,1,2.23049742476,0.0780376676152,Gorgui Dieng,Active
192,7,1.7809102489,0.981677347404,Greg Monroe,Active
193,7,2.75440658799,0.81409693922,Greg Smith,Inactive
194,7,2.50015843832,0.740040326744,Greg Stiemsma,Inactive
195,9,-2.87988882989,1.96053415764,Greivis Vasquez,Active
196,4,0.130473390298,-1.10257623741,Harrison Barnes,Active
197,3,4.85789255927,1.61689509402,Hassan Whiteside,Active
198,6,-1.14402203368,-0.119405083984,Hedo Turkoglu,Inactive
199,7,2.0030541783,0.767080063578,Henry Sims,Inactive
200,5,-0.165334967136,-1.35330228384,Henry Walker,Inactive
201,5,-0.288024914451,-1.14004211607,Hollis Thompson,Active
202,0,-0.927606767424,-0.545551978922,Ian Clark,Active
203,7,2.38498371682,0.56953753889,Ian Mahinmi,Active
204,0,-1.44769893086,-0.855858287408,Iman Shumpert,Active
205,6,-2.2121858013,-0.636908261082,Isaiah Canaan,Active
206,2,-2.80835517826,0.768270310093,Isaiah Thomas,Active
207,2,-2.04044204246,1.04189914775,Isaiah Whitehead,Active
208,9,-3.10314789136,2.01539228007,Ish Smith,Active
209,3,3.23169731195,1.80782048977,Ivica Zubac,Active
210,9,-3.04463340512,1.52182209356,J.J. Barea,Active
211,7,2.48386877276,0.580299037415,J.J. Hickson,Inactive
212,0,-0.746997953834,-1.09151305116,J.J. Redick,Active
213,0,-1.47438576018,-0.745606604966,J.R. Smith,Active
214,4,0.423600446568,-0.497022254071,Jabari Parker,Active
215,5,0.087062293049,-1.61888121042,Jae Crowder,Active
216,7,1.50073428554,0.775867852636,Jahlil Okafor,Active
217,8,-0.168392143178,-0.474775718394,JaKarr Sampson,Inactive
218,5,-0.895566767067,-1.98668361235,Jake Layman,Active
219,7,2.18200546514,0.896182070481,Jakob Poeltl,Active
220,8,-0.104808323987,-0.46474064732,Jamaal Franklin,Inactive
221,6,-2.48477248464,0.0642448404586,Jamal Crawford,Active
222,0,-0.98285135479,-0.463468796019,Jamal Murray,Active
223,2,-3.08160716247,1.33708017209,Jameer Nelson,Active
224,5,-0.452463091531,-0.992976927085,James Anderson,Inactive
225,4,0.202589521291,-1.07633023402,James Ennis,Active
226,6,-2.17215487825,0.425020707139,James Harden,Active
227,8,-0.0322509975582,0.114188880759,James Johnson,Active
228,5,-0.119901594155,-1.74201534493,James Jones,Active
229,7,2.13232489027,0.352753648034,James Michael McAdoo,Active
230,5,0.301897768128,-2.01293041074,James Young,Active
231,1,1.60926011373,-0.369657527155,JaMychal Green,Active
232,2,-2.53455328121,0.588037304685,Jannero Pargo,Inactive
233,0,-1.21325913691,-1.61321123419,Jared Cunningham,Inactive
234,4,0.123828086727,-1.02599681192,Jared Dudley,Active
235,7,2.1850479209,0.534969077989,Jared Sullinger,Active
236,5,-0.329535633429,-1.08620511695,Jarell Eddie,Inactive
237,1,1.37787655044,-0.459288113162,Jarell Martin,Active
238,7,1.8163293209,0.721524987753,Jarnell Stokes,Active
239,2,-2.6406492044,1.07059166299,Jarrett Jack,Inactive
240,7,2.21949219311,0.799822323835,Jason Maxiell,Inactive
241,0,-0.565159170112,-0.841885021046,Jason Richardson,Inactive
242,1,1.67862649042,-0.200933995962,Jason Smith,Active
243,6,-2.42215719951,0.148296054039,Jason Terry,Active
244,7,2.46034960922,0.625266707919,Jason Thompson,Inactive
245,3,3.46548316938,1.10391952428,JaVale McGee,Active
246,4,0.274366495189,-1.02865575805,Jaylen Brown,Active
247,7,2.48050653419,1.21089626843,Jeff Adrien,Inactive
248,7,2.6159621081,0.196499551392,Jeff Ayres,Inactive
249,4,-0.0310453513051,-0.891330052433,Jeff Green,Active
250,9,-3.34343372429,1.6751958179,Jeff Teague,Active
251,3,2.93596769362,0.993638020566,Jeff Withey,Active
252,5,-0.624780290764,-1.45277679579,Jeffery Taylor,Inactive
253,4,0.442847571174,-0.896971843179,Jerami Grant,Active
254,1,2.09156174833,0.0286183577104,Jeremy Evans,Inactive
255,5,-0.233127611889,-0.699393505828,Jeremy Lamb,Active
256,2,-2.53716721873,0.948253597878,Jeremy Lin,Active
257,6,-2.31318369365,0.285085940576,Jerian Grant,Active
258,7,2.61482352855,1.34197458304,Jerome Jordan,Inactive
259,2,-2.32697116654,0.364855029765,Jerryd Bayless,Active
260,6,-2.29601281764,0.20310594958,Jimmer Fredette,Inactive
261,0,-0.614336344656,-0.703543852998,Jimmy Butler,Active
262,7,2.35274096227,1.68593023673,Joakim Noah,Active
263,5,-0.537371046867,-1.82041692013,Jodie Meeks,Active
264,5,-0.432388413243,-1.24575599385,Joe Harris,Active
265,6,-1.95557885251,-0.889349614397,Joe Ingles,Active
266,6,-1.71074774221,0.146470497373,Joe Johnson,Active
267,2,-2.899494495,0.85680432685,Joe Young,Active
268,7,2.25181770881,1.00089895202,Joel Anthony,Active
269,7,2.80452889416,0.951035524318,Joel Embiid,Active
270,7,2.57639246221,1.09840761342,Joel Freeland,Inactive
271,7,2.64303833485,0.993230058627,Joey Dorsey,Inactive
272,1,1.87442166117,0.0588608433339,Joffrey Lauvergne,Active
273,3,2.8477711597,1.36574391271,John Henson,Active
274,5,-0.367490040657,-0.865839326171,John Jenkins,Active
275,2,-2.97125548006,0.386882402069,John Lucas III,Active
276,6,-1.59408773809,-0.361970102588,John Salmons,Inactive
277,9,-3.48458800867,2.15805300519,John Wall,Active
278,1,1.19752226288,-0.224312526339,Johnny O'Bryant,Active
279,1,1.7909911651,-0.393736152617,Jon Leuer,Active
280,1,1.32906521935,-0.630673061257,Jonas Jerebko,Active
281,3,3.31477332782,1.3067382817,Jonas Valanciunas,Active
282,0,-0.670273191561,-0.826995338437,Jonathon Simmons,Active
283,0,-1.12593469666,-1.01730123256,Jordan Adams,Inactive
284,6,-1.68858800754,0.183091409925,Jordan Clarkson,Active
285,2,-2.53968564421,0.460001050957,Jordan Farmar,Active
286,4,0.105170595382,-0.758695681083,Jordan Hamilton,Inactive
287,7,2.47577978374,0.808641639657,Jordan Hill,Active
288,6,-1.69262178646,-0.229192112923,Jordan McRae,Active
289,1,1.5275383446,0.217761202671,Jordan Mickey,Active
290,6,-1.4445551784,0.429279997857,Jorge Gutierrez,Inactive
291,9,-3.60728640663,1.96074507081,Jose Calderon,Active
292,8,0.6647635164,0.369785080132,Josh McRoberts,Active
293,0,-1.40958373061,-0.704936690227,Josh Richardson,Active
294,1,1.2678420734,0.247498626941,Josh Smith,Inactive
295,9,-2.97290487393,1.50209963257,Jrue Holiday,Active
296,4,0.703474210763,-1.13419152969,Juan Hernangomez,Active
297,7,1.61551195754,0.850169371237,Julius Randle,Active
298,4,0.351422399528,-1.23511963445,Justin Anderson,Active
299,1,1.44430903882,-0.53227355907,Justin Hamilton,Active
300,5,-0.589638300318,-1.27656841431,Justin Holiday,Active
301,5,-0.184107281577,-1.06784743683,Justise Winslow,Active
302,7,2.74404235917,1.21107718699,Jusuf Nurkic,Active
303,8,0.1570799026,-0.281786718561,K.J. McDaniels,Active
304,3,3.17787041861,0.634945430221,Karl-Anthony Towns,Active
305,4,0.223438973131,-1.13886606522,Kawhi Leonard,Active
306,2,-2.84522308982,0.624680716359,Kay Felder,Active
307,1,1.10361724528,-0.321388568895,Kelly Olynyk,Active
308,5,0.105896588178,-1.38772980873,Kelly Oubre,Active
309,2,-2.73391160916,0.794262391303,Kemba Walker,Active
310,9,-4.19635839423,2.59025875964,Kendall Marshall,Inactive
311,7,2.71661981161,1.43565341123,Kendrick Perkins,Inactive
312,7,2.94825870502,0.496679577456,Kenneth Faried,Active
313,0,-0.896183943996,-0.89287696872,Kent Bazemore,Active
314,5,-0.914914589744,-1.55238455289,Kentavious Caldwell-Pope,Active
315,1,1.47713445984,-0.193319184144,Kenyon Martin,Inactive
316,8,0.176833804957,-0.334255175853,Kevin Durant,Active
317,7,2.20500656953,0.747730288071,Kevin Garnett,Inactive
318,7,2.49688054814,-0.0886077403399,Kevin Love,Active
319,0,-0.864808191858,-1.10856073309,Kevin Martin,Inactive
320,7,2.17997570046,1.40760183237,Kevin Seraphin,Active
321,7,2.66894085392,0.274423840868,Kevon Looney,Active
322,7,2.66894085392,0.274423840868,Kevon Looney,Inactive
323,7,2.66894085392,0.274423840868,Kevon Looney,Active
324,7,2.66894085392,0.274423840868,Kevon Looney,Inactive
325,0,-1.05457265567,-0.591261551652,Khris Middleton,Active
326,2,-2.60805117229,0.701805800644,Kirk Hinrich,Inactive
327,5,-0.443158248819,-1.28118344337,Klay Thompson,Active
328,6,-1.38369988813,0.311801922131,Kobe Bryant,Inactive
329,3,3.13337877701,0.880912449045,Kosta Koufos,Active
330,0,-0.738425506799,-0.456490446964,Kostas Papanikolaou,Inactive
331,2,-2.45936620005,1.02094532292,Kris Dunn,Active
332,7,2.82860996,0.331472894645,Kris Humphries,Active
333,1,1.88591704723,-0.260526832626,Kristaps Porzingis,Active
334,5,-0.324847968531,-0.910803690651,Kyle Anderson,Active
335,5,-0.0304562021809,-1.30350500447,Kyle Korver,Active
336,2,-2.58854649444,0.922672174874,Kyle Lowry,Active
337,7,2.67286014859,1.17494307821,Kyle O'Quinn,Active
338,5,0.089863416607,-1.40975500203,Kyle Singler,Active
339,2,-2.80070239532,0.97854870159,Kyrie Irving,Active
340,0,-0.917598780208,-0.905961992922,Lamar Patterson,Active
341,1,1.7922188673,-0.107376791605,LaMarcus Aldridge,Active
342,6,-1.13605518011,0.292650059676,Lance Stephenson,Active
343,4,0.0792890250815,-0.81103812902,Lance Thomas,Active
344,4,0.256447371097,-0.687816617793,Landry Fields,Inactive
345,0,-1.41204954788,-0.539574253399,Langston Galloway,Active
346,1,1.64158500203,-0.0272531908683,Larry Nance Jr.,Active
347,7,2.79953904329,1.05266264213,Larry Sanders,Inactive
348,7,2.69027473741,0.92832574928,Lavoy Allen,Active
349,6,-1.63212169855,-0.691153296204,Leandro Barbosa,Active
350,6,-1.34860916409,0.778342046044,LeBron James,Active
351,6,-1.6254249104,-0.119290123921,Lester Hudson,Inactive
352,2,-2.55938072479,1.42038755957,Lorenzo Brown,Inactive
353,7,2.67962809608,1.27710375544,Lou Amundson,Inactive
354,6,-2.45477624887,-0.0563749794442,Lou Williams,Active
355,4,0.816404583777,-0.971848976126,Luc Mbah a Moute,Active
356,7,2.5457371781,0.0702396974247,Lucas Nogueira,Active
357,4,0.333318142997,-0.703558939984,Luigi Datome,Inactive
358,1,1.7267725017,-0.146764795169,Luis Scola,Active
359,5,-0.287056362175,-0.88624861763,Luke Babbitt,Active
360,2,-3.04416678982,1.32866408947,Luke Ridnour,Inactive
361,4,0.522269701397,-0.835046316091,Luol Deng,Active
362,5,-0.565603850602,-1.17520918614,Malachi Richardson,Active
363,2,-2.44362163942,0.629794451833,Malcolm Brogdon,Active
364,2,-2.88622201476,1.14753069683,Malcolm Delaney,Active
365,0,-1.11944955742,-0.237501513799,Malcolm Lee,Inactive
366,7,2.01889624602,0.508016431551,Malcolm Thomas,Inactive
367,6,-1.64655723202,-0.077958368242,Manu Ginobili,Active
368,7,1.92840007715,0.646710811454,Marc Gasol,Active
369,9,-3.11332659468,2.68671691529,Marcelo Huertas,Active
370,3,3.72765571663,0.601551592573,Marcin Gortat,Active
371,0,-0.823674733299,-1.15234376236,Marco Belinelli,Active
372,5,-0.329119057094,-0.946929706123,Marcus Morris,Active
373,6,-1.72337206379,-0.295351166312,Marcus Smart,Active
374,0,-0.779903729171,-0.947886682655,Marcus Thornton,Active
375,2,-2.81581868464,0.151704961841,Mario Chalmers,Inactive
376,0,-0.743760622995,-0.469283352812,Mario Hezonja,Active
377,0,-0.978791127685,-0.873337967802,Markel Brown,Inactive
378,8,0.847948075845,-0.20584727337,Markieff Morris,Active
379,4,0.536816241347,-1.07111535354,Marquese Chriss,Active
380,7,2.62343191294,0.414645441615,Marreese Speights,Active
381,5,-0.239277072695,-1.44976604194,Martell Webster,Inactive
382,4,0.809512562285,-0.947285374149,Marvin Williams,Active
383,7,2.1030534656,1.08398919959,Mason Plumlee,Active
384,4,0.664915381711,-0.802235557687,Matt Barnes,Active
385,4,1.00886789584,-0.869096027549,Matt Bonner,Inactive
386,2,-2.60458770012,1.19454686264,Matthew Dellavedova,Active
387,4,0.142301718197,-1.19805548176,Maurice Harkless,Active
388,4,0.784994020179,-1.34136939767,Maurice Ndour,Active
389,0,-1.11173762262,-0.68495336879,Metta World Peace,Active
390,1,2.03652762348,-0.464504082319,Meyers Leonard,Active
391,8,0.582690481766,-0.174886774765,Michael Beasley,Active
392,2,-1.94062713273,1.55498251966,Michael Carter-Williams,Active
393,1,1.47711978842,-0.368036655473,Michael Kidd-Gilchrist,Active
394,2,-3.14371889552,0.827111164347,Mike Conley,Active
395,4,0.0408216830749,-0.851377305893,Mike Dunleavy,Active
396,8,-0.406056344662,-0.349024357378,Mike Miller,Active
397,1,1.87594377347,0.00818306427408,Mike Muscala,Active
398,1,1.40502155344,-0.698643271855,Mike Scott,Active
399,7,2.68124334855,1.12773964112,Miles Plumlee,Active
400,5,-0.537376062759,-0.985355326753,Mindaugas Kuzminskas,Active
401,7,2.02015265188,1.44665982412,Miroslav Raduljica,Inactive
402,4,0.540647724044,-0.869052624285,Mirza Teletovic,Active
403,7,2.41468489056,0.320192338193,Mitch McGary,Inactive
404,2,-2.8175632941,1.26940613898,Mo Williams,Inactive
405,6,-2.24286633893,0.146807007697,Monta Ellis,Active
406,1,1.27513889591,0.338744710312,Montrezl Harrell,Active
407,7,2.76377330181,-0.15461384684,Myles Turner,Active
408,2,-2.44482014652,0.325825431137,Nate Robinson,Inactive
409,2,-1.81192152756,0.999338078245,Nate Wolters,Inactive
410,7,2.67118344221,1.00181707318,Nazr Mohammed,Inactive
411,4,0.495022127971,-0.503943155308,Nemanja Bjelica,Active
412,1,1.66193960299,0.158956542601,Nene Hilario,Active
413,7,2.079781165,0.409010581478,Nerlens Noel,Active
414,2,-2.32628977629,0.78264502832,Nick Calathes,Inactive
415,1,2.01725294647,0.183484966316,Nick Collison,Active
416,0,-0.489483403205,-0.509130628506,Nick Johnson,Inactive
417,0,-1.28946803605,-1.04916665788,Nick Young,Active
418,8,-0.19228019105,-0.388842854524,Nicolas Batum,Active
419,4,0.0970245247096,-0.639801870468,Nicolas Brussino,Active
420,0,-1.29532705008,-0.768037973975,Nik Stauskas,Active
421,7,2.21075678599,1.57293725902,Nikola Jokic,Active
422,4,0.770893173259,-1.31189618234,Nikola Mirotic,Active
423,7,2.60914079399,0.913806668411,Nikola Pekovic,Inactive
424,7,2.85529598223,0.8401257321,Nikola Vucevic,Active
425,1,1.81055020533,0.217864815444,Noah Vonleh,Active
