,Unnamed: 0,Player,Pos,Player_ID,url,Cluster,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
172,218,Gordon Hayward,SF,haywago01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/haywago01.html,3,494.0,386.0,31.2,5.2,11.7,0.442,1.3,3.6,0.364,3.9,8.1,0.476,0.497,3.8,4.6,0.823,0.7,3.4,4.1,3.4,1.0,0.4,2.1,1.8,15.4
173,219,Gorgui Dieng,PF,dienggo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dienggo01.html,1,272.0,160.0,25.9,3.4,6.6,0.515,0.1,0.2,0.339,3.3,6.4,0.521,0.521,2.0,2.5,0.778,2.3,4.9,7.1,1.6,0.9,1.2,1.4,2.6,8.8
174,221,Greg Monroe,C,monrogr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/monrogr01.html,8,511.0,401.0,30.0,5.7,11.1,0.511,0.0,0.0,0.0,5.7,11.1,0.512,0.511,2.9,4.1,0.703,3.0,5.9,8.9,2.2,1.2,0.6,2.0,2.3,14.2
175,222,Greg Smith,PF,smithgr02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/smithgr02.html,6,149.0,12.0,12.3,1.6,2.6,0.617,0.0,0.0,0.0,1.6,2.6,0.618,0.617,0.7,1.3,0.576,1.1,2.2,3.3,0.3,0.2,0.4,0.4,1.9,4.0
176,223,Greg Stiemsma,C,stiemgr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stiemgr01.html,1,203.0,42.0,15.0,1.3,2.6,0.509,0.0,0.0,0.0,1.3,2.6,0.509,0.509,0.5,0.7,0.705,0.9,2.4,3.3,0.5,0.6,1.1,0.7,2.5,3.2
177,224,Greivis Vasquez,PG,vasqugr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vasqugr01.html,4,401.0,157.0,23.7,3.4,8.2,0.418,1.0,2.9,0.349,2.4,5.3,0.456,0.48,1.1,1.3,0.817,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,9.0
178,225,Harrison Barnes,PF,barneha02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/barneha02.html,2,363.0,302.0,29.3,4.4,9.8,0.454,0.9,2.6,0.368,3.5,7.2,0.484,0.502,1.8,2.3,0.762,1.1,3.7,4.7,1.5,0.7,0.2,1.1,1.8,11.6
179,226,Hassan Whiteside,C,whiteha01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/whiteha01.html,6,192.0,127.0,26.5,5.4,9.1,0.591,0.0,0.0,0.0,5.4,9.1,0.591,0.591,2.2,3.8,0.588,3.0,8.0,11.0,0.4,0.6,2.7,1.6,2.6,13.1
180,227,Hedo Turkoglu,SF,turkohe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turkohe01.html,3,997.0,571.0,26.8,3.9,9.1,0.426,1.2,3.3,0.384,2.6,5.8,0.45,0.495,2.1,2.7,0.784,0.6,3.3,4.0,2.8,0.8,0.3,1.6,2.4,11.1
181,229,Henry Sims,C,simshe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/simshe01.html,1,135.0,61.0,18.8,3.0,6.3,0.471,0.0,0.2,0.174,3.0,6.2,0.479,0.473,1.6,2.1,0.767,1.8,3.1,5.0,1.0,0.6,0.5,1.1,2.1,7.6
182,230,Henry Walker,SF,walkebi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/walkebi01.html,2,181.0,35.0,16.7,2.1,4.8,0.446,1.0,2.8,0.369,1.1,1.9,0.56,0.556,0.6,0.9,0.76,0.3,1.9,2.2,0.8,0.5,0.1,0.8,2.1,6.0
183,231,Hollis Thompson,SG,thompho01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thompho01.html,2,257.0,82.0,24.3,2.8,6.8,0.417,1.4,3.6,0.389,1.5,3.3,0.447,0.518,0.8,1.1,0.707,0.8,2.4,3.1,1.1,0.6,0.3,0.8,2.1,7.9
184,232,Ian Clark,SG,clarkia01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkia01.html,3,171.0,1.0,9.8,1.5,3.5,0.442,0.6,1.5,0.37,1.0,2.0,0.497,0.522,0.4,0.5,0.8,0.2,0.9,1.0,0.9,0.4,0.1,0.6,0.9,4.1
185,233,Ian Mahinmi,C,mahinia01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mahinia01.html,1,443.0,92.0,16.7,1.9,3.6,0.535,0.0,0.0,0.0,1.9,3.6,0.537,0.535,1.3,2.1,0.596,1.4,2.9,4.3,0.5,0.5,0.7,0.9,2.6,5.1
186,234,Iman Shumpert,SG,shumpim01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shumpim01.html,3,346.0,184.0,25.6,2.7,6.9,0.397,1.0,3.0,0.345,1.7,3.9,0.436,0.472,0.9,1.2,0.76,0.8,2.7,3.5,1.9,1.2,0.2,1.2,2.4,7.4
187,235,Isaiah Canaan,SG,canaais01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/canaais01.html,9,179.0,60.0,20.8,2.8,7.5,0.369,1.7,4.9,0.354,1.1,2.7,0.396,0.483,1.4,1.7,0.827,0.3,1.6,1.9,1.6,0.6,0.1,1.1,1.5,8.7
188,236,Isaiah Thomas,PG,thomais02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thomais02.html,0,418.0,286.0,29.8,6.1,13.7,0.443,1.9,5.2,0.367,4.2,8.5,0.488,0.512,4.7,5.4,0.874,0.6,2.0,2.6,5.2,1.0,0.1,2.3,2.2,18.7
189,237,Isaiah Whitehead,PG,whiteis01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/whiteis01.html,9,48.0,26.0,21.8,2.7,6.9,0.387,0.6,1.9,0.315,2.1,5.1,0.414,0.429,1.1,1.3,0.825,0.3,2.1,2.4,2.9,0.6,0.5,2.0,2.5,7.0
190,238,Ish Smith,PG,smithis01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/smithis01.html,4,380.0,96.0,17.4,2.6,6.4,0.408,0.3,1.0,0.288,2.3,5.5,0.429,0.43,0.7,1.0,0.652,0.3,1.9,2.2,3.6,0.7,0.2,1.3,1.1,6.2
191,240,J.J. Barea,PG,bareajo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bareajo01.html,0,678.0,90.0,19.4,3.3,7.7,0.423,0.9,2.6,0.351,2.4,5.2,0.459,0.481,1.1,1.4,0.801,0.3,1.7,2.0,3.6,0.4,0.0,1.4,1.5,8.6
192,241,J.J. Hickson,C,hicksjj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hicksjj01.html,1,534.0,307.0,22.3,3.8,7.6,0.505,0.0,0.0,0.0,3.8,7.6,0.508,0.505,1.8,3.0,0.617,2.2,4.6,6.8,0.8,0.5,0.6,1.4,1.9,9.5
193,243,J.J. Redick,SG,redicjj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/redicjj01.html,3,666.0,295.0,24.8,4.0,8.9,0.447,1.8,4.4,0.413,2.2,4.5,0.48,0.549,2.0,2.3,0.887,0.2,1.7,1.9,1.9,0.5,0.1,1.0,1.5,11.8
194,244,J.R. Smith,SG,smithjr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/smithjr01.html,3,860.0,316.0,26.9,4.7,11.2,0.421,2.0,5.4,0.375,2.7,5.8,0.465,0.512,1.6,2.2,0.734,0.5,2.7,3.2,2.2,1.0,0.2,1.4,2.3,13.1
195,246,Jabari Parker,PF,parkeja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/parkeja01.html,5,152.0,147.0,32.1,6.4,13.0,0.491,0.5,1.5,0.341,5.9,11.5,0.511,0.511,2.5,3.4,0.748,1.7,3.9,5.6,2.1,1.0,0.4,1.7,2.0,15.8
196,248,Jae Crowder,SF,crowdja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crowdja01.html,2,358.0,161.0,22.6,3.0,7.0,0.434,1.1,3.3,0.342,1.9,3.7,0.516,0.514,1.4,1.8,0.791,0.7,2.9,3.6,1.3,1.0,0.3,0.8,1.9,8.6
197,249,Jahlil Okafor,C,okafoja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/okafoja01.html,8,92.0,71.0,27.0,6.3,12.4,0.509,0.0,0.1,0.167,6.3,12.3,0.511,0.51,2.3,3.5,0.656,2.0,4.1,6.1,1.2,0.4,1.1,2.0,2.5,14.9
198,250,JaKarr Sampson,SF,sampsja02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sampsja02.html,7,147.0,72.0,15.6,1.9,4.5,0.431,0.3,1.3,0.237,1.6,3.2,0.51,0.465,1.0,1.5,0.662,0.6,1.9,2.4,0.8,0.4,0.4,1.0,1.9,5.2
199,254,Jamal Crawford,SG,crawfja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crawfja01.html,9,1157.0,433.0,30.7,5.3,13.0,0.41,1.7,5.0,0.349,3.6,8.0,0.448,0.477,3.0,3.5,0.861,0.4,2.0,2.4,3.5,0.9,0.2,1.9,1.6,15.4
200,255,Jamal Murray,SG,murraja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/murraja01.html,3,57.0,3.0,19.9,3.1,8.0,0.388,1.3,3.9,0.326,1.8,4.1,0.447,0.467,1.2,1.4,0.877,0.6,1.9,2.5,1.8,0.5,0.3,1.3,1.4,8.7
201,256,Jameer Nelson,PG,nelsoja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nelsoja01.html,0,811.0,622.0,28.4,4.5,10.3,0.437,1.3,3.6,0.369,3.1,6.6,0.475,0.503,1.5,1.8,0.811,0.5,2.5,3.0,5.2,0.9,0.1,2.1,2.6,11.8
202,257,James Anderson,SG,anderja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderja01.html,3,247.0,83.0,17.5,2.1,5.2,0.411,0.8,2.5,0.321,1.3,2.7,0.495,0.488,0.7,0.9,0.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8
203,258,James Ennis,SF,ennisja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/ennisja01.html,5,128.0,30.0,19.5,2.1,4.7,0.449,0.8,2.0,0.389,1.3,2.7,0.493,0.532,1.3,1.7,0.802,1.0,2.1,3.2,0.9,0.6,0.3,0.8,1.9,6.3
204,259,James Harden,PG,hardeja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hardeja01.html,9,593.0,380.0,33.5,6.4,14.5,0.442,2.2,6.0,0.365,4.2,8.5,0.497,0.518,6.8,7.9,0.855,0.8,4.2,4.9,5.5,1.5,0.4,3.3,2.5,21.9
205,260,James Johnson,PF,johnsja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsja01.html,7,450.0,140.0,19.2,2.9,6.0,0.478,0.3,1.2,0.293,2.5,4.8,0.524,0.507,1.1,1.6,0.692,0.9,2.5,3.4,1.7,0.7,1.0,1.4,2.2,7.2
206,261,James Jones,SF,jonesja02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesja02.html,2,697.0,92.0,15.7,1.7,4.3,0.401,1.1,2.7,0.402,0.6,1.5,0.4,0.531,0.8,0.9,0.842,0.3,1.5,1.8,0.5,0.3,0.3,0.3,1.3,5.3
207,262,James Michael McAdoo,PF,mcadoja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcadoja01.html,8,86.0,1.0,7.8,1.3,2.3,0.548,0.0,0.1,0.2,1.2,2.2,0.557,0.551,0.6,1.0,0.533,0.7,1.0,1.7,0.4,0.3,0.4,0.4,1.0,3.1
208,263,James Young,SG,youngja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/y/youngja01.html,2,80.0,0.0,8.6,0.9,2.3,0.376,0.4,1.4,0.283,0.5,0.9,0.529,0.464,0.3,0.5,0.55,0.2,0.9,1.1,0.3,0.2,0.1,0.2,0.6,2.4
209,264,JaMychal Green,PF,greenja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenja01.html,8,158.0,72.0,20.3,2.8,5.8,0.479,0.3,1.0,0.344,2.4,4.8,0.507,0.508,1.4,1.7,0.775,1.8,3.5,5.2,0.9,0.6,0.4,1.1,2.6,7.3
210,265,Jannero Pargo,PG,pargoja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pargoja01.html,0,499.0,18.0,14.9,2.5,6.3,0.391,0.8,2.3,0.356,1.7,4.0,0.411,0.455,0.6,0.7,0.864,0.2,1.2,1.4,2.0,0.5,0.1,1.1,1.3,6.4
211,266,Jared Cunningham,SG,cunnija01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cunnija01.html,3,84.0,3.0,7.2,0.7,2.1,0.347,0.2,0.7,0.306,0.5,1.3,0.369,0.402,0.7,1.0,0.674,0.1,0.6,0.7,0.5,0.3,0.0,0.4,0.9,2.3
212,267,Jared Dudley,PF,dudleja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dudleja01.html,2,716.0,260.0,24.1,3.0,6.5,0.47,1.1,2.6,0.401,2.0,3.8,0.518,0.552,1.2,1.6,0.732,1.0,2.4,3.4,1.6,0.9,0.2,0.9,1.8,8.3
213,268,Jared Sullinger,PF,sullija01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sullija01.html,1,269.0,172.0,24.3,4.4,10.0,0.436,0.5,1.9,0.272,3.8,8.1,0.476,0.463,1.5,2.1,0.723,2.5,4.9,7.5,1.8,0.7,0.6,1.2,2.9,10.8
214,270,Jarell Martin,PF,martija01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/martija01.html,8,67.0,3.0,13.7,1.6,3.9,0.415,0.1,0.4,0.321,1.5,3.5,0.427,0.433,1.2,1.6,0.755,1.1,2.5,3.6,0.3,0.3,0.2,0.7,2.2,4.6
215,272,Jarrett Jack,PG,jackja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jackja01.html,0,803.0,343.0,28.1,4.0,9.0,0.44,0.7,2.1,0.346,3.2,6.9,0.47,0.482,2.4,2.8,0.856,0.3,2.5,2.9,4.5,0.8,0.1,2.0,1.8,11.1
216,273,Jason Maxiell,PF,maxieja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/maxieja01.html,1,618.0,188.0,18.4,2.3,4.6,0.495,0.0,0.0,0.0,2.3,4.6,0.496,0.495,1.1,2.0,0.564,1.7,2.5,4.2,0.4,0.4,0.8,0.8,1.9,5.6
217,274,Jason Richardson,SG,richaja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/richaja01.html,2,857.0,842.0,34.1,6.5,14.8,0.438,1.9,5.1,0.37,4.6,9.7,0.474,0.502,2.2,3.2,0.707,1.2,3.7,5.0,2.7,1.2,0.4,1.8,2.3,17.1
218,275,Jason Smith,C,smithja02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/smithja02.html,8,542.0,98.0,17.0,2.7,5.7,0.471,0.1,0.3,0.321,2.6,5.4,0.478,0.478,0.9,1.2,0.778,1.1,2.4,3.5,0.7,0.4,0.7,0.9,2.2,6.4
219,276,Jason Terry,SG,terryja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/terryja01.html,9,1332.0,675.0,30.5,5.1,11.5,0.444,1.7,4.4,0.38,3.5,7.1,0.484,0.516,2.1,2.4,0.845,0.4,2.0,2.4,4.0,1.2,0.2,1.8,1.9,13.9
220,277,Jason Thompson,PF,thompja02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thompja02.html,1,588.0,412.0,25.2,3.6,7.2,0.496,0.0,0.1,0.143,3.6,7.2,0.5,0.497,1.7,2.5,0.657,2.1,4.4,6.6,1.1,0.5,0.7,1.3,3.0,8.9
221,278,JaVale McGee,C,mcgeeja01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcgeeja01.html,6,468.0,170.0,18.1,3.3,6.1,0.552,0.0,0.0,0.1,3.3,6.0,0.554,0.552,1.2,2.1,0.576,1.9,3.2,5.1,0.3,0.4,1.6,1.0,2.2,7.9
222,279,Jaylen Brown,SF,brownja02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownja02.html,5,53.0,13.0,15.5,2.1,4.8,0.427,0.4,1.3,0.304,1.7,3.5,0.473,0.469,1.2,1.6,0.721,0.5,2.0,2.6,0.6,0.4,0.2,0.7,1.7,5.7
223,280,Jeff Adrien,PF,adrieje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/adrieje01.html,1,153.0,17.0,14.0,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.476,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
224,281,Jeff Ayres,C,pendeje02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pendeje02.html,1,237.0,15.0,9.8,1.2,2.2,0.553,0.0,0.0,0.4,1.2,2.2,0.554,0.555,0.5,0.6,0.776,0.8,1.8,2.7,0.4,0.2,0.3,0.6,1.5,2.9
225,282,Jeff Green,SF,greenje02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenje02.html,2,693.0,484.0,31.3,5.0,11.5,0.435,1.0,3.0,0.334,4.0,8.4,0.472,0.479,2.6,3.3,0.791,1.0,3.7,4.7,1.6,0.8,0.6,1.6,2.3,13.6
226,283,Jeff Teague,PG,teaguje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/teaguje01.html,4,575.0,440.0,26.7,4.5,10.0,0.448,0.8,2.3,0.354,3.6,7.6,0.477,0.49,2.7,3.2,0.84,0.3,2.0,2.3,5.4,1.2,0.3,2.2,1.9,12.5
227,284,Jeff Withey,C,witheje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/witheje01.html,1,178.0,14.0,10.4,1.2,2.3,0.528,0.0,0.0,0.0,1.2,2.3,0.533,0.528,0.8,1.2,0.719,0.9,1.7,2.6,0.3,0.3,0.8,0.4,1.1,3.3
228,285,Jeffery Taylor,SF,tayloje03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tayloje03.html,2,132.0,50.0,19.4,2.3,5.5,0.409,0.6,1.9,0.319,1.6,3.6,0.458,0.465,1.0,1.4,0.665,0.6,1.4,2.0,0.8,0.5,0.2,0.7,1.8,6.1
229,286,Jerami Grant,SF,grantje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grantje01.html,5,199.0,67.0,23.4,2.5,6.1,0.41,0.6,1.9,0.301,1.9,4.2,0.461,0.458,2.0,3.2,0.63,0.9,2.7,3.6,1.2,0.6,1.3,1.1,2.4,7.6
230,288,Jeremy Evans,SF,evansje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/evansje01.html,8,249.0,9.0,10.5,1.5,2.6,0.568,0.0,0.1,0.231,1.4,2.5,0.582,0.573,0.6,0.8,0.687,1.0,1.6,2.6,0.4,0.4,0.5,0.3,1.2,3.5
231,289,Jeremy Lamb,SG,lambje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lambje01.html,7,251.0,11.0,16.6,3.0,6.9,0.433,0.8,2.6,0.324,2.1,4.3,0.5,0.495,1.0,1.2,0.806,0.4,2.5,2.9,1.1,0.5,0.3,0.7,1.5,7.8
232,290,Jeremy Lin,PG,linje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/linje01.html,0,382.0,193.0,26.7,4.0,9.2,0.434,0.9,2.7,0.346,3.1,6.6,0.469,0.483,2.8,3.5,0.8,0.4,2.4,2.8,4.4,1.2,0.4,2.4,2.2,11.8
233,291,Jerian Grant,PG,grantje02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grantje02.html,9,122.0,23.0,16.6,2.0,5.0,0.398,0.4,1.6,0.281,1.5,3.4,0.451,0.442,1.2,1.5,0.824,0.3,1.5,1.8,2.0,0.7,0.1,1.0,1.4,5.7
234,292,Jerome Jordan,C,jordaje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jordaje01.html,6,65.0,0.0,7.6,1.0,2.0,0.528,0.0,0.0,0.0,1.0,2.0,0.528,0.528,0.7,0.8,0.852,1.0,1.0,2.0,0.3,0.1,0.3,0.4,1.1,2.8
235,294,Jerryd Bayless,PG,bayleje01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bayleje01.html,9,513.0,82.0,21.3,3.0,7.2,0.414,0.8,2.2,0.366,2.2,5.0,0.436,0.471,1.8,2.2,0.825,0.3,1.8,2.1,2.9,0.6,0.1,1.5,2.1,8.6
236,295,Jimmer Fredette,SG,fredeji01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fredeji01.html,9,235.0,7.0,13.4,2.2,5.3,0.412,0.8,2.2,0.381,1.4,3.2,0.432,0.489,0.8,0.9,0.876,0.2,0.8,1.0,1.4,0.4,0.0,0.9,0.9,6.0
237,296,Jimmy Butler,SF,butleji01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butleji01.html,3,374.0,269.0,31.9,4.9,10.9,0.446,0.8,2.5,0.329,4.0,8.4,0.481,0.484,4.5,5.5,0.825,1.4,3.3,4.7,2.9,1.4,0.4,1.4,1.4,15.1
238,297,Joakim Noah,C,noahjo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/noahjo01.html,6,618.0,511.0,28.9,3.4,7.0,0.49,0.0,0.0,0.0,3.4,7.0,0.492,0.49,2.1,3.0,0.699,3.3,6.0,9.4,2.9,0.8,1.4,1.7,2.9,9.0
239,298,Jodie Meeks,SG,meeksjo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/meeksjo01.html,2,442.0,203.0,24.1,3.3,7.8,0.422,1.5,4.1,0.375,1.8,3.7,0.473,0.519,1.7,1.9,0.883,0.3,1.9,2.2,1.1,0.9,0.1,0.8,1.3,9.8
240,299,Joe Harris,SG,harrijo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrijo01.html,2,105.0,11.0,15.1,1.9,4.5,0.42,1.1,2.8,0.38,0.8,1.6,0.488,0.541,0.4,0.6,0.688,0.2,1.6,1.8,0.8,0.3,0.1,0.8,1.7,5.2
241,300,Joe Ingles,SF,inglejo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/inglejo01.html,3,218.0,49.0,19.2,1.9,4.3,0.434,1.1,2.7,0.392,0.8,1.6,0.506,0.558,0.4,0.5,0.771,0.2,2.0,2.3,1.9,0.9,0.1,1.0,1.5,5.1
242,301,Joe Johnson,SF,johnsjo02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsjo02.html,9,1199.0,1081.0,35.4,6.3,14.3,0.442,1.6,4.3,0.373,4.7,10.1,0.472,0.498,2.3,2.8,0.801,0.9,3.1,4.0,4.1,0.9,0.2,2.0,1.8,16.5
243,302,Joe Young,PG,youngjo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/y/youngjo01.html,0,66.0,0.0,7.7,1.3,3.6,0.366,0.2,1.0,0.217,1.1,2.5,0.428,0.398,0.4,0.6,0.763,0.1,0.9,1.0,1.2,0.3,0.0,0.6,0.5,3.3
244,303,Joel Anthony,C,anthojo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anthojo01.html,1,480.0,110.0,14.6,0.8,1.6,0.512,0.0,0.0,0.0,0.8,1.6,0.512,0.512,0.6,0.8,0.664,1.2,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
245,306,Joel Freeland,C,freeljo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/freeljo01.html,6,151.0,9.0,12.1,1.4,3.0,0.459,0.0,0.0,0.0,1.4,3.0,0.461,0.459,0.4,0.5,0.728,1.3,2.2,3.4,0.4,0.2,0.4,0.5,1.7,3.2
246,307,Joey Dorsey,PF,dorsejo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dorsejo01.html,6,130.0,26.0,11.4,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.536,0.534,0.5,1.2,0.375,1.5,2.4,3.9,0.4,0.5,0.3,0.7,2.0,2.6
247,308,Joffrey Lauvergne,C,lauvejo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lauvejo01.html,8,133.0,16.0,15.4,2.6,5.4,0.48,0.3,1.1,0.293,2.2,4.3,0.528,0.51,0.9,1.2,0.755,1.2,3.0,4.1,0.9,0.3,0.2,0.9,1.7,6.3
248,309,John Henson,C,hensojo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hensojo01.html,6,303.0,82.0,19.1,3.3,6.1,0.534,0.0,0.0,0.0,3.3,6.1,0.535,0.534,1.2,2.1,0.573,1.9,3.3,5.2,1.0,0.4,1.5,1.2,2.2,7.7
