,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
count,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
mean,104.936170213,108.170212766,12.0861702128,0.531095744681,0.388563829787,0.236968085106,3.70744680851,13.0478723404,8.36914893617,8.78404255319,1.57127659574,1.16063829787,11.3531914894,17.5872340426,10.5563829787,9.1914893617,19.7553191489,0.0753404255319,-0.702127659574,-0.424468085106,-1.11808510638,5.57127659574
std,6.35814355579,2.81561810809,3.2827866822,0.0341076944458,0.142728673982,0.0888817569157,1.32780353529,2.49609280584,1.57357387871,2.92377364022,0.516943527713,0.573841626105,2.64846078762,3.82572599176,14.947956731,10.1629694625,24.0732511933,0.0410466697905,1.75805236343,1.21546364181,2.31270277883,9.15212675607
min,85.0,98.0,6.2,0.435,0.079,0.059,1.2,8.3,5.0,3.6,0.4,0.2,4.4,9.6,-1.1,0.1,-0.6,-0.039,-4.8,-2.7,-5.9,-2.6
25%,102.0,107.0,9.6,0.51325,0.278,0.174,2.7,11.125,7.2,6.65,1.3,0.7,9.7,14.925,0.725,1.625,2.225,0.051,-1.825,-1.3,-2.775,-0.3
50%,106.0,108.0,12.15,0.53,0.4095,0.221,3.6,13.05,8.4,8.5,1.5,1.1,11.2,17.45,4.3,5.45,9.4,0.0755,-0.6,-0.6,-1.1,1.05
75%,109.0,110.0,13.775,0.5525,0.461,0.27875,4.65,14.775,9.5,10.4,1.8,1.5,12.925,19.5,13.35,12.55,27.625,0.1025,0.3,0.3,0.4,8.075
max,122.0,114.0,25.2,0.616,0.779,0.474,6.7,19.2,11.8,18.3,3.4,2.9,19.9,31.5,84.6,38.9,119.2,0.219,4.7,2.7,6.2,46.7
