,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
217,22,130,111.1,107.5,3.7,66.1,1.53,18.3,28.5,84.0,54.1,0.2,53.1,58.0,106.09,50.2,10001.21
218,27,196,107.5,108.5,-1.0,60.9,1.4,17.3,24.2,75.8,49.2,0.2,53.2,56.9,101.0,49.2,10001.21
219,34,399,123.2,110.4,12.9,66.5,2.2,20.8,25.7,76.4,50.7,0.1,60.4,63.4,99.79,55.2,1.211
220,8,54,97.0,89.2,7.7,53.8,1.91,16.1,6.5,88.6,46.7,0.1,48.9,52.4,96.69,55.2,1100.111
221,15,82,113.6,95.2,18.4,45.3,1.61,13.9,24.3,76.5,52.9,0.1,51.8,57.1,95.58,64.6,11001.2
222,21,255,112.5,103.7,8.8,62.3,2.15,20.2,20.9,74.2,49.1,0.1,56.6,58.5,97.03,55.8,11001.11
223,13,70,107.8,118.3,-10.6,53.4,1.55,16.5,23.2,72.5,46.7,0.1,52.5,56.6,97.6,46.7,11001.11
224,6,87,102.3,102.8,-0.5,53.6,1.28,15.5,21.3,83.5,54.4,0.2,50.3,55.0,101.38,48.8,10001.12
225,10,110,94.0,101.1,-7.2,55.7,1.47,15.4,19.4,78.8,49.3,0.1,45.5,49.2,97.22,46.5,
226,10,55,107.9,82.3,25.6,64.1,1.47,16.2,30.9,86.3,57.5,0.2,47.4,53.9,95.92,68.4,11100.02
227,25,281,102.7,106.8,-4.1,61.9,1.71,18.7,17.7,76.1,46.2,0.1,51.4,54.9,93.42,46.9,11000.03
228,22,153,101.0,104.5,-3.5,61.0,1.39,16.3,29.4,76.6,51.3,0.2,46.7,51.2,91.35,45.1,
229,14,91,102.9,110.7,-7.8,73.2,1.63,20.0,19.2,73.4,46.5,0.2,51.3,56.4,99.57,46.8,10110.011
230,17,78,114.0,104.4,9.6,58.6,1.55,16.2,29.0,76.6,54.1,0.1,49.2,57.7,95.54,58.6,21001.01
231,28,79,112.6,121.0,-8.5,60.3,2.0,16.9,28.4,76.9,50.0,0.1,49.7,54.9,101.1,42.8,20000.21
232,27,363,113.1,106.1,7.1,63.0,2.45,20.4,19.0,76.2,49.7,0.1,55.4,58.7,95.12,56.2,21001.01
233,17,67,114.2,94.4,19.8,72.9,2.69,19.5,22.4,81.5,48.8,0.1,50.4,56.2,94.02,60.2,20001.11
234,17,56,102.9,105.7,-2.7,57.4,1.8,16.6,23.2,80.4,49.0,0.1,48.6,52.3,101.71,51.4,20000.21
235,22,169,106.3,94.5,11.9,54.7,1.6,17.1,28.3,80.4,55.2,0.1,50.7,54.5,92.1,59.1,11001.011
236,28,134,103.2,103.3,-0.2,53.2,1.45,16.6,28.0,84.6,54.5,0.2,51.5,53.0,94.23,47.1,1002.101
237,7,81,107.5,103.0,4.5,60.0,1.56,18.1,19.7,86.1,54.3,0.2,53.7,58.0,98.76,52.3,10300.001
238,14,144,104.6,103.3,1.3,56.8,1.85,16.7,19.5,83.6,52.9,0.1,49.0,54.2,96.08,52.2,110.012
239,10,114,110.6,110.3,0.2,60.5,1.93,18.8,17.9,79.1,49.7,0.1,56.0,58.7,89.58,50.4,1200.002
240,7,88,95.6,116.2,-20.6,59.1,1.03,16.5,21.6,80.3,50.3,0.2,51.7,54.4,98.27,39.5,1100.012
241,8,71,104.3,105.0,-0.6,65.5,1.38,18.7,28.6,75.0,53.3,0.2,51.7,56.2,95.37,53.0,1100.012
242,14,57,108.0,119.3,-11.3,55.0,2.0,15.3,25.5,76.3,46.2,0.1,47.4,52.5,92.84,40.4,111.011
243,47,611,101.1,99.0,2.1,52.9,1.4,16.4,23.6,77.6,51.8,0.2,51.2,53.4,99.25,51.3,1001.111
244,22,120,99.2,108.5,-9.3,60.9,1.33,15.7,31.5,78.1,54.2,0.2,44.5,50.6,97.49,48.6,1101.011
245,21,80,107.6,97.7,9.9,43.1,0.97,12.1,37.0,78.0,57.7,0.2,47.0,53.5,100.55,54.6,11000.111
246,31,108,118.1,107.4,10.8,42.0,1.09,12.7,25.3,82.4,54.8,0.1,57.1,61.8,106.13,52.8,1000.211
247,12,80,104.0,122.8,-18.9,49.3,1.31,16.2,23.2,67.2,45.6,0.2,55.1,56.5,97.4,40.6,
248,24,98,108.6,108.2,0.4,57.5,1.79,17.4,27.7,76.7,51.6,0.1,52.1,54.8,102.48,49.3,1101.011
249,23,59,135.8,98.9,36.9,50.8,2.06,18.3,27.7,80.3,57.4,0.1,65.0,69.4,107.7,66.8,11100.011
