first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
M.Barnes,B.Griffin,D.Jordan,C.Paul,J.Redick,LAC,60,1217,117.8,100,17.7,69.2,2.51,21.7,27.1,76,52.8,0.1,57.1,59.5,97.03,60.8
D.Carroll,A.Horford,K.Korver,P.Millsap,J.Teague,ATL,57,915,109.8,101.6,8.1,72.5,2.01,21.8,21.2,72.6,47.8,0.2,55.4,58.7,96.89,55.7
H.Barnes,A.Bogut,S.Curry,D.Green,K.Thompson,GSW,58,813,114.4,94.8,19.6,70.1,2.25,22.3,20.3,77.2,50.3,0.1,58.3,60.3,100.66,60.2
L.Aldridge,N.Batum,D.Lillard,R.Lopez,W.Matthews,POR,32,629,107.8,97.1,10.7,55.8,1.77,16.8,24.9,76.9,52.3,0.1,50.3,54.7,96.13,57.2
B.Beal,M.Gortat,N.Hilario,P.Pierce,J.Wall,WAS,40,596,106.1,98.7,7.4,64.7,1.86,20,21.6,81.7,51.8,0.1,53.5,56.1,96.79,54.1
K.Irving,L.James,K.Love,T.Mozgov,J.Smith,CLE,33,481,116.1,96.8,19.3,62.8,1.82,20,27.7,75.2,53.1,0.2,57.8,60.4,97.07,60.1
T.Allen,M.Conley,M.Gasol,C.Lee,Z.Randolph,MEM,43,460,110.1,102.7,7.4,55.2,1.5,17.3,23.9,72.4,49,0.2,53.5,58.5,94.98,54.7
T.Chandler,M.Ellis,D.Nowitzki,C.Parsons,R.Rondo,DAL,31,455,103,106.7,-3.8,58.3,1.57,18.3,22.1,74.4,47,0.2,52.6,54.6,96.72,46.8
D.Collison,D.Cousins,R.Gay,B.McLemore,J.Thompson,SAC,30,427,108.1,91.8,16.4,51.8,1.5,16.4,24,79.5,53.4,0.1,52.8,56.6,97.75,59.4
M.Conley,M.Gasol,J.Green,C.Lee,Z.Randolph,MEM,29,426,100.4,103.4,-3,59.7,1.65,17.5,19.1,76.6,47.4,0.1,48.1,53.1,92.72,50.4
A.Afflalo,W.Chandler,K.Faried,T.Lawson,T.Mozgov,DEN,29,416,107.1,108.6,-1.5,56.3,1.45,16.9,31.7,77.9,54.4,0.2,51.2,54.6,96.92,48.6
E.Bledsoe,G.Dragic,A.Len,M.Morris,P.Tucker,PHX,35,392,103.9,94.5,9.4,49.7,1.35,16.1,23.9,75.5,51,0.2,52.4,54.9,98.67,55.4
D.DeRozan,A.Johnson,K.Lowry,T.Ross,J.Valanciunas,TOR,32,390,107.2,104.7,2.6,54.3,1.57,17.2,22.2,78.3,52.1,0.1,53.5,56.8,96.03,51
R.Hibbert,G.Hill,S.Hill,C.Miles,D.West,IND,30,374,104.6,100.3,4.3,66.3,2.22,19,21.5,80.1,51.2,0.1,49,53.2,94.28,54.2
T.Ariza,P.Beverley,J.Harden,D.Howard,D.Motiejunas,HOU,25,360,108.1,96.7,11.5,66.3,1.37,18.7,28.9,74.8,52.3,0.2,54.7,58,98.41,54.1
J.Butler,M.Dunleavy,P.Gasol,J.Noah,D.Rose,CHI,21,353,107.2,103.5,3.7,64.6,1.92,19.2,25,77,52.5,0.1,51.1,55.2,95.78,54.9
O.Asik,A.Davis,T.Evans,E.Gordon,Q.Pondexter,NOP,25,346,109,104.5,4.5,64.2,1.79,19.6,26.8,75.9,51.2,0.2,54.3,56.4,92.38,51.8
G.Antetokounmpo,M.Carter-Williams,E.Ilyasova,K.Middleton,Z.Pachulia,MIL,24,344,107.3,97.4,9.9,66.7,1.7,19.7,30,79.2,54.3,0.2,51.9,55.6,97.2,56.1
C.Boozer,K.Bryant,J.Hill,W.Johnson,J.Lin,LAL,20,338,102.4,117.6,-15.2,63.2,1.9,18.5,24.5,74.5,47.9,0.1,48.2,52.1,98.74,41.5
T.Burke,A.Burks,D.Favors,G.Hayward,E.Kanter,UTA,24,328,114.4,114.8,-0.3,54,1.88,18.4,26.6,75.5,51.5,0.1,56,58.4,91.04,49.8
B.Bass,A.Bradley,M.Smart,E.Turner,T.Zeller,BOS,33,321,95.1,102.3,-7.2,59.2,2.08,18.2,18.2,76.8,47.1,0.1,47.1,49,97.95,46.4
B.Beal,M.Gortat,K.Humphries,P.Pierce,J.Wall,WAS,28,317,98,96.2,1.8,67.3,1.64,19.5,21.4,81.2,50.5,0.2,49.7,52.6,97.46,51.2
A.Afflalo,L.Aldridge,N.Batum,D.Lillard,R.Lopez,POR,21,314,107.5,111,-3.5,52.9,1.58,16.5,24.2,75.5,51.3,0.1,51.6,55.3,95.63,48.4
K.Bryant,E.Davis,J.Hill,W.Johnson,R.Price,LAL,19,269,96.9,106.6,-9.7,67.3,1.75,18.8,22,75.3,47.4,0.1,47.7,50.9,96.77,45.1
W.Chandler,K.Faried,R.Foye,D.Gallinari,T.Lawson,DEN,16,267,113.1,105.8,7.3,60.2,2.01,18.8,17.4,81.3,49,0.1,56.2,59.7,100.24,52.9
B.Diaw,T.Duncan,D.Green,K.Leonard,T.Parker,SAS,44,266,114.2,102.3,11.9,58.9,1.94,19,25.6,78.6,53.4,0.1,55.5,58.8,94.66,57
A.Afflalo,W.Chandler,K.Faried,T.Lawson,J.Nurkic,DEN,25,265,97,101.6,-4.6,65.5,1.78,18.4,23.1,79.5,51.2,0.1,47.1,50,97.05,48.6
T.Duncan,D.Green,K.Leonard,T.Parker,T.Splitter,SAS,29,265,116.8,93.2,23.6,62.2,2.46,21.2,21.9,74.9,50.8,0.1,56.9,60.1,96.84,62.2
R.Hibbert,S.Hill,R.Stuckey,C.Watson,D.West,IND,24,260,96,110.5,-14.6,60.5,1.53,17.6,22.9,73.2,48.3,0.2,47,50.4,92.3,44.1
K.Irving,L.James,K.Love,S.Marion,A.Varejao,CLE,22,257,107.2,104.2,3,72.2,2.07,21.2,25.9,76.1,51.8,0.1,51.7,55.7,95.07,52.8
M.Brown,J.Johnson,B.Lopez,D.Williams,T.Young,BKN,23,256,109.9,101,8.9,51.9,2.06,16.6,26.8,78.6,52.3,0.1,49.9,53.9,92.9,53.5
K.Caldwell-Pope,A.Drummond,B.Jennings,G.Monroe,K.Singler,DET,24,254,102.9,97.5,5.4,58.2,1.42,16.9,31.6,77.6,54.2,0.2,49.6,52,96.88,51.2
T.Chandler,M.Ellis,J.Nelson,D.Nowitzki,C.Parsons,DAL,21,254,116.4,103.6,12.9,64,2.53,20.4,24.8,76.8,50.7,0.1,54.7,58.3,96.34,57.5
S.Adams,K.Durant,S.Ibaka,A.Roberson,R.Westbrook,OKC,23,249,109.8,96.4,13.4,61.1,1.54,18.3,31.3,81.9,57.6,0.2,52.7,57,97.86,57.7
J.Crawford,B.Griffin,D.Jordan,C.Paul,J.Redick,LAC,44,245,119.1,109.6,9.5,64.1,2.02,18.7,23.8,78.4,51.9,0.1,55,61.4,95.4,56.2
M.Gortat,N.Hilario,P.Pierce,G.Temple,J.Wall,WAS,20,242,96.6,89.1,7.5,69.2,1.47,19,22.9,77.9,50.6,0.2,48.4,52.1,97.76,59.5
E.Bledsoe,G.Dragic,M.Morris,M.Morris,M.Plumlee,PHX,26,237,107.1,102.9,4.2,54.3,1.37,18.1,21,71,48.6,0.2,56.7,59.2,96.47,53.6
T.Hansbrough,J.Johnson,P.Patterson,G.Vasquez,L.Williams,TOR,39,229,114.6,96.8,17.7,54.6,1.84,16.9,27.4,71.2,49.2,0.1,54.1,57.8,93.67,59.2
M.Barnes,J.Crawford,B.Griffin,D.Jordan,C.Paul,LAC,45,225,118.9,104.9,14,55.5,2.36,17.6,27.3,72.7,50.6,0.1,54.4,58.4,95.45,58.3
E.Fournier,C.Frye,T.Harris,V.Oladipo,N.Vucevic,ORL,21,211,98.9,108,-9,54.3,1.38,16.7,14.8,78.2,45.8,0.2,51.7,54.3,94.38,43
O.Asik,D.Cunningham,A.Davis,T.Evans,E.Gordon,NOP,20,210,108.4,97,11.4,61.7,1.8,19,32,81.4,56.9,0.1,51.5,54.5,91.94,57.3
O.Asik,L.Babbitt,A.Davis,T.Evans,J.Holiday,NOP,16,201,100.8,100.9,-0.1,61.2,1.53,18,27.6,84.6,54.8,0.2,49.6,52.1,97.36,49.3
H.Barnes,S.Curry,D.Green,M.Speights,K.Thompson,GSW,36,201,117.5,98.4,19.1,65.8,2.47,21.4,23.9,72.2,48.4,0.1,57.2,59.8,105.16,59.3
M.Barnes,S.Hawes,D.Jordan,C.Paul,J.Redick,LAC,17,199,113.3,100.7,12.6,69,2.23,21.5,22.2,76.4,51.6,0.1,57.4,59.2,95.85,56.3
L.Aldridge,N.Batum,C.Kaman,D.Lillard,W.Matthews,POR,20,190,100.3,104.6,-4.3,61.3,1.74,17.4,24.2,71.7,47.1,0.1,47.6,50.9,93.06,47.4
D.Exum,D.Favors,R.Gobert,G.Hayward,J.Ingles,UTA,31,187,97.4,96.9,0.5,59.5,1.07,15.8,31.1,81.9,56.2,0.2,48.1,51.5,89.89,49.5
K.Caldwell-Pope,A.Drummond,B.Jennings,K.Singler,J.Smith,DET,16,185,96.4,107,-10.6,66,1.7,18,29.9,72.3,49.5,0.1,45.4,47.8,99.02,43.3
A.Bogut,S.Curry,D.Green,A.Iguodala,K.Thompson,GSW,50,181,122.6,94.3,28.3,61.9,2.04,19.5,29.2,74.3,51.8,0.1,57.6,61.5,101.13,62.6
D.Dedmon,T.Harris,V.Oladipo,E.Payton,N.Vucevic,ORL,17,180,97.2,103.6,-6.4,60.4,1.58,18,30.6,75,51.8,0.2,46.5,49.3,95.19,47
B.Bogdanovic,K.Garnett,J.Johnson,B.Lopez,D.Williams,BKN,14,179,105.7,102.2,3.6,57.1,1.65,18.4,18.5,77.2,47.8,0.1,53.2,56.8,92.84,51.9
L.Deng,G.Dragic,U.Haslem,D.Wade,H.Whiteside,MIA,16,179,108.1,110,-1.9,49.3,2.03,15.9,27.4,73.4,50.5,0.1,49.8,53,91.95,50.8
M.Gasol,J.Green,C.Lee,Z.Randolph,B.Udrih,MEM,20,178,106.3,110.9,-4.6,57.3,1.48,18.4,26.5,80.1,53.8,0.2,54,56.8,91.55,50.8
T.Ariza,P.Beverley,J.Dorsey,J.Harden,D.Motiejunas,HOU,19,174,102,98.7,3.3,61.2,1.26,16.8,29.7,79.7,52.8,0.2,49.7,53.8,98.39,49.8
C.Butler,K.Caldwell-Pope,A.Drummond,R.Jackson,A.Tolliver,DET,18,173,126.5,112.1,14.3,65.6,2.74,22.8,26.3,75.2,51.5,0.1,63.1,64,90.33,54.1
O.Asik,A.Davis,T.Evans,E.Gordon,J.Holiday,NOP,13,171,109.8,98.5,11.3,62.3,2.33,19.4,27.1,79.3,52.8,0.1,51.1,54.4,94.77,55.8
E.Bledsoe,G.Dragic,M.Morris,M.Plumlee,P.Tucker,PHX,27,163,102.8,97.6,5.2,53.2,1.24,14.9,30.1,75.2,51.9,0.2,47.6,52.2,97.74,52.7
