,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
27,30,296,104.7,108.4,-3.7,59.4,1.57,18.1,28.5,76.6,51.7,0.2,50.7,53.9,96.43,47.0,11001.11
28,33,295,112.7,100.3,12.5,65.9,1.73,19.9,25.2,74.3,50.8,0.2,56.5,59.6,99.16,55.6,10000.211
29,36,290,113.2,98.8,14.4,61.1,1.64,18.7,25.3,75.2,51.2,0.2,56.7,59.4,100.92,57.3,11001.11
30,21,290,104.8,107.3,-2.6,64.3,1.84,18.2,31.4,78.5,53.5,0.1,47.5,51.9,97.41,49.0,1100.012
31,27,289,110.7,111.1,-0.3,63.9,2.6,20.3,17.8,73.4,45.1,0.1,53.4,57.1,94.85,49.4,10101.11
32,25,276,103.3,92.6,10.7,70.6,2.75,21.2,18.3,81.2,49.7,0.1,48.8,52.8,93.21,58.3,10010.021
33,18,273,111.1,91.7,19.4,67.1,2.23,21.3,25.4,80.5,54.2,0.1,55.7,56.9,97.27,62.1,10111.001
34,37,272,115.2,100.6,14.6,56.7,2.4,17.8,22.4,78.2,50.1,0.1,53.0,57.4,93.2,58.5,11101.01
35,36,262,106.0,108.6,-2.7,63.6,2.09,19.4,26.3,71.1,48.5,0.1,50.1,53.5,93.99,51.0,10010.021
36,25,261,103.3,97.5,5.9,65.3,2.16,19.2,23.6,75.5,48.8,0.1,48.0,52.3,92.15,53.9,21100.01
37,23,259,108.1,107.6,0.5,70.1,2.23,20.6,16.4,77.0,46.4,0.1,53.7,57.0,96.78,48.7,12000.02
38,22,256,109.8,100.4,9.4,59.1,1.52,18.3,27.9,80.9,56.2,0.2,55.0,58.0,92.17,56.7,11200.001
39,31,254,111.7,95.1,16.6,70.8,1.82,22.1,16.3,76.4,50.4,0.2,60.9,62.4,105.66,59.5,1001.021
40,28,251,99.5,107.1,-7.6,62.3,1.41,18.4,22.1,77.1,50.2,0.2,52.0,54.0,96.68,45.6,11001.101
41,45,235,103.2,96.9,6.3,62.4,1.64,18.7,21.3,71.1,47.5,0.2,51.9,54.7,97.81,54.1,20010.02
42,30,230,108.1,100.6,7.6,67.9,1.92,20.7,21.8,76.6,49.1,0.1,54.7,57.4,102.13,55.6,110.021
43,17,229,101.3,97.5,3.8,64.2,1.71,18.0,26.6,80.2,53.1,0.1,47.8,51.4,96.64,50.4,10110.011
44,15,229,104.1,107.0,-2.8,57.1,1.51,16.6,28.4,80.1,51.9,0.1,49.8,53.1,95.99,46.2,11100.011
45,18,221,95.8,116.6,-20.7,53.2,1.51,15.8,18.9,71.5,44.4,0.1,47.6,50.3,97.72,38.2,101.201
46,22,220,93.3,90.6,2.7,51.9,1.53,15.0,20.0,72.7,49.2,0.1,43.9,48.2,96.34,54.0,21200.0
47,16,220,98.9,95.8,3.1,53.6,1.3,15.7,28.6,84.4,56.4,0.2,46.9,50.9,101.29,50.9,11002.1
48,22,219,102.3,108.5,-6.2,65.4,1.87,19.3,24.4,77.3,50.7,0.1,50.5,53.0,102.64,48.5,111.101
49,54,218,104.7,91.0,13.7,45.5,1.42,12.9,22.0,79.7,52.0,0.1,46.7,53.3,96.57,59.0,201.101
50,26,203,99.4,102.9,-3.5,63.1,1.87,17.6,18.6,69.1,44.3,0.1,47.5,51.7,100.89,50.6,11201.0
51,41,201,105.0,111.9,-6.9,60.7,1.4,16.8,23.2,67.0,45.5,0.2,52.7,55.6,100.25,43.3,100.211
52,14,200,95.7,98.2,-2.5,55.8,0.98,14.8,33.3,81.7,56.9,0.2,46.6,50.4,98.78,47.1,100.112
53,26,199,101.6,105.0,-3.3,61.1,1.69,17.7,19.3,71.3,45.5,0.1,49.8,53.6,94.75,47.7,11101.01
54,33,198,94.6,118.0,-23.3,46.1,1.05,12.7,19.5,72.7,46.4,0.2,45.0,50.4,100.4,35.1,10100.201
55,46,198,120.4,96.2,24.2,62.4,2.58,18.7,30.2,81.3,55.8,0.1,53.8,58.0,93.84,62.3,11001.101
56,22,197,107.7,100.5,7.2,55.3,1.2,15.6,36.3,79.9,58.6,0.2,51.5,55.0,94.71,54.1,0.212
57,18,197,107.2,101.6,5.6,67.4,1.9,20.4,23.4,81.1,54.2,0.1,53.7,56.6,101.14,55.2,111.011
58,16,197,118.5,107.8,10.7,57.4,2.0,20.6,22.5,75.0,51.0,0.1,60.1,62.9,94.39,56.5,11000.21
59,34,194,106.3,104.3,2.0,58.9,1.82,18.3,16.9,84.2,51.0,0.1,53.6,56.5,96.52,50.6,10100.111
60,14,193,111.6,102.5,9.1,66.9,1.82,20.6,28.3,79.3,55.7,0.2,55.4,58.4,96.93,55.6,1100.012
61,22,190,111.3,105.5,5.7,59.8,1.91,18.6,29.9,75.9,54.5,0.1,53.7,56.1,98.43,57.4,1100.021
62,23,187,90.4,108.6,-18.3,57.8,1.21,15.6,16.7,63.0,38.4,0.2,45.5,49.4,96.56,36.5,1000.211
63,25,185,104.0,97.4,6.6,59.1,2.41,19.1,19.4,82.3,49.7,0.1,50.4,52.9,96.13,52.8,21001.01
64,23,178,103.8,104.4,-0.7,60.4,1.48,18.8,21.3,76.2,50.4,0.2,54.8,56.7,103.17,51.7,11.021
65,39,178,106.0,86.7,19.3,69.7,2.41,20.8,15.7,80.3,50.0,0.1,52.4,55.7,96.98,62.4,10111.01
66,13,177,105.0,100.2,4.8,46.6,1.26,14.3,23.6,79.8,51.5,0.1,51.1,54.7,100.11,52.0,1001.111
67,22,175,113.0,111.3,1.6,62.4,1.96,18.7,14.8,78.5,47.6,0.1,56.3,60.4,98.86,48.8,21001.1
68,37,172,142.0,95.0,47.0,65.9,2.22,22.5,27.0,71.6,54.1,0.1,72.3,75.0,107.67,73.2,1101.02
69,45,169,106.6,97.2,9.4,37.3,1.51,12.0,26.2,77.5,50.9,0.1,50.0,51.8,97.02,52.1,1102.001
70,18,167,96.2,108.0,-11.8,47.9,1.1,13.9,28.0,71.5,48.7,0.2,46.5,50.0,90.72,43.4,21000.02
71,19,165,90.7,104.0,-13.3,64.2,1.51,17.0,20.6,75.6,48.1,0.1,43.3,47.8,98.49,43.4,111.101
72,35,163,109.5,109.4,0.1,61.4,1.56,18.5,25.8,76.6,53.1,0.2,55.3,57.8,92.91,49.0,11001.101
73,14,162,111.2,100.2,10.9,57.6,2.42,18.3,20.8,81.4,49.7,0.1,52.6,55.6,96.84,52.8,12000.02
74,27,160,104.6,92.0,12.5,55.1,1.4,16.9,20.5,83.3,52.6,0.2,54.1,56.4,95.0,56.8,1102.001
75,29,158,104.3,86.0,18.3,63.3,1.9,17.9,18.7,72.0,46.1,0.1,50.7,54.0,98.59,61.4,111.011
76,46,156,124.0,92.2,31.8,71.9,1.89,22.6,22.0,69.0,50.0,0.2,66.1,67.8,97.86,69.4,1101.011
77,25,156,101.0,104.7,-3.7,56.8,1.42,17.7,23.4,73.7,48.1,0.2,52.2,54.1,98.29,47.7,10100.201
78,18,155,99.8,106.0,-6.2,55.0,1.61,16.5,15.1,72.1,44.4,0.1,49.2,53.3,97.07,45.7,11101.01
79,16,155,115.0,95.0,19.9,63.1,2.24,21.2,16.4,75.8,49.8,0.1,60.2,61.6,102.81,64.1,10110.101
80,31,154,103.5,90.7,12.8,43.8,1.14,13.7,26.2,77.1,52.7,0.2,49.8,53.9,100.22,59.2,1000.121
81,15,154,104.6,101.9,2.6,62.5,1.43,18.9,27.4,81.0,54.9,0.2,53.8,55.7,96.27,50.8,11001.101
82,15,150,99.5,109.8,-10.2,50.9,1.06,15.0,25.0,83.2,55.2,0.2,50.8,54.3,91.11,43.9,11200.001
83,11,146,111.5,110.7,0.7,55.8,1.57,18.3,25.7,69.2,50.2,0.2,55.6,59.2,97.56,51.9,21101.0
84,19,144,96.7,96.9,-0.1,55.1,1.06,14.2,18.4,80.9,51.0,0.2,45.7,53.3,101.73,49.9,10102.1
85,13,143,106.2,104.9,1.3,63.8,1.46,19.9,17.9,79.9,52.1,0.2,57.0,60.0,103.73,53.0,10010.021
86,16,142,109.8,106.7,3.2,69.0,1.98,21.4,19.8,75.0,49.1,0.1,57.3,59.6,101.47,54.2,1001.021
87,44,142,115.8,97.5,18.3,38.0,1.09,11.7,29.4,71.8,54.1,0.1,54.2,59.0,92.93,61.9,1101.101
88,14,141,105.0,112.6,-7.6,56.8,1.86,16.9,29.5,79.2,51.7,0.1,47.6,51.1,98.35,44.1,12.101
89,10,139,95.0,104.4,-9.3,63.0,1.15,16.8,28.6,75.0,50.7,0.2,47.3,50.8,103.06,44.6,110.012
90,17,135,107.4,95.8,11.6,59.2,1.58,18.3,23.3,73.7,50.2,0.2,52.9,57.3,102.19,59.5,10201.01
91,12,133,106.1,103.4,2.7,64.7,1.83,20.2,27.8,73.0,49.4,0.2,52.0,54.5,98.62,49.6,10201.01
92,21,133,118.9,96.4,22.5,62.2,2.74,20.0,23.9,75.9,49.3,0.1,56.6,59.5,96.24,62.6,102.2
93,30,133,113.6,100.7,12.9,63.7,1.53,18.4,37.2,74.5,57.9,0.2,53.0,57.9,99.89,60.1,1011.011
94,26,132,100.8,99.5,1.2,54.4,1.56,15.8,27.9,75.9,50.2,0.1,46.9,50.4,96.51,49.0,100.121
95,37,131,109.8,102.3,7.5,52.5,2.04,14.5,24.6,73.7,47.5,0.1,45.9,53.8,100.82,55.6,11001.11
96,15,131,104.1,109.6,-5.5,64.7,1.78,18.6,26.6,76.1,50.2,0.1,48.9,52.9,93.66,47.6,20000.21
97,15,130,102.6,110.3,-7.8,53.1,1.63,15.8,21.7,79.2,49.3,0.1,48.9,52.7,93.17,45.7,11100.011
98,36,130,118.2,98.2,20.0,60.5,2.09,17.8,31.0,71.2,50.2,0.1,53.1,57.7,99.69,63.6,110.111
99,30,129,112.2,103.4,8.8,54.1,2.04,15.4,25.0,79.3,51.3,0.1,48.9,55.0,99.1,52.0,13000.01
100,32,129,101.8,94.8,7.0,60.7,1.42,17.5,18.6,78.6,51.2,0.2,51.5,55.8,107.5,55.7,11101.01
101,30,129,110.0,96.4,13.6,57.8,1.91,17.5,23.7,78.6,52.6,0.1,52.3,56.0,98.84,60.0,11100.011
102,38,129,129.1,114.9,14.2,53.4,1.8,16.8,40.2,77.9,59.1,0.1,55.1,62.2,96.79,58.1,11000.111
103,13,128,100.5,97.0,3.6,57.8,1.19,17.4,33.6,73.0,53.8,0.2,51.5,53.1,98.09,52.1,11000.111
104,19,127,108.6,97.4,11.2,56.8,1.75,17.4,27.0,84.8,57.1,0.1,51.3,55.3,100.28,57.8,11100.101
105,9,126,93.2,111.5,-18.3,65.6,1.15,17.4,24.8,77.8,52.7,0.2,47.3,51.8,101.72,41.8,100.112
106,34,126,122.5,92.3,30.2,69.7,2.02,21.7,24.5,77.6,54.7,0.1,62.1,65.0,105.83,68.7,1101.011
107,12,122,100.2,104.3,-4.1,71.1,1.88,19.1,21.2,70.9,46.5,0.1,46.8,52.2,97.58,50.3,10110.011
108,19,122,96.4,92.3,4.0,67.0,1.43,18.9,20.4,84.9,51.6,0.2,50.2,52.7,99.55,52.5,111.011
109,31,121,107.8,92.2,15.6,64.0,2.0,19.1,27.6,81.5,54.9,0.1,49.3,54.6,95.68,60.6,11000.111
110,9,121,101.4,108.5,-7.1,63.7,1.91,18.8,30.7,80.4,55.3,0.1,48.7,50.5,97.09,48.3,11100.011
111,15,115,105.3,105.1,0.2,68.6,2.0,21.3,21.0,67.5,45.5,0.1,55.0,55.7,100.07,49.7,110.021
112,41,114,113.2,97.9,15.3,66.7,2.13,21.1,18.5,74.3,48.2,0.1,56.0,60.1,95.15,59.4,10001.21
113,27,114,96.2,102.6,-6.4,60.3,1.24,15.4,25.0,80.4,53.0,0.2,45.3,51.0,97.91,47.3,100.121
114,13,113,112.1,100.3,11.8,61.4,1.63,18.9,27.5,83.3,56.2,0.2,55.0,58.5,100.55,57.5,10010.021
115,19,113,108.2,97.9,10.3,53.5,1.59,16.3,22.4,79.4,52.2,0.1,51.9,55.9,91.32,55.9,10201.1
116,9,112,115.4,112.4,3.0,60.6,2.22,19.2,24.0,65.5,47.0,0.1,54.5,58.7,99.09,53.7,21000.11
117,18,110,107.1,101.0,6.1,64.8,1.84,17.6,28.6,83.5,53.2,0.1,48.1,53.3,102.99,53.2,1.211
118,7,109,93.8,97.4,-3.6,46.2,1.24,12.4,21.0,75.9,47.6,0.1,42.8,47.7,98.55,46.2,
119,17,109,113.2,102.5,10.7,53.6,2.05,17.7,19.5,79.8,50.0,0.1,56.3,58.1,86.25,55.3,201.101
120,26,108,111.1,106.1,4.9,68.7,2.19,20.4,22.3,71.6,46.8,0.1,56.0,57.4,105.5,56.2,1110.011
121,12,106,92.7,109.7,-16.9,52.9,1.02,15.6,15.4,76.7,47.9,0.2,49.2,53.4,103.07,42.5,20110.01
122,44,105,99.0,106.0,-6.9,59.7,1.54,15.4,20.6,72.2,45.7,0.1,45.7,50.8,101.16,42.6,20110.01
123,14,105,108.5,99.4,9.1,53.4,1.42,17.2,29.8,68.6,51.3,0.2,54.3,56.5,93.43,59.2,11100.101
124,16,105,103.6,99.1,4.5,67.5,1.75,19.1,13.7,75.0,42.5,0.1,52.2,56.6,103.35,51.8,10110.11
125,20,105,119.3,94.9,24.4,61.3,2.38,19.1,30.0,83.3,58.3,0.1,54.2,58.8,100.89,66.7,10200.2
126,28,103,107.0,100.4,6.5,51.2,1.07,16.2,19.5,81.4,54.0,0.2,55.7,60.9,98.72,52.3,110.021
127,18,103,104.5,107.6,-3.1,50.0,1.29,15.4,20.2,79.2,52.4,0.2,52.6,56.1,94.01,48.4,11200.001
128,22,103,109.6,109.6,0.0,56.6,1.68,17.4,26.4,72.9,52.1,0.1,51.7,56.2,91.76,49.9,11001.11
129,22,103,111.9,106.1,5.8,55.3,1.62,16.2,26.4,72.2,50.0,0.1,51.2,56.5,94.78,50.6,11100.02
130,8,102,122.1,110.2,12.0,56.3,3.77,18.6,22.0,73.8,46.9,0.1,56.0,58.9,91.78,54.3,11101.01
131,33,102,95.4,108.2,-12.7,47.8,1.1,12.7,20.7,74.7,47.7,0.1,45.6,50.6,98.1,41.0,1201.001
132,21,102,107.4,111.9,-4.5,50.0,1.4,15.5,23.7,87.5,50.9,0.1,53.4,55.6,96.7,44.5,11101.001
133,19,101,105.3,106.0,-0.7,59.5,1.79,17.4,33.3,67.7,50.8,0.1,48.2,51.9,97.18,52.8,101.201
134,17,100,104.9,97.4,7.5,63.0,2.13,18.2,22.0,78.4,49.7,0.1,49.4,53.0,97.62,56.7,10110.011
135,18,99,90.2,104.1,-13.9,56.1,1.32,14.5,19.6,67.3,43.8,0.1,42.8,46.8,97.05,42.0,10100.201
136,25,98,98.8,115.9,-17.2,66.7,2.29,17.9,22.0,72.6,43.4,0.1,44.1,49.1,92.32,41.6,21100.01
137,13,98,101.3,102.8,-1.4,58.8,1.74,18.2,20.9,77.2,47.9,0.1,50.6,53.1,94.27,48.2,102.101
138,10,97,113.3,99.2,14.2,65.9,2.16,20.2,23.1,77.6,51.5,0.1,53.9,58.8,96.79,59.6,11100.011
139,23,97,115.3,94.5,20.8,61.4,2.16,18.6,25.8,77.2,51.4,0.1,52.4,57.9,103.72,63.1,11101.01
140,30,97,125.6,111.8,13.8,47.4,1.71,14.4,28.4,82.9,56.0,0.1,56.7,62.8,93.12,59.7,1101.101
141,6,96,103.5,114.2,-10.7,60.6,1.19,17.0,25.3,75.0,52.1,0.2,52.3,56.8,95.42,45.4,201.011
142,22,96,104.6,98.4,6.2,57.3,1.47,17.5,31.9,75.8,53.5,0.2,51.9,52.9,93.06,50.9,10000.121
143,9,95,117.8,106.5,11.3,61.7,2.78,20.0,18.9,72.8,47.1,0.1,56.9,60.2,94.51,57.4,111.011
144,17,95,120.0,107.7,12.3,42.5,1.54,15.3,30.1,81.0,56.6,0.1,57.7,60.7,94.02,55.2,100.211
145,31,94,98.0,111.1,-13.1,43.2,0.91,12.7,29.1,73.9,51.7,0.2,49.4,51.7,98.84,39.8,11200.001
146,6,93,102.0,101.8,0.2,68.8,2.65,19.1,30.2,78.9,53.8,0.1,44.7,48.8,99.72,51.7,21100.01
147,19,93,114.9,92.6,22.3,67.5,2.08,20.6,28.6,75.5,53.8,0.1,54.9,58.1,92.8,63.0,12001.01
148,15,92,115.6,95.6,20.0,51.2,1.68,17.3,31.5,86.1,58.6,0.1,55.0,58.4,95.5,60.3,0.212
149,24,92,106.6,127.8,-21.2,47.7,1.15,13.0,24.7,65.7,43.2,0.1,50.3,55.1,98.23,36.3,10.211
150,11,90,89.3,117.7,-28.4,59.7,1.74,15.6,28.2,76.5,49.5,0.1,39.9,43.2,99.5,35.2,11100.011
151,21,90,116.5,115.6,1.0,58.7,1.57,17.1,17.8,74.7,48.1,0.1,56.6,63.0,104.24,53.3,11.111
152,21,89,106.0,106.3,-0.3,60.9,2.0,17.2,18.4,77.9,44.5,0.1,49.4,54.5,99.22,50.2,11102.0
153,19,89,111.9,105.7,6.1,58.3,1.5,17.2,22.5,75.3,50.0,0.2,55.6,59.8,100.9,55.0,11101.1
154,26,89,119.1,86.1,33.0,57.5,1.91,17.1,25.3,75.3,52.8,0.1,54.2,60.2,97.65,71.6,13000.01
155,27,89,108.6,116.0,-7.4,44.3,1.15,12.9,31.6,67.5,50.0,0.1,51.0,54.9,97.75,47.2,1100.021
156,20,89,87.3,99.3,-12.0,68.4,1.34,16.0,18.0,73.7,43.6,0.2,40.4,46.9,100.93,42.0,100.121
157,12,89,108.8,116.6,-7.9,59.7,1.29,17.9,24.6,81.7,51.2,0.2,54.7,59.4,90.6,44.5,201.101
158,23,88,95.1,109.0,-13.9,50.0,1.33,14.3,33.3,81.8,55.7,0.1,44.0,46.8,100.25,42.1,11101.001
159,9,88,92.9,114.2,-21.3,41.5,0.9,12.1,19.5,80.0,47.4,0.2,47.7,50.4,98.57,39.6,11000.111
160,27,88,97.3,111.4,-14.1,58.7,1.23,15.3,30.1,78.4,52.9,0.2,45.5,50.0,96.83,42.7,11000.021
161,15,87,104.7,95.8,8.9,64.5,2.67,16.6,24.8,79.2,48.3,0.1,43.2,49.5,94.99,54.7,10200.011
162,25,87,99.9,104.3,-4.4,65.2,1.72,18.0,24.7,75.3,49.3,0.1,45.3,51.7,98.4,48.1,1200.011
163,29,87,130.5,107.9,22.6,66.3,2.21,20.8,28.6,73.7,54.5,0.1,61.1,66.7,99.77,63.1,2001.02
164,22,87,115.0,114.7,0.3,52.2,1.35,14.3,29.9,74.7,52.0,0.1,50.0,58.4,104.51,50.4,1200.011
165,15,87,99.8,104.6,-4.7,60.0,1.44,15.8,14.6,74.7,44.1,0.1,49.3,53.8,103.41,44.5,10010.21
166,25,86,114.4,98.4,16.0,60.0,1.77,16.6,32.9,76.5,55.0,0.1,50.0,55.9,92.2,59.4,100.202
167,10,86,103.4,104.1,-0.6,56.1,1.61,16.6,17.8,71.8,46.8,0.1,52.1,54.9,95.13,51.3,20001.11
168,10,86,78.7,105.6,-26.9,47.5,0.67,12.8,21.1,73.8,48.8,0.2,44.3,46.3,94.96,33.8,20110.1
169,31,85,124.5,116.8,7.7,46.8,4.63,15.5,30.5,75.3,51.6,0.0,52.3,56.8,98.2,52.6,10101.2
170,12,85,108.7,99.6,9.1,71.4,2.39,22.5,25.0,88.3,57.7,0.1,53.0,56.0,97.57,56.5,21000.11
171,32,85,131.6,101.4,30.2,53.0,3.67,19.1,12.7,77.3,50.0,0.1,62.6,67.7,95.69,68.2,1201.001
172,21,84,122.9,105.6,17.4,73.6,3.12,21.3,12.9,72.9,45.8,0.1,62.1,64.2,103.56,64.6,10110.101
173,20,84,109.9,117.4,-7.5,52.9,1.48,17.0,31.3,70.3,51.8,0.2,52.8,56.4,91.63,46.4,1100.111
174,14,83,97.0,110.3,-13.3,60.7,1.54,17.6,24.6,70.8,47.7,0.2,47.4,51.1,89.72,45.6,21100.01
175,19,83,99.5,111.1,-11.5,68.7,1.84,19.3,28.8,72.7,50.3,0.1,49.0,50.4,94.27,48.2,1201.001
176,27,83,116.8,102.1,14.8,64.3,1.73,19.5,11.5,84.6,49.2,0.1,61.9,65.4,99.01,60.5,210.101
177,12,82,106.2,109.8,-3.6,63.5,1.81,20.1,26.5,59.7,44.1,0.2,53.4,55.8,100.8,48.3,111.101
178,15,82,118.5,104.3,14.1,53.2,2.16,17.9,32.4,76.6,55.4,0.1,53.6,57.8,96.75,57.8,1000.211
179,13,82,101.4,124.7,-23.2,55.0,0.89,14.8,35.3,59.0,47.9,0.2,50.0,55.0,96.35,38.3,10000.22
180,7,81,120.4,103.8,16.5,59.7,2.09,20.0,35.3,80.0,57.1,0.1,57.8,59.4,93.27,58.6,
181,20,81,120.9,105.7,15.2,54.2,3.25,19.1,16.2,76.7,47.5,0.1,58.3,60.8,92.96,52.9,12100.01
182,21,81,108.8,92.0,16.8,63.6,1.62,19.1,24.3,81.3,53.8,0.2,53.7,57.6,93.58,60.2,11001.011
183,16,80,92.8,108.5,-15.6,58.7,0.79,13.4,17.4,75.4,45.5,0.2,46.1,53.7,98.86,38.1,10.211
184,10,80,104.1,103.8,0.2,54.5,1.71,16.0,28.9,77.6,50.7,0.1,48.0,51.1,95.48,49.1,110.111
185,14,80,98.0,106.6,-8.6,51.7,1.72,14.3,27.6,76.9,48.7,0.1,43.5,47.3,95.2,41.8,11100.101
186,26,80,115.7,98.9,16.8,38.5,1.32,11.5,31.7,76.7,57.7,0.1,52.6,57.5,106.54,63.5,1201.001
187,11,80,92.5,99.6,-7.2,61.0,1.2,16.9,18.9,63.5,42.8,0.2,48.9,51.2,97.03,46.9,101.3
188,11,79,108.2,105.3,2.9,52.9,2.0,16.8,28.2,76.0,52.7,0.1,48.9,53.4,96.87,53.3,21100.1
189,22,78,117.7,119.5,-1.8,50.0,1.65,16.8,25.4,68.3,46.3,0.1,57.8,60.5,91.91,45.9,10.211
190,14,78,103.8,98.1,5.7,59.7,1.82,17.8,27.3,76.1,50.0,0.1,49.7,52.2,98.94,53.9,11000.111
191,16,78,101.7,86.5,15.2,52.7,1.21,14.6,30.6,77.1,53.5,0.2,48.1,51.5,90.54,59.0,1201.001
192,9,78,98.0,122.1,-24.1,61.4,1.75,17.5,11.1,77.8,39.7,0.1,50.4,53.0,98.14,33.3,13000.01
193,17,78,104.3,92.1,12.2,41.7,2.08,12.8,16.9,79.2,48.1,0.1,47.8,51.8,98.22,56.0,12001.01
194,19,77,98.8,97.4,1.4,65.1,1.95,19.3,17.1,76.9,44.7,0.1,49.3,52.0,98.61,49.7,11200.01
195,15,76,93.9,113.5,-19.7,51.9,0.85,15.1,20.4,81.0,53.0,0.2,51.7,55.3,91.98,40.3,21100.1
196,20,76,132.7,84.7,48.1,59.7,1.59,18.4,43.1,80.0,62.9,0.2,61.4,66.0,106.61,76.5,2101.001
197,26,76,111.6,105.0,6.5,55.7,1.77,18.0,26.2,72.3,52.0,0.1,52.9,57.6,101.0,55.4,11000.021
198,22,75,123.8,98.8,25.0,59.4,1.58,18.0,25.0,75.4,51.4,0.2,62.6,66.5,100.94,63.6,100.211
199,14,75,103.4,109.1,-5.7,62.5,1.4,17.1,31.9,85.9,57.9,0.2,48.1,52.8,95.35,47.3,1102.001
200,11,75,118.1,94.7,23.4,63.5,3.13,20.7,31.4,79.7,56.3,0.1,52.7,56.5,101.08,62.4,111.101
201,26,74,109.8,101.4,8.4,51.6,1.52,15.3,33.3,70.4,52.1,0.1,49.3,54.2,97.56,54.3,100.202
202,10,74,91.3,104.3,-13.0,69.8,1.48,19.3,10.3,79.4,43.5,0.2,49.6,52.0,94.82,41.8,10201.1
203,12,74,103.0,113.1,-10.2,51.9,1.12,15.3,20.0,69.5,46.8,0.2,51.8,57.4,93.75,46.0,10002.11
204,21,74,101.1,86.9,14.2,62.3,1.5,16.9,13.8,71.8,47.1,0.1,50.0,55.6,101.53,61.7,12001.01
