,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
0,48,915,104.2,100.9,3.2,48.1,1.45,14.5,30.5,78.2,52.4,0.1,48.9,51.3,96.78,49.6,11101.001
1,70,892,104.4,100.5,4.0,70.8,1.94,20.7,18.1,74.3,47.1,0.1,52.6,56.0,100.32,53.3,20110.01
2,59,816,113.3,95.6,17.8,61.9,1.82,19.6,31.6,77.5,56.9,0.2,54.6,58.0,97.9,62.6,1000.022
3,50,735,103.7,105.8,-2.1,50.1,1.41,15.6,26.3,77.6,52.8,0.1,50.2,53.3,94.25,48.9,10110.011
4,60,723,105.3,102.9,2.4,67.9,2.23,20.0,24.0,71.9,47.7,0.1,50.5,53.3,98.78,51.0,11100.011
5,47,698,104.7,96.1,8.6,61.1,2.03,18.7,24.6,81.3,53.3,0.1,49.4,53.0,93.65,56.0,11001.011
6,46,648,113.5,109.6,3.9,66.8,1.78,20.4,23.5,73.7,49.9,0.2,55.8,60.8,99.45,53.9,10010.111
7,52,611,106.0,107.7,-1.7,55.3,1.54,16.6,26.2,78.9,51.4,0.1,51.6,54.3,96.73,45.8,21001.1
8,51,572,88.8,112.9,-24.0,49.3,1.09,13.0,19.0,74.0,44.6,0.2,42.7,47.1,100.11,35.1,10100.201
9,49,552,109.4,96.2,13.2,70.9,1.96,21.7,20.2,80.4,51.8,0.2,56.6,58.5,101.99,56.6,1001.021
10,41,539,105.6,112.4,-6.7,57.0,1.69,17.8,27.1,71.3,49.7,0.1,50.8,54.3,95.36,48.2,11101.01
11,37,465,115.3,102.8,12.4,56.5,2.09,18.0,26.4,79.3,52.4,0.1,54.8,57.6,94.53,55.3,11001.101
12,25,462,107.4,104.3,3.2,55.4,1.75,17.2,24.4,81.0,52.5,0.1,52.8,55.0,95.33,50.7,1102.001
13,25,452,100.4,95.2,5.2,57.7,1.61,16.8,16.7,79.8,48.6,0.1,48.9,53.4,100.39,53.4,20100.2
14,40,419,100.8,101.1,-0.3,66.9,1.79,18.5,19.6,76.8,48.6,0.1,49.0,52.9,93.56,52.3,10101.02
15,26,408,108.2,106.4,1.8,59.9,1.85,18.9,17.3,78.1,48.7,0.1,53.9,57.7,94.02,51.7,11101.1
16,23,406,114.5,104.5,9.9,63.7,2.31,19.6,19.1,78.7,49.1,0.1,55.2,59.0,97.43,55.0,12100.01
17,30,375,109.4,98.3,11.2,67.3,2.19,20.0,20.7,79.3,51.3,0.1,54.1,56.5,95.71,55.8,211.001
18,49,360,113.2,99.8,13.4,60.1,1.84,18.4,28.2,74.9,53.6,0.1,53.5,57.7,99.95,60.0,1000.112
19,28,339,100.3,100.0,0.3,57.3,1.52,17.4,22.9,77.0,51.3,0.2,50.4,52.9,92.35,50.9,11000.111
20,26,334,106.9,100.3,6.5,64.2,2.03,20.1,21.7,76.9,48.7,0.1,53.2,55.5,93.74,53.0,112.001
21,40,333,101.6,94.8,6.8,54.9,1.17,15.8,28.6,79.3,55.2,0.2,50.1,53.9,96.98,55.1,10100.201
22,35,333,100.4,107.2,-6.7,51.7,1.17,15.1,14.3,69.5,40.8,0.2,51.8,55.8,103.32,44.8,10100.21
23,25,327,102.1,107.8,-5.7,50.6,1.3,14.8,24.8,75.7,50.0,0.1,48.6,53.4,95.87,47.1,11100.101
24,38,311,101.9,105.0,-3.1,72.0,2.26,21.5,20.1,79.7,49.0,0.1,51.4,53.1,98.0,49.7,110.021
25,29,305,105.7,98.4,7.2,51.5,1.23,15.9,27.0,78.0,53.9,0.2,52.6,56.4,92.26,54.9,10200.101
26,42,297,111.1,94.7,16.4,57.0,1.55,16.7,26.9,70.7,50.1,0.1,53.1,57.3,91.24,62.9,1101.101
