,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,unique_id
0,60,1217,117.8,100.0,17.7,69.2,2.51,21.7,27.1,76.0,52.8,0.1,57.1,59.5,97.03,60.8,10111.001
1,57,915,109.8,101.6,8.1,72.5,2.01,21.8,21.2,72.6,47.8,0.2,55.4,58.7,96.89,55.7,20010.02
2,58,813,114.4,94.8,19.6,70.1,2.25,22.3,20.3,77.2,50.3,0.1,58.3,60.3,100.66,60.2,1001.021
3,32,629,107.8,97.1,10.7,55.8,1.77,16.8,24.9,76.9,52.3,0.1,50.3,54.7,96.13,57.2,11100.011
4,40,596,106.1,98.7,7.4,64.7,1.86,20.0,21.6,81.7,51.8,0.1,53.5,56.1,96.79,54.1,10210.001
5,33,481,116.1,96.8,19.3,62.8,1.82,20.0,27.7,75.2,53.1,0.2,57.8,60.4,97.07,60.1,11001.101
6,43,460,110.1,102.7,7.4,55.2,1.5,17.3,23.9,72.4,49.0,0.2,53.5,58.5,94.98,54.7,21100.01
7,31,455,103.0,106.7,-3.8,58.3,1.57,18.3,22.1,74.4,47.0,0.2,52.6,54.6,96.72,46.8,11.111
8,30,427,108.1,91.8,16.4,51.8,1.5,16.4,24.0,79.5,53.4,0.1,52.8,56.6,97.75,59.4,11000.021
9,29,426,100.4,103.4,-3.0,59.7,1.65,17.5,19.1,76.6,47.4,0.1,48.1,53.1,92.72,50.4,21100.01
10,29,416,107.1,108.6,-1.5,56.3,1.45,16.9,31.7,77.9,54.4,0.2,51.2,54.6,96.92,48.6,110.012
11,35,392,103.9,94.5,9.4,49.7,1.35,16.1,23.9,75.5,51.0,0.2,52.4,54.9,98.67,55.4,2001.011
12,32,390,107.2,104.7,2.6,54.3,1.57,17.2,22.2,78.3,52.1,0.1,53.5,56.8,96.03,51.0,1200.002
13,30,374,104.6,100.3,4.3,66.3,2.22,19.0,21.5,80.1,51.2,0.1,49.0,53.2,94.28,54.2,10100.111
14,25,360,108.1,96.7,11.5,66.3,1.37,18.7,28.9,74.8,52.3,0.2,54.7,58.0,98.41,54.1,10000.211
15,21,353,107.2,103.5,3.7,64.6,1.92,19.2,25.0,77.0,52.5,0.1,51.1,55.2,95.78,54.9,11100.011
16,25,346,109.0,104.5,4.5,64.2,1.79,19.6,26.8,75.9,51.2,0.2,54.3,56.4,92.38,51.8,20000.21
17,24,344,107.3,97.4,9.9,66.7,1.7,19.7,30.0,79.2,54.3,0.2,51.9,55.6,97.2,56.1,21101.0
18,20,338,102.4,117.6,-15.2,63.2,1.9,18.5,24.5,74.5,47.9,0.1,48.2,52.1,98.74,41.5,11100.011
19,24,328,114.4,114.8,-0.3,54.0,1.88,18.4,26.6,75.5,51.5,0.1,56.0,58.4,91.04,49.8,21200.0
20,33,321,95.1,102.3,-7.2,59.2,2.08,18.2,18.2,76.8,47.1,0.1,47.1,49.0,97.95,46.4,101.201
21,28,317,98.0,96.2,1.8,67.3,1.64,19.5,21.4,81.2,50.5,0.2,49.7,52.6,97.46,51.2,210.002
22,21,314,107.5,111.0,-3.5,52.9,1.58,16.5,24.2,75.5,51.3,0.1,51.6,55.3,95.63,48.4,11100.011
23,19,269,96.9,106.6,-9.7,67.3,1.75,18.8,22.0,75.3,47.4,0.1,47.7,50.9,96.77,45.1,100.112
24,16,267,113.1,105.8,7.3,60.2,2.01,18.8,17.4,81.3,49.0,0.1,56.2,59.7,100.24,52.9,10.121
