unique_id,OFFRTG,DEFRTG,NETRTG,EFG%,TS%,PACE,PIE
21100.01,105.6230769,103.4076923,2.215384615,50.01538462,54.14615385,94.03692308,53.01538462
21001.01,102.775,100.675,2.15,50.725,54.625,96.45,52.925
111.011,108.0636364,105.9818182,2.063636364,51.93636364,55.48181818,97.9,51.23636364
3001.01,111.1,109.1,2,51.4,58.9,107.06,50.7
112.001,102.12,100.12,1.98,49.64,52.86,97.59,51.88
10200.11,102,100.1,1.9,52.6,55.4,99.64,47.2
102.101,105.5666667,103.8333333,1.8,54.06666667,56.36666667,93.51,48.66666667
1000.121,106.02,104.28,1.76,52.68,55.64,96.836,51.46
1000.211,106.275,104.8,1.45,50.725,55.1,99.27,48.8
1100.111,104.02,102.56,1.44,50.22,54.46,94.164,49.92
1200.002,108.9,107.5,1.4,54.75,57.75,92.805,50.7
11200.01,98.8,97.4,1.4,49.3,52,98.61,49.7
1102.001,105.06,103.86,1.2,51.34,53.86,95.536,49.66
11001.02,103.56,102.34,1.2,52.9,56.76,97.772,51.42
110.021,106.2666667,105.1,1.166666667,53.1,56.33333333,99.14166667,51.06666667
101.111,99.84,98.86,1,47.52,51.3,96.02,51.64
111.101,104.6,103.775,0.8375,50.0875,53.3625,101.14,49.95
1100.021,109.2916667,108.4916667,0.808333333,52.20833333,55.5,97.72083333,50.28333333
10010.111,110.5,109.65,0.8,53.75,58.25,97.845,52
10101.2,108.5666667,107.8777778,0.677777778,50.16666667,53.64444444,96.16555556,49.62222222
11100.101,102,101.375,0.6125,48.2625,51.4625,95.575,49.325
1101.11,134,133.4,0.6,61.3,64.7,96.17,52.7
10102.1,95.7,95.15,0.6,45.85,51.05,97.43,51.55
11000.021,103.3166667,103.1666667,0.15,49.6,54.18333333,98.22,50.43333333
21000.2,99.4,99.4,0,48.9,50.5,98.93,50
111.002,104.55,104.6,-0.05,50,52.55,96.35,50.7
11000.21,121.2,121.2,-0.05,59.9,63.85,97.025,51.55
21001.1,109.5,109.5,-0.05,53.95,57.35,97.795,47.3
110.012,101.4,101.5666667,-0.15,48.98333333,52.43333333,97.815,50.18333333
1200.011,109,109.1833333,-0.166666667,50.15,55.76666667,99.35,48.83333333
1002.101,103.2,103.3,-0.2,51.5,53,94.23,47.1
2002.01,105.6,105.8,-0.2,53.1,57,99.75,48
10101.02,100.8,101.1,-0.3,49,52.9,93.56,52.3
21100.1,99.36,99.74,-0.36,48.02,51.44,95.298,50.72
10200.101,101.62,101.96,-0.37,50.44,53.95,93.155,50.39
10201.1,103.1666667,103.6,-0.433333333,49,53.56666667,96.11333333,49.16666667
210.002,99,99.4,-0.45,50.45,53.3,93.99,50.4
2101.01,111.5,112,-0.5,47.9,56.1,103.3,55.7
10100.111,103.0777778,103.6888889,-0.622222222,50.67777778,53.63333333,95.57666667,48.83333333
10.022,111.9,113.2,-1.3,54.5,56,95.81,50
11101.001,100.63,102.24,-1.62,47.51,50.84,96.286,48.22
10010.21,103.3,105.25,-1.9,50.95,55.2,99.715,47.25
11102,104.35,106.3,-1.9,51.85,54.6,100.1,50.8
10001.12,102.7666667,104.8666667,-2.066666667,48.63333333,53,97.08666667,48.36666667
10100.201,100.7636364,102.8727273,-2.1,48.55454545,52.31818182,97.82909091,49.35454545
10101.101,104.3,106.6,-2.2,54.3,55.5,98.45,47.5
101.201,102.1833333,104.5666667,-2.366666667,49.83333333,52.88333333,97.98,49.15
2.21,90.7,93.2,-2.5,48,50.8,97.47,48.3
1.211,106.3166667,109.1,-2.766666667,51.3,55.01666667,99.21333333,47.1
100.121,99.8,103,-3.22,47.68,51.74,97.586,47.98
11201,99.4,102.9,-3.5,47.5,51.7,100.89,50.6
20000.21,106.12,110.1,-3.96,50.68,54.3,98.292,48.16
11000.03,102.7,106.8,-4.1,51.4,54.9,93.42,46.9
10110.011,102.5533333,106.68,-4.14,51.09333333,53.99333333,97.64933333,48.24666667
11100.011,103.0387097,107.3548387,-4.309677419,49.39677419,52.73548387,96.49322581,47.5483871
101.21,103.4,107.75,-4.35,49,54.7,98.655,41.15
1200.101,99.5,104.3,-4.8,50.75,53.4,101.715,46.2
100.112,99.31666667,104.2666667,-4.95,47.96666667,51.33333333,96.44166667,46.95
10111.01,99.36666667,104.6333333,-5.266666667,49.06666667,52.34444444,98.51555556,46.97777778
21000.11,107.5142857,113.1285714,-5.6,51.85714286,55.1,95.19142857,48.3
10000.121,99.5,105.2333333,-5.766666667,47.7,50.6,95.76333333,47.6
10.211,108.55,114.4,-5.8,53.25,58.3,96.045,44.6
1110.002,106.85,112.75,-6,52.75,56,92.51,44.9
10010.201,108.9,114.9,-6.1,57.2,60.9,99.6,45.8
12100.001,88.7,94.8,-6.1,39.8,45.6,100.88,46.3
1.121,104,110.4,-6.4,48.7,53.8,101.54,46.9
1100.012,103.6888889,110.3777778,-6.677777778,50.97777778,54.21111111,97.23555556,47.36666667
12.101,102.525,109.175,-6.7,48.8,51.6,96.87,45.95
10100.21,100.4,107.2,-6.7,51.8,55.8,103.32,44.8
20100.11,101.15,107.925,-6.75,51.175,53.775,98.505,46.55
20110.01,100.22,107.01,-6.77,49.72,53.25,100.043,46.96
20.111,106.1,112.9,-6.8,47.6,53.4,101.01,45.9
101.3,92.5,99.6,-7.2,48.9,51.2,97.03,46.9
12100.1,94.9,102.4,-7.5,46,48.9,92.72,44
0.131,109.2,116.8,-7.6,56.4,58.3,95.41,45.6
1001.102,105.7,114.5,-8.8,56.4,57.7,97.07,45.3
