first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
K.Caldwell-Pope,A.Drummond,E.Ilyasova,R.Jackson,M.Morris,DET,48,915,104.2,100.9,3.2,48.1,1.45,14.5,30.5,78.2,52.4,0.1,48.9,51.3,96.78,49.6
K.Bazemore,A.Horford,K.Korver,P.Millsap,J.Teague,ATL,70,892,104.4,100.5,4,70.8,1.94,20.7,18.1,74.3,47.1,0.1,52.6,56,100.32,53.3
S.Adams,K.Durant,S.Ibaka,A.Roberson,R.Westbrook,OKC,59,816,113.3,95.6,17.8,61.9,1.82,19.6,31.6,77.5,56.9,0.2,54.6,58,97.9,62.6
A.Afflalo,C.Anthony,J.Calderon,R.Lopez,K.Porzingis,NYK,50,735,103.7,105.8,-2.1,50.1,1.41,15.6,26.3,77.6,52.8,0.1,50.2,53.3,94.25,48.9
A.Bradley,J.Crowder,A.Johnson,J.Sullinger,I.Thomas,BOS,60,723,105.3,102.9,2.4,67.9,2.23,20,24,71.9,47.7,0.1,50.5,53.3,98.78,51
L.Aldridge,T.Duncan,D.Green,K.Leonard,T.Parker,SAS,47,698,104.7,96.1,8.6,61.1,2.03,18.7,24.6,81.3,53.3,0.1,49.4,53,93.65,56
G.Dieng,Z.LaVine,R.Rubio,K.Towns,A.Wiggins,MIN,46,648,113.5,109.6,3.9,66.8,1.78,20.4,23.5,73.7,49.9,0.2,55.8,60.8,99.45,53.9
A.Aminu,D.Lillard,C.McCollum,M.Plumlee,N.Vonleh,POR,52,611,106,107.7,-1.7,55.3,1.54,16.6,26.2,78.9,51.4,0.1,51.6,54.3,96.73,45.8
K.Bryant,J.Clarkson,R.Hibbert,J.Randle,D.Russell,LAL,51,572,88.8,112.9,-24,49.3,1.09,13,19,74,44.6,0.2,42.7,47.1,100.11,35.1
H.Barnes,A.Bogut,S.Curry,D.Green,K.Thompson,GSW,49,552,109.4,96.2,13.2,70.9,1.96,21.7,20.2,80.4,51.8,0.2,56.6,58.5,101.99,56.6
G.Antetokounmpo,M.Carter-Williams,K.Middleton,G.Monroe,J.Parker,MIL,41,539,105.6,112.4,-6.7,57,1.69,17.8,27.1,71.3,49.7,0.1,50.8,54.3,95.36,48.2
K.Irving,L.James,K.Love,J.Smith,T.Thompson,CLE,37,465,115.3,102.8,12.4,56.5,2.09,18,26.4,79.3,52.4,0.1,54.8,57.6,94.53,55.3
K.Caldwell-Pope,A.Drummond,T.Harris,R.Jackson,M.Morris,DET,25,462,107.4,104.3,3.2,55.4,1.75,17.2,24.4,81,52.5,0.1,52.8,55,95.33,50.7
M.Ellis,P.George,G.Hill,I.Mahinmi,M.Turner,IND,25,452,100.4,95.2,5.2,57.7,1.61,16.8,16.7,79.8,48.6,0.1,48.9,53.4,100.39,53.4
