first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
R.Felton,D.Jordan,L.Mbah a Moute,J.Redick,A.Rivers,LAC,11,96,115.8,112.7,3,63,1.96,20.1,26.3,65.8,45.9,0.1,56.5,59.5,94.61,49.8
C.Felicio,J.Grant,D.McDermott,N.Mirotic,D.Wade,CHI,10,66,104.6,107.4,-2.9,57.7,2.31,16.4,24.6,78.3,50.4,0.1,47.2,51.2,98.98,46.5
D.Favors,R.Gobert,G.Hayward,R.Hood,S.Mack,UTA,9,78,105.9,105.9,0,54.2,1.19,16.2,31.7,73.4,54.9,0.2,52.4,55.6,88.56,55.6
D.Favors,R.Gobert,G.Hayward,G.Hill,J.Ingles,UTA,15,147,113.4,90.7,22.7,57.5,1.53,17.8,30.6,80.3,57.8,0.2,54.5,58.3,92.82,64.1
D.Favors,R.Gobert,G.Hayward,G.Hill,R.Hood,UTA,13,151,99.2,102.3,-3.1,66.1,1.44,18.6,18.7,83.1,51.8,0.2,51.3,54.7,92.2,51.6
K.Faried,D.Gallinari,E.Mudiay,J.Nelson,J.Nurkic,DEN,5,53,87.4,112.9,-25.5,61.5,1.14,15.4,38.3,74.5,55,0.2,39.6,42.9,100.36,39.3
K.Faried,D.Gallinari,G.Harris,N.Jokic,J.Nelson,DEN,6,60,123.8,108.9,15,64.8,1.75,19.3,42,87,63.5,0.2,55.5,61.4,99.89,57.8
M.Ellis,G.Robinson III,J.Teague,M.Turner,T.Young,IND,9,104,114.4,102.1,12.3,59.8,1.62,18.8,21.1,69.1,49.5,0.2,57.1,62.2,101.52,62.2
M.Ellis,P.George,J.Teague,M.Turner,T.Young,IND,37,368,100.8,106.2,-5.3,63.9,1.36,18.4,15.5,72,45.4,0.2,52.4,56.9,101.15,49.9
M.Ellis,P.George,C.Miles,J.Teague,M.Turner,IND,22,75,130.5,109.9,20.6,51.5,2.19,16.7,21.7,80.4,48.6,0.1,59.9,66.5,100.12,61
